id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
52,Joonas Korpisalo,CBJ,32,167.46666666667,33,28,5,0.848,1.79,-2.12,2.95,17,12,5,0.706,1.79,-1.18,4,4,0,1.000,0.00,0.37,5,5,0,1.000,0.00,0.19,4,3,41.03,10.80
53,Connor Hellebuyck,WPG,50,219.35,44,43,1,0.977,0.27,2.83,3.08,11,10,1,0.909,0.27,1.47,8,8,0,1.000,0.00,0.74,6,6,0,1.000,0.00,0.23,5,3,80.77,14.00
54,Linus Ullmark,BUF,33,162.88333333333,32,31,1,0.969,0.37,1.79,2.41,9,8,1,0.889,0.37,1.02,8,8,0,1.000,0.00,0.74,6,6,0,1.000,0.00,0.23,5,0,54.44,7.00
55,Aaron Dell,S.J,29,105.16666666667,22,20,2,0.909,1.14,-0.08,1.84,5,3,2,0.600,1.14,-0.88,4,4,0,1.000,0.00,0.37,5,5,0,1.000,0.00,0.19,3,1,72.91,8.50
56,Antti Raanta,ARI,30,155.05,34,31,3,0.912,1.16,-0.04,2.54,8,5,3,0.625,1.16,-1.20,9,9,0,1.000,0.00,0.83,6,6,0,1.000,0.00,0.23,5,1,65.74,12.67
57,Antoine Bibeau,COL,2,10.966666666667,2,2,0,1.000,0.00,0.17,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,148.00,-
58,Cal Petersen,L.A,3,12,3,3,0,1.000,0.00,0.26,0.38,3,3,0,1.000,0.00,0.67,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,0,15.33,-
59,Marcus Hogberg,OTT,19,71.266666666667,10,9,1,0.900,0.84,-0.13,0.73,3,2,1,0.667,0.84,-0.33,1,1,0,1.000,0.00,0.09,2,2,0,1.000,0.00,0.08,3,0,80.70,21.00
60,Juuse Saros,NSH,31,127.91666666667,25,22,3,0.880,1.41,-0.82,1.55,6,3,3,0.500,1.41,-1.65,4,4,0,1.000,0.00,0.37,7,7,0,1.000,0.00,0.26,2,0,64.96,12.33
61,Tristan Jarry,PIT,29,110.78333333333,20,19,1,0.950,0.54,0.74,1.81,6,6,0,1.000,0.00,1.35,5,4,1,0.800,0.54,-0.54,2,2,0,1.000,0.00,0.08,1,3,65.45,28.00
62,Eric Comrie,DET,3,10.016666666667,6,5,1,0.833,5.99,-0.48,1.01,5,4,1,0.800,5.99,0.12,1,1,0,1.000,0.00,0.09,0,0,0,-,0.00,0.00,0,3,11.83,3.00
63,Thatcher Demko,VAN,19,97.266666666667,19,18,1,0.947,0.62,0.66,1.28,7,6,1,0.857,0.62,0.57,2,2,0,1.000,0.00,0.19,3,3,0,1.000,0.00,0.11,1,0,75.05,16.00
64,Jonas Johansson,BUF,3,11.266666666667,2,2,0,1.000,0.00,0.17,0.04,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.04,0,0,96.50,-
65,Elvis Merzlikins,CBJ,28,104.45,12,12,0,1.000,0.00,1.05,0.83,3,3,0,1.000,0.00,0.67,4,4,0,1.000,0.00,0.37,4,4,0,1.000,0.00,0.15,0,0,43.42,-
66,Kaapo Kahkonen,MIN,5,18.383333333333,4,4,0,1.000,0.00,0.35,0.08,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.09,0,0,0,-,0.00,0.00,1,0,128.00,-
67,Igor Shesterkin,NYR,7,20.8,5,4,1,0.800,2.88,-0.56,0.46,1,0,1,0.000,2.88,-0.78,1,1,0,1.000,0.00,0.09,1,1,0,1.000,0.00,0.04,0,1,85.00,12.00
68,Mackenzie Blackwood,N.J,41,201.48333333333,38,32,6,0.842,1.79,-2.69,2.8,10,7,3,0.700,0.89,-0.75,13,11,2,0.846,0.60,-0.80,3,2,1,0.667,0.30,-0.89,2,3,65.00,22.83
69,Sam Montembeault,FLA,12,48.916666666667,9,9,0,1.000,0.00,0.78,0.62,2,2,0,1.000,0.00,0.45,1,1,0,1.000,0.00,0.09,1,1,0,1.000,0.00,0.04,2,1,96.00,-
70,Ilya Samsonov,WSH,23,101.28333333333,28,23,5,0.821,2.96,-2.56,1.9,7,3,4,0.429,2.37,-2.43,4,4,0,1.000,0.00,0.37,10,9,1,0.900,0.59,-0.62,4,1,56.93,16.40
