id,team_name,gp,toi,w,l,otl,row,points,points_pcg,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,gf,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,scsf,scsa,scsf_pcg,scgf,scga,scgf_pcg,scsh_pcg,scsv_pcg,hdcf,hdca,hdcf_pcg,hdsf,hdsa,hdsf_pcg,hdgf,hdga,hdgf_pcg,hdsh_pcg,hdsv_pcg,mdcf,mdca,mdcf_pcg,mdsf,mdsa,mdsf_pcg,mdgf,mdga,mdgf_pcg,mdsh_pcg,mdsv_pcg,ldcf,ldca,ldcf_pcg,ldsf,ldsa,ldsf_pcg,ldgf,ldga,ldgf_pcg,ldsh_pcg,ldsv_pcg,sh_pcg,sv_pcg,pdo
1,Boston Bruins,67,3245.75,35,23,9,34,79,0.590,3091,3029,50.51,2322,2268,50.59,1687,1584,51.57,137,108,55.92,122.8,119.74,50.63,1370,1382,49.78,850,816,51.02,116,95,54.98,13.65,88.36,563,546,50.77,430,392,52.31,74,58,56.06,17.21,85.20,807,836,49.12,420,424,49.76,42,37,53.16,10.00,91.27,1400,1394,50.11,729,687,51.48,20,13,60.61,2.74,98.11,8.12,93.18,1.013
2,Calgary Flames,69,3260.55,38,27,4,33,80,0.580,3202,3068,51.07,2355,2340,50.16,1678,1698,49.70,120,122,49.59,123.29,126.17,49.42,1452,1496,49.25,853,899,48.69,99,102,49.25,11.61,88.65,583,593,49.57,421,435,49.18,64,69,48.12,15.20,84.14,869,903,49.04,432,464,48.21,35,33,51.47,8.10,92.89,1448,1333,52.07,742,721,50.72,21,20,51.22,2.83,97.23,7.15,92.82,1.000
3,Anaheim Ducks,69,3362.2833,26,39,4,23,56,0.406,2924,3280,47.13,2137,2492,46.17,1568,1766,47.03,106,144,42.40,107.22,136.02,44.08,1289,1561,45.23,769,952,44.68,85,124,40.67,11.05,86.97,479,631,43.15,348,476,42.23,54,74,42.19,15.52,84.45,810,930,46.55,421,476,46.93,31,50,38.27,7.36,89.50,1337,1435,48.23,710,733,49.20,21,20,51.22,2.96,97.27,6.76,91.85,0.986
4,Nashville Predators,67,3220.55,36,24,7,34,79,0.590,3069,3176,49.14,2292,2345,49.43,1669,1694,49.63,147,122,54.65,122.81,132.07,48.18,1417,1549,47.77,844,928,47.63,124,100,55.36,14.69,89.22,568,651,46.60,432,489,46.91,91,73,55.49,21.06,85.07,849,898,48.60,412,439,48.41,33,27,55.00,8.01,93.85,1367,1317,50.93,746,666,52.83,23,20,53.49,3.08,97.00,8.81,92.80,1.016
5,Washington Capitals,68,3223.4,44,21,3,38,91,0.669,2986,3004,49.85,2263,2283,49.78,1625,1641,49.76,168,145,53.67,124.35,129.5,48.98,1444,1513,48.83,852,899,48.66,135,131,50.75,15.85,85.43,563,654,46.26,411,477,46.28,83,84,49.70,20.19,82.39,881,859,50.63,441,422,51.10,52,47,52.53,11.79,88.86,1294,1239,51.09,679,652,51.01,32,14,69.57,4.71,97.85,10.34,91.16,1.015
6,New York Islanders,65,3191.65,38,22,5,34,81,0.623,2816,3208,46.75,2061,2347,46.76,1447,1668,46.45,117,104,52.94,110,124.25,46.96,1300,1466,47.00,758,845,47.29,104,82,55.91,13.72,90.30,520,594,46.68,374,435,46.23,70,64,52.24,18.72,85.29,780,872,47.22,384,410,48.36,34,18,65.38,8.85,95.61,1246,1427,46.61,621,730,45.97,12,22,35.29,1.93,96.99,8.09,93.76,1.019
7,Chicago Blackhawks,67,3315.8167,30,29,8,27,68,0.507,3024,3293,47.87,2252,2548,46.92,1649,1867,46.90,149,153,49.34,118.8,150.5,44.11,1384,1691,45.01,843,1064,44.21,120,137,46.69,14.23,87.12,492,741,39.90,372,561,39.87,63,88,41.72,16.94,84.31,892,950,48.43,471,503,48.36,57,49,53.77,12.10,90.26,1356,1349,50.13,725,720,50.17,29,16,64.44,4.00,97.78,9.04,91.81,1.008
8,Columbus Blue Jackets,67,3319.5667,37,21,9,35,83,0.619,2952,3162,48.28,2273,2361,49.05,1674,1693,49.72,141,121,53.82,122.96,125.14,49.56,1409,1475,48.86,905,875,50.84,121,110,52.38,13.37,87.43,541,558,49.23,425,419,50.36,77,60,56.20,18.12,85.68,868,917,48.63,480,456,51.28,44,50,46.81,9.17,89.04,1322,1430,48.04,689,722,48.83,19,11,63.33,2.76,98.48,8.42,92.85,1.013
9,Winnipeg Jets,68,3277.4,36,29,3,32,75,0.551,2985,3191,48.33,2224,2443,47.65,1648,1768,48.24,138,144,48.94,113.39,140.96,44.58,1332,1565,45.98,839,961,46.61,122,123,49.80,14.54,87.20,505,682,42.54,383,488,43.97,77,84,47.83,20.10,82.79,827,883,48.36,456,473,49.09,45,39,53.57,9.87,91.75,1411,1352,51.07,747,713,51.16,15,20,42.86,2.01,97.19,8.37,91.86,1.002
10,Arizona Coyotes,69,3380.95,33,29,7,26,73,0.529,2971,3257,47.70,2220,2426,47.78,1654,1739,48.75,106,138,43.44,119.55,132.15,47.50,1313,1518,46.38,794,882,47.37,89,120,42.58,11.21,86.39,519,647,44.51,387,467,45.32,61,85,41.78,15.76,81.80,794,871,47.69,407,415,49.51,28,35,44.44,6.88,91.57,1350,1456,48.11,746,773,49.11,17,17,50.00,2.28,97.80,6.41,92.06,0.985
11,Minnesota Wild,67,3214.0667,30,33,4,30,64,0.478,2996,3063,49.45,2206,2263,49.36,1616,1607,50.14,126,144,46.67,122.64,114.31,51.76,1367,1322,50.84,839,764,52.34,105,126,45.45,12.51,83.51,587,521,52.98,449,353,55.99,73,83,46.79,16.26,76.49,780,801,49.34,390,411,48.69,32,43,42.67,8.21,89.54,1345,1445,48.21,698,767,47.65,20,17,54.05,2.87,97.78,7.80,91.04,0.988
12,Philadelphia Flyers,68,3293.3167,29,32,7,24,65,0.478,2881,3101,48.16,2145,2303,48.22,1589,1679,48.62,137,170,44.63,119.74,130.79,47.80,1362,1503,47.54,854,889,49.00,118,134,46.83,13.82,84.93,580,608,48.82,453,453,50.00,81,86,48.50,17.88,81.02,782,895,46.63,401,436,47.91,37,48,43.53,9.23,88.99,1242,1315,48.57,628,688,47.72,18,36,33.33,2.87,94.77,8.62,89.87,0.985
13,Carolina Hurricanes,66,3129.8333,34,27,5,34,73,0.553,3162,2678,54.14,2345,2038,53.50,1706,1506,53.11,117,122,48.95,126.51,114.25,52.55,1431,1342,51.60,887,845,51.21,105,110,48.84,11.84,86.98,585,566,50.83,444,435,50.51,68,76,47.22,15.32,82.53,846,776,52.16,443,410,51.93,37,34,52.11,8.35,91.71,1407,1100,56.12,715,579,55.26,9,12,42.86,1.26,97.93,6.86,91.90,0.988
14,San Jose Sharks,67,3221.9333,30,30,7,30,67,0.500,3132,2846,52.39,2314,2161,51.71,1637,1547,51.41,131,164,44.41,127.08,123.91,50.63,1442,1438,50.07,841,881,48.84,108,140,43.55,12.84,84.11,606,624,49.27,445,465,48.90,79,98,44.63,17.75,78.92,836,814,50.67,396,416,48.77,29,42,40.85,7.32,89.90,1419,1155,55.13,724,588,55.18,20,24,45.45,2.76,95.92,8.00,89.40,0.974
15,New York Rangers,65,3069.9333,25,33,7,21,57,0.438,2589,3214,44.61,1999,2456,44.87,1438,1734,45.33,119,149,44.40,108.13,136.56,44.19,1175,1554,43.06,718,928,43.62,98,127,43.56,13.65,86.31,480,652,42.40,373,459,44.83,70,78,47.30,18.77,83.01,695,902,43.52,345,469,42.38,28,49,36.36,8.12,89.55,1182,1395,45.87,638,729,46.67,21,22,48.84,3.29,96.98,8.28,91.41,0.997
16,Ottawa Senators,67,3294.4667,17,43,7,17,41,0.306,2813,3461,44.84,2155,2591,45.41,1587,1881,45.76,124,198,38.51,119.61,143.24,45.51,1297,1623,44.42,825,1002,45.16,110,171,39.15,13.33,82.93,568,707,44.55,442,519,45.99,81,106,43.32,18.33,79.58,729,916,44.32,383,483,44.23,29,65,30.85,7.57,86.54,1229,1547,44.27,647,802,44.65,14,27,34.15,2.16,96.63,7.81,89.47,0.973
17,Florida Panthers,67,3270.2,29,28,10,24,68,0.507,2982,3125,48.83,2264,2284,49.78,1671,1635,50.54,132,174,43.14,115.7,130.32,47.03,1298,1488,46.59,815,882,48.03,120,151,44.28,14.72,82.88,516,663,43.77,385,478,44.61,84,97,46.41,21.82,79.71,782,825,48.66,430,404,51.56,36,54,40.00,8.37,86.63,1397,1359,50.69,749,659,53.20,12,23,34.29,1.60,96.51,7.90,89.36,0.973
18,Edmonton Oilers,69,3370.6167,32,30,7,28,71,0.514,2843,3196,47.08,2141,2400,47.15,1574,1726,47.70,118,143,45.21,115.69,129.54,47.17,1318,1515,46.52,817,891,47.83,103,127,44.78,12.61,85.75,516,619,45.46,396,458,46.37,66,87,43.14,16.67,81.00,802,896,47.23,421,433,49.30,37,40,48.05,8.79,90.76,1282,1409,47.64,682,732,48.23,15,15,50.00,2.20,97.95,7.50,91.71,0.992
19,Montreal Canadiens,67,3287.8667,33,27,7,30,73,0.545,3305,3089,51.69,2454,2378,50.79,1771,1743,50.40,137,136,50.18,133.03,129.42,50.69,1517,1461,50.94,914,891,50.64,112,118,48.70,12.25,86.76,634,626,50.32,464,460,50.22,81,82,49.69,17.46,82.17,883,835,51.40,450,431,51.08,31,36,46.27,6.89,91.65,1503,1378,52.17,760,762,49.93,24,18,57.14,3.16,97.64,7.74,92.20,0.999
20,Vegas Golden Knights,69,3360.0333,32,31,6,29,70,0.507,3316,2850,53.78,2466,2216,52.67,1779,1624,52.28,134,149,47.35,138.75,124.79,52.65,1611,1399,53.52,993,877,53.10,112,121,48.07,11.28,86.20,631,575,52.32,489,437,52.81,78,82,48.75,15.95,81.24,980,824,54.32,504,440,53.39,34,39,46.58,6.75,91.14,1408,1229,53.39,703,662,51.50,22,28,44.00,3.13,95.77,7.53,90.83,0.984
21,Vancouver Canucks,70,3290.7167,28,34,8,23,64,0.457,3000,3225,48.19,2257,2380,48.67,1601,1743,47.88,113,146,43.63,117.81,133.09,46.95,1350,1599,45.78,779,957,44.87,91,122,42.72,11.68,87.25,559,626,47.17,408,485,45.69,59,82,41.84,14.46,83.09,791,973,44.84,371,472,44.01,32,40,44.44,8.63,91.53,1360,1389,49.47,722,727,49.83,21,24,46.67,2.91,96.70,7.06,91.62,0.987
22,Toronto Maple Leafs,68,3369.3,38,24,6,37,82,0.603,3502,3256,51.82,2587,2500,50.86,1864,1826,50.51,167,153,52.19,143.67,139.73,50.70,1714,1573,52.14,1017,949,51.73,135,133,50.37,13.27,85.99,698,660,51.40,528,490,51.87,94,86,52.22,17.80,82.45,1016,913,52.67,489,459,51.58,41,47,46.59,8.38,89.76,1491,1429,51.06,767,792,49.20,32,20,61.54,4.17,97.47,8.96,91.62,1.006
23,Detroit Red Wings,67,3254.7167,19,41,7,18,45,0.336,2860,3313,46.33,2104,2488,45.82,1514,1796,45.74,107,166,39.19,111.64,142.59,43.91,1289,1604,44.56,757,974,43.73,92,136,40.35,12.15,86.04,513,669,43.40,382,488,43.91,60,95,38.71,15.71,80.53,776,935,45.35,375,486,43.55,32,41,43.84,8.53,91.56,1289,1442,47.20,647,740,46.65,15,30,33.33,2.32,95.95,7.07,90.76,0.978
24,Colorado Avalanche,67,3171.75,32,25,10,32,74,0.552,2991,3132,48.85,2214,2314,48.90,1616,1677,49.07,140,122,53.44,114.24,128.16,47.13,1359,1469,48.06,824,893,47.99,117,101,53.67,14.20,88.69,525,624,45.69,393,470,45.54,64,73,46.72,16.28,84.47,834,845,49.67,431,423,50.47,53,28,65.43,12.30,93.38,1387,1371,50.29,725,691,51.20,23,20,53.49,3.17,97.11,8.66,92.73,1.014
25,Los Angeles Kings,71,3512.9,22,39,10,20,54,0.380,3322,3284,50.29,2434,2428,50.06,1770,1754,50.23,115,149,43.56,124.6,127.06,49.51,1388,1501,48.04,840,888,48.61,99,127,43.81,11.79,85.70,554,610,47.59,409,460,47.07,63,93,40.38,15.40,79.78,834,891,48.35,431,428,50.17,36,34,51.43,8.35,92.06,1596,1487,51.77,826,759,52.11,16,21,43.24,1.94,97.23,6.50,91.51,0.980
26,Pittsburgh Penguins,66,3245.45,35,21,10,32,80,0.606,3106,3044,50.50,2363,2263,51.08,1695,1620,51.13,145,122,54.31,130.6,117.92,52.55,1427,1314,52.06,881,774,53.23,121,99,55.00,13.73,87.21,604,545,52.57,460,401,53.43,81,68,54.36,17.61,83.04,823,769,51.70,421,373,53.02,40,31,56.34,9.50,91.69,1381,1441,48.94,730,744,49.53,24,22,52.17,3.29,97.04,8.55,92.47,1.010
27,St Louis Blues,69,3352.8833,35,23,11,34,81,0.587,2976,3094,49.03,2256,2293,49.59,1681,1657,50.36,121,122,49.79,123.4,124.44,49.79,1398,1458,48.95,862,888,49.26,100,97,50.76,11.60,89.08,586,590,49.83,433,429,50.23,62,61,50.41,14.32,85.78,812,868,48.33,429,459,48.31,38,36,51.35,8.86,92.16,1337,1376,49.28,742,692,51.74,21,25,45.65,2.83,96.39,7.20,92.64,0.998
28,Buffalo Sabres,67,3247.0833,20,38,9,18,49,0.366,3022,3060,49.69,2276,2371,48.98,1672,1745,48.93,113,147,43.46,113.92,129.51,46.80,1364,1489,47.81,833,942,46.93,95,130,42.22,11.40,86.20,513,598,46.17,384,442,46.49,58,83,41.13,15.10,81.22,851,891,48.85,449,500,47.31,37,47,44.05,8.24,90.60,1396,1323,51.34,753,711,51.43,17,17,50.00,2.26,97.61,6.76,91.58,0.983
29,Dallas Stars,68,3331.0167,33,28,7,32,73,0.537,2732,3173,46.27,2045,2376,46.26,1507,1739,46.43,101,124,44.89,111.72,115.16,49.24,1260,1366,47.98,778,834,48.26,84,96,46.67,10.80,88.49,544,528,50.75,414,407,50.43,62,60,50.82,14.98,85.26,716,838,46.07,364,427,46.02,22,36,37.93,6.04,91.57,1216,1489,44.95,632,794,44.32,16,26,38.10,2.53,96.73,6.70,92.87,0.996
30,New Jersey Devils,67,3182.3167,22,42,3,18,47,0.351,2892,3354,46.30,2196,2472,47.04,1626,1818,47.21,109,171,38.93,118.04,131.37,47.33,1293,1516,46.03,821,905,47.57,92,141,39.48,11.21,84.42,565,614,47.92,418,456,47.83,65,94,40.88,15.55,79.39,728,902,44.66,403,449,47.30,27,47,36.49,6.70,89.53,1312,1517,46.38,717,809,46.99,15,29,34.09,2.09,96.42,6.70,90.59,0.973
31,Tampa Bay Lightning,69,3270.3167,47,17,5,43,99,0.717,3162,3086,50.61,2365,2322,50.46,1687,1671,50.24,160,127,55.75,138.64,126.63,52.26,1491,1440,50.87,912,868,51.24,147,106,58.10,16.12,87.79,628,594,51.39,481,428,52.92,99,72,57.89,20.58,83.18,863,846,50.50,431,440,49.48,48,34,58.54,11.14,92.27,1413,1388,50.45,697,726,48.98,13,21,38.24,1.87,97.11,9.48,92.40,1.019
