"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"625","Christian Dvorak","ARI","C, L","30","48.416666666667","2","0","0","0","2","50.00","9","22.22","1.77","17","13","12","10","0","0","0","0","0","0","0","0","2","0","1","1","0","20","19","51.28"
"655","Rasmus Andersson","CGY","D","91","105.93333333333","0","2","2","0","2","22.22","17","0.00","1.36","31","22","5","2","0","2","0","0","0","0","0","3","2","3","1","2","2","0","0","-"
"699","Denis Gurianov","DAL","R","29","29.9","0","2","1","1","2","50.00","8","0.00","0.64","13","11","5","1","0","0","0","0","0","0","0","0","1","1","0","2","0","0","0","-"
"714","Denis Malgin","FLA","C","58","34.416666666667","1","1","1","0","2","100.00","5","20.00","0.73","11","8","7","2","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","100.00"
"720","Christian Jaros","OTT","D","61","17.533333333333","0","2","0","2","2","50.00","1","0.00","0.04","3","1","0","0","0","0","5","1","0","1","0","1","0","0","0","2","0","0","0","-"
"743","Charlie McAvoy","BOS","D","63","93.383333333333","1","1","0","1","2","28.57","8","12.50","0.88","19","14","10","2","0","0","6","3","3","0","0","0","5","4","1","5","2","0","0","-"
"754","Brett Howden","NYR","C","74","95.266666666667","0","2","1","1","2","33.33","14","0.00","1.96","18","16","14","8","0","0","0","0","0","0","0","0","5","0","1","4","0","21","15","58.33"
"797","Gavin Bayreuther","DAL","D","19","25.5","0","2","1","1","2","100.00","1","0.00","0.05","1","1","0","0","0","0","2","1","1","0","0","1","2","2","1","1","1","0","0","-"
"798","Vinni Lettieri","NYR","C","27","15.166666666667","1","1","1","0","2","100.00","6","16.67","0.49","9","8","2","0","0","0","2","1","1","0","0","0","0","0","1","0","0","1","0","100.00"
"800","Nolan Patrick","PHI","C","72","116.33333333333","1","1","0","1","2","28.57","19","5.26","2.14","27","23","17","12","0","3","11","4","3","1","0","1","5","1","2","2","0","25","18","58.14"
