id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
485,Adam Erne,DET,L,55,585.83333333333,2,2,2,0,4,50.00,56,3.57,4.32,98,73,48,28,7,5,12,6,6,0,0,4,27,4,137,28,24,19,11,63.33
486,Jacob de la Rose,"DET, STL","C, L",48,450.15,2,7,4,3,9,64.29,44,4.55,3.61,63,54,34,19,0,7,6,3,3,0,0,3,6,12,104,34,14,103,137,42.92
487,J.T. Compher,COL,L,59,669.5,9,11,6,5,20,62.50,68,13.24,6.15,118,91,70,22,3,3,14,7,7,0,0,10,11,11,26,58,37,195,192,50.39
488,Valentin Zykov,VGK,L,15,160.06666666667,0,3,1,2,3,60.00,16,0.00,1.04,27,20,16,7,1,1,2,1,1,0,0,1,12,5,19,24,3,0,1,0.00
489,Robert Hagg,PHI,D,43,614.11666666667,2,10,4,6,12,40.00,34,5.88,1.32,87,54,21,2,1,8,19,8,7,1,0,3,21,3,114,71,59,0,0,-
490,Steven Santini,NSH,D,2,18.516666666667,0,0,0,0,0,0.00,1,0.00,0.01,2,2,0,0,0,0,2,1,1,0,0,1,0,0,3,1,0,0,0,-
491,Nic Petan,TOR,C,16,163.5,0,3,2,1,3,60.00,18,0.00,1.9,40,32,22,8,1,5,4,2,2,0,0,0,2,4,7,21,4,1,2,33.33
492,Gustav Olofsson,MTL,D,3,24.316666666667,0,0,0,0,0,-,2,0.00,0.07,6,4,2,0,0,0,2,1,1,0,0,0,1,0,1,3,6,0,0,-
493,Carl Dahlstrom,WPG,D,15,204.03333333333,0,1,0,1,1,33.33,8,0.00,0.34,30,13,10,2,1,1,6,3,3,0,0,1,13,4,4,16,11,0,0,-
494,Justin Bailey,VAN,R,2,10.65,0,0,0,0,0,-,1,0.00,0.03,1,1,1,0,0,0,0,0,0,0,0,1,1,0,4,1,0,0,0,-
495,Madison Bowey,DET,D,50,775.96666666667,3,11,5,6,14,43.75,60,5.00,2.86,111,82,30,5,0,6,28,14,14,0,0,3,40,13,45,66,49,0,0,-
496,Artturi Lehkonen,MTL,L,65,804.95,11,13,10,3,24,75.00,110,10.00,10.16,206,155,125,56,4,13,16,7,7,0,0,13,15,17,102,96,23,9,10,47.37
497,William Carrier,VGK,L,65,619.16666666667,7,11,10,1,18,66.67,91,7.69,8.21,146,120,94,56,2,11,27,12,11,1,0,7,8,20,196,116,10,7,3,70.00
498,Tyler Bertuzzi,DET,L,66,985.2,13,13,9,4,26,68.42,95,13.68,10.62,162,135,99,57,3,10,16,7,7,0,0,14,43,18,60,61,27,3,1,75.00
499,Zach Sanford,STL,L,52,645.13333333333,14,14,7,7,28,70.00,75,18.67,7.8,124,101,98,43,6,7,22,11,11,0,0,9,12,16,97,69,25,1,7,12.50
500,Brett Pesce,CAR,D,61,1063.9333333333,4,12,7,5,16,30.19,92,4.35,3.76,199,135,52,10,4,10,18,8,8,0,0,5,30,33,20,69,69,0,0,-
501,Nathan MacKinnon,COL,C,62,969.31666666667,18,28,21,7,46,75.41,194,9.28,12.38,315,239,170,49,8,25,10,4,4,0,0,18,38,29,42,62,24,295,369,44.43
502,Aleksander Barkov,FLA,C,61,859.41666666667,13,23,13,10,36,78.26,107,12.15,9.3,170,138,107,47,2,12,10,5,5,0,0,8,34,35,12,62,23,396,355,52.73
503,Jonathan Drouin,MTL,L,27,338.61666666667,6,4,2,2,10,76.92,37,16.22,3.53,63,51,37,13,1,3,10,5,5,0,0,1,10,11,25,12,4,4,7,36.36
504,Seth Jones,CBJ,D,56,1062.5833333333,4,10,6,4,14,32.56,95,4.21,3.78,185,128,43,6,6,8,18,9,9,0,0,3,31,21,54,87,92,0,0,-
505,Elias Lindholm,CGY,C,65,876.1,15,12,8,4,27,69.23,93,16.13,7.03,162,123,100,28,8,7,14,7,7,0,0,7,25,27,71,33,26,256,265,49.14
506,Sean Monahan,CGY,C,65,903.51666666667,11,14,7,7,25,71.43,117,9.40,12.02,186,150,136,61,6,9,15,6,5,1,0,8,24,34,59,26,18,387,363,51.60
507,Darnell Nurse,EDM,D,64,1219.35,4,17,8,9,21,36.21,136,2.94,5.13,275,190,78,12,10,6,26,13,13,0,0,7,35,20,134,66,85,0,0,-
508,Rasmus Ristolainen,BUF,D,63,1073.9833333333,3,11,7,4,14,31.11,78,3.85,2.49,141,104,34,7,3,6,24,12,12,0,0,3,19,11,154,122,60,0,0,-
509,Bo Horvat,VAN,C,63,890.13333333333,6,20,12,8,26,76.47,111,5.41,10.74,180,143,110,59,3,13,19,8,7,1,0,9,20,22,46,46,48,558,426,56.71
510,Valeri Nichushkin,COL,R,57,646.66666666667,10,12,5,7,22,57.89,83,12.05,7.48,129,109,86,42,5,5,2,1,1,0,0,8,13,26,73,48,18,2,2,50.00
511,Samuel Morin,PHI,D,1,12.533333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,0,0,0,-
512,Max Domi,MTL,C,66,889.56666666667,11,15,11,4,26,59.09,120,9.17,9.81,213,162,108,47,12,10,12,6,6,0,0,13,44,29,25,47,9,282,305,48.04
513,Josh Morrissey,WPG,D,61,1151.85,4,10,5,5,14,29.79,85,4.71,2.93,178,119,40,3,3,11,18,9,9,0,0,5,36,18,31,23,47,0,0,-
514,Alexander Wennberg,CBJ,C,52,634.08333333333,4,11,5,6,15,68.18,48,8.33,3.42,72,62,42,17,0,4,8,4,4,0,0,10,18,13,13,52,26,241,252,48.88
515,Ryan Pulock,NYI,D,63,1133.0166666667,4,16,7,9,20,35.09,109,3.67,3.57,222,150,38,6,5,10,14,7,7,0,0,4,46,13,89,90,102,0,0,-
516,Nikita Zadorov,COL,D,58,904.1,4,7,1,6,11,30.56,60,6.67,2.8,144,102,39,6,2,7,28,14,14,0,0,3,28,15,148,52,45,0,0,-
517,Curtis Lazar,BUF,C,32,316.46666666667,3,4,3,1,7,70.00,24,12.50,3.44,46,38,36,19,1,3,0,0,0,0,0,3,8,7,59,31,18,122,103,54.22
518,Mirco Mueller,N.J,D,44,635.01666666667,2,3,1,2,5,21.74,24,8.33,1.33,60,43,10,3,0,3,14,7,7,0,0,1,16,4,46,57,64,0,0,-
519,Anthony Mantha,DET,R,38,558.2,7,14,10,4,21,75.00,79,8.86,7.33,128,107,78,35,7,9,10,5,5,0,0,3,22,15,39,21,22,13,15,46.43
520,Frederik Gauthier,TOR,C,56,464.01666666667,6,5,3,2,11,68.75,36,16.67,3.52,55,43,37,20,0,3,4,2,2,0,0,5,13,6,59,64,20,144,97,59.75
