id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
27,Jonathan Bernier,DET,72,3182.75,1644,1507,137,0.917,2.58,-4.08,124.93,442,370,72,0.837,1.36,5.04,413,380,33,0.920,0.62,3.64,715,683,32,0.955,0.60,-11.78,81,170,35.90,23.53
28,Semyon Varlamov,"COL, NYI",86,3930.85,1981,1827,154,0.922,2.35,6.17,149.65,527,433,94,0.822,1.43,-2.15,507,467,40,0.921,0.61,4.98,831,812,19,0.977,0.29,4.50,115,258,37.30,21.48
29,Michal Neuvirth,PHI,7,303.36666666667,141,123,18,0.872,3.56,-6.60,9.42,31,24,7,0.774,1.38,-1.60,39,29,10,0.744,1.98,-6.54,61,60,1,0.984,0.20,0.72,8,15,39.14,24.56
30,Richard Bachman,VAN,1,46.7,25,21,4,0.840,5.14,-1.98,1.26,2,1,1,0.500,1.28,-0.65,8,7,1,0.875,1.28,-0.29,15,13,2,0.867,2.57,-1.58,1,2,38.56,28.00
31,Scott Darling,CAR,8,392.83333333333,192,168,24,0.875,3.67,-8.48,17.12,61,47,14,0.770,2.14,-3.37,49,41,8,0.837,1.22,-3.65,75,73,2,0.973,0.31,0.12,18,26,34.85,20.21
32,Antti Niemi,MTL,17,800.48333333333,422,380,42,0.900,3.15,-7.88,28.72,102,78,24,0.765,1.80,-6.22,95,83,12,0.874,0.90,-3.57,200,194,6,0.970,0.45,-0.34,26,34,39.33,22.98
33,Jacob Markstrom,VAN,101,4723.55,2583,2383,200,0.923,2.54,8.84,194.61,691,580,111,0.839,1.41,9.43,678,622,56,0.917,0.71,4.15,1108,1075,33,0.970,0.42,-1.67,108,294,35.66,21.61
34,Jake Allen,STL,66,2917.6166666667,1453,1336,117,0.919,2.41,0.48,105.14,362,299,63,0.826,1.30,0.09,422,391,31,0.927,0.64,6.44,594,571,23,0.961,0.47,-6.20,79,156,35.82,23.16
35,Michael Hutchinson,"FLA, TOR",24,1049.3666666667,534,479,55,0.897,3.14,-11.83,40.6,153,123,30,0.804,1.72,-3.33,145,125,20,0.862,1.14,-7.14,220,215,5,0.977,0.29,1.22,37,50,33.59,21.15
36,Braden Holtby,WSH,100,4482.3666666667,2348,2151,197,0.916,2.64,-7.16,189.07,683,554,129,0.811,1.73,-9.96,570,526,44,0.923,0.59,6.57,950,927,23,0.976,0.31,3.86,134,309,36.50,20.55
37,Martin Jones,S.J,96,4433.45,2037,1819,218,0.893,2.95,-53.30,165.96,607,485,122,0.799,1.65,-16.21,523,466,57,0.891,0.77,-10.60,788,749,39,0.951,0.53,-16.72,112,254,35.65,23.18
38,Mikko Koskinen,EDM,87,3890.3333333333,2015,1845,170,0.916,2.62,-7.08,154.3,543,440,103,0.810,1.59,-8.36,529,486,43,0.919,0.66,3.93,825,802,23,0.972,0.35,0.33,122,248,36.87,22.21
