id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
578,Timo Meier,S.J,R,70,51.016666666667,0,0,0,0,0,0.00,4,0.00,0.4,7,5,4,1,1,2,2,1,1,0,0,2,0,4,0,0,2,1,1,50.00
579,Erik Cernak,T.B,D,67,188.15,0,0,0,0,0,0.00,7,0.00,0.16,9,7,0,0,2,0,4,2,2,0,0,2,3,2,19,3,43,0,0,-
580,Mikko Rantanen,COL,R,42,1.4166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-
581,Brendan Guhle,ANA,D,30,23.55,0,0,0,0,0,0.00,0,-,0.02,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,-
582,Sebastian Aho,CAR,"C, R",68,116.8,2,0,0,0,2,100.00,19,10.53,2.57,22,21,17,14,6,0,2,1,1,0,0,3,3,14,2,5,2,8,12,40.00
583,Oliver Kylington,CGY,D,48,2.2833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-
584,Christian Fischer,ARI,R,56,0.13333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-
585,David Kase,PHI,R,6,0.53333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
586,Travis Konecny,PHI,"C, R",66,1.45,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0.00
587,Dylan Strome,CHI,C,58,2.8166666666667,0,0,0,0,0,-,0,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.33
588,Brandon Carlo,BOS,D,67,199.18333333333,0,0,0,0,0,0.00,11,0.00,0.17,13,13,1,0,0,0,17,3,1,1,1,2,5,6,14,6,17,0,0,-
589,Brock Boeser,VAN,R,57,2,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
590,Mathew Barzal,NYI,C,68,1.9166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,50.00
591,Roope Hintz,DAL,L,60,20.766666666667,2,0,0,0,2,100.00,4,50.00,0.51,6,5,5,2,1,0,0,0,0,0,0,0,0,1,0,1,0,3,5,37.50
592,Ethan Bear,EDM,D,71,130.31666666667,0,0,0,0,0,-,6,0.00,0.01,7,6,1,0,1,0,2,1,1,0,0,0,3,6,8,3,18,0,0,-
593,Caleb Jones,EDM,D,43,2.35,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
594,Austin Wagner,L.A,L,65,2.0833333333333,0,0,0,0,0,-,1,0.00,0.1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
595,Jack Roslovic,WPG,C,71,0.7,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.00
596,Zach Werenski,CBJ,D,63,121.85,0,0,0,0,0,0.00,7,0.00,0.1,8,8,1,0,0,0,0,0,0,0,0,0,4,2,0,1,6,0,0,-
597,Nicolas Roy,VGK,C,28,15.316666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7,12.50
598,Anthony Beauvillier,NYI,L,68,42.766666666667,1,0,0,0,1,100.00,3,33.33,0.46,4,4,4,3,1,0,0,0,0,0,0,2,2,1,2,1,2,2,0,100.00
599,Jeremy Lauzon,BOS,D,19,34.5,0,0,0,0,0,0.00,1,0.00,0.02,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,2,7,0,0,-
600,Thomas Chabot,OTT,D,71,15.016666666667,0,0,0,0,0,-,1,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,-
601,Mathieu Joseph,T.B,R,37,29.6,0,1,1,0,1,100.00,2,0.00,0.42,5,4,3,3,1,0,0,0,0,0,0,0,2,2,0,1,2,0,2,0.00
602,Lawson Crouse,ARI,L,66,92.116666666667,1,0,0,0,1,100.00,9,11.11,0.57,9,9,4,2,0,0,4,2,2,0,0,2,2,3,1,4,6,1,2,33.33
603,Kyle Capobianco,ARI,D,9,7.4,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-
604,Mitchell Stephens,T.B,C,38,38.783333333333,0,0,0,0,0,-,1,0.00,0.05,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,19,38,33.33
605,Mitchell Marner,TOR,"C, R",59,120.96666666667,0,1,1,0,1,100.00,11,0.00,0.88,16,12,12,4,1,3,0,0,0,0,0,1,6,14,2,5,6,1,5,16.67
606,Filip Chlapik,OTT,C,31,0.31666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
607,Jacob Larsson,ANA,D,60,61.3,0,0,0,0,0,0.00,0,-,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,5,0,0,-
608,Joel Eriksson Ek,MIN,C,62,116.81666666667,0,1,1,0,1,100.00,6,0.00,0.36,9,9,3,1,0,0,0,0,0,0,0,1,0,3,3,5,8,48,74,39.34
609,Denis Gurianov,DAL,R,64,1.2166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
610,Jake DeBrusk,BOS,L,65,2.3,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
611,Ivan Provorov,PHI,D,69,180.91666666667,0,0,0,0,0,0.00,8,0.00,0.17,8,8,2,0,1,0,0,0,0,0,0,2,2,3,11,2,26,0,0,-
612,Dennis Gilbert,CHI,D,21,25.983333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,15,2,0,1,1,3,0,0,12,2,6,0,0,-
613,Gabriel Carlsson,CBJ,D,6,2.75,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-
614,John Marino,PIT,D,56,111.36666666667,0,0,0,0,0,0.00,1,0.00,0,1,1,0,0,0,0,0,0,0,0,0,1,5,4,11,3,13,0,0,-
615,Anthony Cirelli,T.B,C,68,181.61666666667,1,1,1,0,2,100.00,7,14.29,0.91,14,12,6,4,2,1,2,1,1,0,0,11,5,9,3,2,9,49,70,41.18
616,Evan Rodrigues,"BUF, PIT","C, L",45,33.683333333333,0,0,0,0,0,-,2,0.00,0.18,3,3,2,1,1,0,2,1,1,0,0,1,1,2,1,2,0,12,16,42.86
617,Artemi Panarin,NYR,"C, L",69,4.6666666666667,0,0,0,0,0,-,1,0.00,0.02,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-
618,Dean Kukan,CBJ,D,33,0.31666666666667,0,0,0,0,0,-,0,-,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
619,Noel Acciari,FLA,C,66,159.25,0,0,0,0,0,-,7,0.00,0.49,8,8,4,2,1,1,0,0,0,0,0,7,2,6,2,1,23,83,117,41.50
620,Derek Ryan,CGY,C,68,112.85,0,1,1,0,1,100.00,2,0.00,0.49,5,4,4,3,1,0,2,1,1,0,0,0,1,9,0,2,4,37,46,44.58
621,Kevin Stenlund,CBJ,C,32,1.4666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
622,J.C. Beaudin,OTT,C,22,5.5333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,4,20.00
623,Colton White,N.J,D,6,5.55,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,-
624,Denis Malgin,"FLA, TOR",C,44,8.7,0,1,1,0,1,100.00,1,0.00,0.06,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,50.00
625,Mikhail Vorobyev,PHI,C,20,11.7,0,0,0,0,0,-,1,0.00,0.14,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,50.00
626,Christian Wolanin,OTT,D,3,0.21666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
627,Conor Garland,ARI,R,68,0.48333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-
628,Dmytro Timashov,"DET, TOR",L,44,1.2166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
629,Niko Mikkola,STL,D,5,4.5333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,-
630,Dominik Simon,PIT,C,64,15.166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0.00
631,Christian Jaros,OTT,D,13,9.8166666666667,0,1,1,0,1,inf,1,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,-
632,Rudolfs Balcers,OTT,L,15,0.93333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
633,Troy Terry,ANA,"C, R",47,0.95,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
634,Adam Gaudette,VAN,C,59,0.21666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-
635,Vladislav Gavrikov,CBJ,D,69,100.7,0,0,0,0,0,-,2,0.00,0.01,2,2,0,0,0,0,0,0,0,0,0,0,1,0,4,1,14,0,0,-
636,Cameron Hughes,BOS,C,1,0.58333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
637,Mason Appleton,WPG,C,46,42.9,1,0,0,0,1,100.00,2,50.00,0.43,2,2,2,2,1,0,0,0,0,0,0,1,1,4,0,0,0,1,1,50.00
638,Markus Nutivaara,CBJ,D,37,2.0666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
639,Matt Roy,L.A,D,70,96.133333333333,0,0,0,0,0,-,1,0.00,0,3,1,0,0,0,0,2,1,1,0,0,1,7,1,15,2,13,0,0,-
640,Sami Niku,WPG,D,17,0.18333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
641,Adam Brooks,TOR,C,7,1.9666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
642,Philippe Myers,PHI,D,50,17.316666666667,0,0,0,0,0,-,2,0.00,0.01,2,2,0,0,0,0,2,1,1,0,0,0,1,0,2,0,3,0,0,-
643,Kevin Rooney,N.J,C,49,101.7,2,1,1,0,3,100.00,10,20.00,1.32,14,13,10,4,0,2,2,1,1,0,0,0,3,3,3,2,13,18,24,42.86
644,Brandon Tanev,PIT,L,68,143.06666666667,0,1,1,0,1,100.00,11,0.00,1.02,18,17,9,5,2,0,6,3,3,0,0,0,4,6,13,6,20,3,3,50.00
645,Matthew Tkachuk,CGY,L,69,1.2166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,16,4,3,0,1,4,0,0,0,0,0,0,0,-
646,Joey Anderson,N.J,R,18,34.65,0,0,0,0,0,-,2,0.00,0.11,6,4,2,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,100.00
