"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"118","Michael Grabner","ARI","R","41","96.666666666667","6","3","2","1","9","90.00","12","50.00","1.4","17","16","11","6","3","0","0","0","0","0","0","1","3","5","5","3","4","4","6","40.00"
"428","Mark Jankowski","CGY","C","79","152.78333333333","5","3","3","0","8","66.67","15","33.33","1.88","19","17","15","10","3","3","0","0","0","0","0","1","0","12","1","4","11","49","55","47.12"
"43","Patrice Bergeron","BOS","C","65","109.96666666667","4","3","3","0","7","100.00","9","44.44","2.03","19","16","11","5","3","0","4","2","2","0","0","1","1","2","2","1","8","79","72","52.32"
"103","Brad Marchand","BOS","L","79","123.96666666667","3","4","3","1","7","100.00","10","30.00","1.29","16","14","12","5","1","1","43","8","4","1","3","6","8","9","4","6","8","1","6","14.29"
"46","Brad Richardson","ARI","C","66","168.03333333333","3","3","3","0","6","60.00","11","27.27","1.38","14","12","10","7","2","1","2","1","1","0","0","1","3","4","4","4","13","95","93","50.53"
"52","Mark Giordano","CGY","D","78","206.96666666667","4","2","0","2","6","54.55","6","66.67","0.58","11","8","5","4","0","2","2","1","1","0","0","2","9","9","5","3","32","0","0","-"
"676","Anthony Cirelli","T.B","C","82","222.53333333333","5","1","1","0","6","85.71","14","35.71","1.88","20","18","15","10","4","1","6","3","3","0","0","6","1","14","0","8","15","87","79","52.41"
"37","Brent Burns","S.J","D","82","165.5","1","4","2","2","5","100.00","9","11.11","0.39","14","12","5","2","1","0","4","2","2","0","0","4","15","14","12","3","8","0","1","0.00"
"361","Blake Coleman","N.J","C","78","210","3","2","2","0","5","100.00","25","12.00","2.39","39","32","22","8","6","2","15","6","5","1","0","4","3","16","16","6","12","40","68","37.04"
"405","Vladislav Namestnikov","NYR","C","78","128.35","2","3","3","0","5","100.00","15","13.33","1.82","17","17","14","9","1","1","4","2","2","0","0","4","2","2","7","3","12","5","2","71.43"
"436","Teuvo Teravainen","CAR","L","82","73.766666666667","1","4","4","0","5","100.00","8","12.50","1.16","10","10","8","7","3","0","0","0","0","0","0","0","1","6","0","0","2","0","1","0.00"
"647","Sebastian Aho","CAR","C, R","82","92.116666666667","4","1","1","0","5","100.00","9","44.44","1.93","13","12","11","8","0","1","0","0","0","0","0","2","0","7","2","0","2","28","40","41.18"
"1","Matt Cullen","PIT","C","71","158","2","2","2","0","4","100.00","13","15.38","0.84","17","16","8","3","1","0","2","1","1","0","0","1","1","7","4","2","7","76","74","50.67"
"95","Darren Helm","DET","L","61","115.26666666667","1","3","1","2","4","200.00","17","5.88","1.26","25","23","10","5","6","1","0","0","0","0","0","2","2","5","2","2","3","6","6","50.00"
"99","Andy Greene","N.J","D","82","335.46666666667","0","4","2","2","4","50.00","12","0.00","0.47","16","16","3","2","4","0","2","1","1","0","0","0","10","9","14","3","60","0","0","-"
"208","Cam Atkinson","CBJ","R","80","107.33333333333","4","0","0","0","4","80.00","18","22.22","1.38","22","20","15","6","4","1","0","0","0","0","0","1","0","10","2","1","3","0","1","0.00"
"241","Reilly Smith","VGK","R","74","114.08333333333","1","3","2","1","4","100.00","11","9.09","1.51","19","17","14","8","2","1","0","0","0","0","0","1","2","16","4","1","3","2","1","66.67"
"246","Brian Dumoulin","PIT","D","76","179.58333333333","0","4","0","4","4","80.00","5","0.00","0","9","5","3","0","1","1","0","0","0","0","0","1","7","6","14","5","28","0","0","-"
"319","Bryan Rust","PIT","R","72","142.01666666667","2","2","2","0","4","80.00","21","9.52","2.59","27","26","21","13","8","2","0","0","0","0","0","1","0","9","5","2","19","6","7","46.15"
"539","Elias Lindholm","CGY","C","81","185.3","1","3","3","0","4","40.00","10","10.00","1.33","14","12","9","7","2","1","4","1","1","0","0","1","2","10","5","3","8","57","77","42.54"
