id,team_name,gp,toi,w,l,otl,row,points,point_pcg,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,gf,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,scsf,scsa,scsf_pcg,scgf,scga,scgf_pcg,scsh_pcg,scsv_pcg,hdcf,hdca,hdcf_pcg,hdsf,hdsa,hdsf_pcg,hdgf,hdga,hdgf_pcg,hdsh_pcg,hdsv_pcg,mdcf,mdca,mdcf_pcg,mdsf,mdsa,mdsf_pcg,mdgf,mdga,mdgf_pcg,mdsh_pcg,mdsv_pcg,ldcf,ldca,ldcf_pcg,ldsf,ldsa,ldsf_pcg,ldgf,ldga,ldgf_pcg,ldsh_pcg,ldsv_pcg,sh_pcg,sv_pcg,pdo
12,New York Rangers,70,362.7667,37,28,5,36,79,0.564,83,677,10.92,78,544,12.54,67,382,14.92,7,48,12.73,4.02,49.02,7.57,39,353,9.95,30,222,11.90,6,41,12.77,20.00,81.53,22,163,11.89,18,119,13.14,4,24,14.29,22.22,79.83,17,190,8.21,12,103,10.43,2,17,10.53,16.67,83.50,13,310,4.02,8,159,4.79,1,7,12.50,12.50,95.60,10.45,87.43,0.979
13,Buffalo Sabres,69,287.1667,30,31,8,28,68,0.493,71,476,12.98,65,386,14.41,60,278,17.75,4,45,8.16,4.22,34.85,10.80,33,243,11.96,28,171,14.07,4,33,10.81,14.29,80.70,19,122,13.48,19,101,15.83,4,23,14.81,21.05,77.23,14,121,10.37,9,70,11.39,0,10,0.00,0.00,85.71,21,226,8.50,15,106,12.40,0,12,0.00,0.00,88.68,6.67,83.81,0.905
14,Pittsburgh Penguins,69,302.5333,40,23,6,37,86,0.623,78,430,15.35,70,331,17.46,56,244,18.67,4,30,11.76,5.64,29.03,16.28,47,213,18.08,35,138,20.23,4,27,12.90,11.43,80.43,26,79,24.76,19,64,22.89,2,14,12.50,10.53,78.13,21,134,13.55,16,74,17.78,2,13,13.33,12.50,82.43,15,204,6.85,8,104,7.14,0,3,0.00,0.00,97.12,7.14,87.70,0.948
15,Montreal Canadiens,71,342.4667,31,31,9,27,71,0.500,104,575,15.32,88,457,16.15,67,338,16.54,5,41,10.87,5.29,38.14,12.17,52,282,15.57,37,165,18.32,5,28,15.15,13.51,83.03,23,126,15.44,18,93,16.22,4,14,22.22,22.22,84.95,29,156,15.68,19,72,20.88,1,14,6.67,5.26,80.56,26,282,8.44,10,167,5.65,0,13,0.00,0.00,92.22,7.46,87.87,0.953
16,Carolina Hurricanes,68,388.7,38,25,5,33,81,0.596,105,533,16.46,99,406,19.60,89,302,22.76,6,36,14.29,6.42,38.54,14.29,51,290,14.96,46,180,20.35,6,30,16.67,13.04,83.33,29,132,18.01,26,99,20.80,5,21,19.23,19.23,78.79,22,158,12.22,20,81,19.80,1,9,10.00,5.00,88.89,17,230,6.88,10,120,7.69,0,6,0.00,0.00,95.00,6.74,88.08,0.948
17,Minnesota Wild,69,310.5,35,27,7,33,77,0.558,62,473,11.59,52,371,12.29,40,277,12.62,2,40,4.76,2.32,31.13,6.94,24,236,9.23,18,150,10.71,2,30,6.25,11.11,80.00,10,93,9.71,9,72,11.11,1,20,4.76,11.11,72.22,14,143,8.92,9,78,10.34,1,10,9.09,11.11,87.18,20,224,8.20,6,125,4.58,0,10,0.00,0.00,92.00,5.00,85.56,0.906
18,Nashville Predators,69,335.9167,35,26,8,32,78,0.565,78,550,12.42,71,415,14.61,59,301,16.39,6,46,11.54,3.72,36.08,9.34,35,264,11.71,26,165,13.61,6,39,13.33,23.08,76.36,14,101,12.17,11,69,13.75,1,21,4.55,9.09,69.57,21,163,11.41,15,96,13.51,5,18,21.74,33.33,81.25,14,272,4.90,8,133,5.67,0,7,0.00,0.00,94.74,10.17,84.72,0.949
19,Boston Bruins,70,353.2,44,14,12,44,100,0.714,102,516,16.50,92,394,18.93,76,288,20.88,5,33,13.16,5.39,35.19,13.28,40,264,13.16,29,160,15.34,5,24,17.24,17.24,85.00,19,113,14.39,15,88,14.56,5,17,22.73,33.33,80.68,21,151,12.21,14,72,16.28,0,7,0.00,0.00,90.28,34,244,12.23,23,127,15.33,0,9,0.00,0.00,92.91,6.58,88.54,0.951
20,Dallas Stars,69,349.0667,37,24,8,35,82,0.594,75,589,11.30,64,429,12.98,51,319,13.78,4,41,8.89,3.5,37.28,8.59,34,304,10.06,23,175,11.62,4,31,11.43,17.39,82.29,12,109,9.92,9,83,9.78,1,20,4.76,11.11,75.90,22,195,10.14,14,92,13.21,3,11,21.43,21.43,88.04,15,278,5.12,7,142,4.70,0,10,0.00,0.00,92.96,7.84,87.15,0.950
21,Calgary Flames,70,310.6167,36,27,7,30,79,0.564,84,538,13.50,71,411,14.73,57,283,16.76,4,31,11.43,4.13,35.8,10.35,36,285,11.21,24,167,12.57,4,22,15.38,16.67,86.83,16,110,12.70,13,76,14.61,3,12,20.00,23.08,84.21,20,175,10.26,11,91,10.78,1,10,9.09,9.09,89.01,25,242,9.36,14,116,10.77,0,9,0.00,0.00,92.24,7.02,89.05,0.961
