"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"TRAVIS.SANHEIM","2018-2020","PHI","D",86,1468.68,6,19,25,18,1.02,0.74,31.51,1.29,1396,1399,-3,49.95,1.98,70,69,1,50.36,5.92,62.85,56.24,6.61,52.78,5.16,7,12,5,223,9.11,5.81,0.24,5.66,100.47,47.82,35.52,28.72,48.44,28.92,49.89
"TRAVIS.ZAJAC","2018-2020","N.J","C",86,1125.95,12,19,31,18,1.65,0.96,24.65,1.31,1005,1081,-76,48.18,1.53,43,57,-14,43,-2.2,47.83,46.57,1.26,50.67,3.25,6,11,5,131,6.98,9.43,0.5,14.29,97.56,37.6,27.58,29.87,46.69,29.71,50.35
"TRENT.FREDERIC","2018-2020","BOS","C",15,134.23,0,0,0,0,0,0,0.59,0.26,108,114,-6,48.65,-5.33,0,4,-4,0,-64,3.36,4.57,-1.21,42.37,-10.43,2,2,0,23,10.28,1.73,0.77,0,93.44,49.3,18.29,28.45,51.33,27.54,49.55
"TREVOR.DALEY","2018-2020","DET","D",47,696.87,1,4,5,3,0.43,0.26,-4.2,-0.36,526,766,-240,40.71,-7.84,28,32,-4,46.67,1.21,22.68,35.13,-12.45,39.23,-7.8,6,4,-2,76,6.54,2.2,0.19,2.27,102.05,47.37,30.22,27.57,48.5,28.9,49.64
"TREVOR.LEWIS","2018-2020","L.A","C",50,605.18,4,10,14,10,1.39,0.99,19.09,1.89,595,543,52,52.28,4.01,22,31,-9,41.51,0.77,25.04,21.74,3.3,53.53,5.92,3,9,6,141,13.98,6.74,0.67,4.49,95.76,46.79,24.75,28.04,49.37,28.24,49.82
"TREVOR.MOORE","2018-2020","TOR","C",33,306.81,4,7,11,7,2.15,1.37,11.85,2.32,292,289,3,50.26,-2.84,15,11,4,57.69,8.77,9.81,9.77,0.04,50.1,-2.06,1,4,3,68,13.3,3.13,0.61,11.11,103.01,43.33,18.67,26.79,52.1,27.89,49.11
"TREVOR.VAN RIEMSDYK","2018-2020","CAR","D",77,1056.78,2,10,12,7,0.68,0.4,25.9,1.47,1096,926,170,54.2,-0.64,35,44,-9,44.3,-11.09,50.36,38.07,12.29,56.95,0.77,2,2,0,194,11.01,3.88,0.22,2.08,97.36,56.05,28.3,26.68,54.4,28.26,49.21
"TROY.BROUWER","2018-2020","FLA","R",75,794.55,10,9,19,18,1.43,1.36,16.68,1.26,696,761,-65,47.77,-1.97,28,35,-7,44.44,-1.97,27.12,29.39,-2.27,47.99,0.16,13,15,2,123,9.29,6.44,0.49,12.99,98.62,48.48,21.89,27.69,48.89,28.12,49.7
"TROY.STECHER","2018-2020","VAN","D",82,1365.87,2,18,20,12,0.88,0.53,25.52,1.12,1290,1291,-1,49.98,2.76,55,46,9,54.46,12.16,49.78,54.59,-4.81,47.7,2.75,15,21,6,225,9.88,3.25,0.14,2.25,101.82,49.88,34.76,27.34,46.69,28.74,50.05
"TROY.TERRY","2018-2020","ANA","C",39,441.28,2,5,7,6,0.95,0.82,7.66,1.04,378,416,-38,47.61,0.78,16,9,7,64,11.57,14.71,17.24,-2.53,46.04,0.66,1,7,6,60,8.16,3.49,0.47,6.67,104.33,57.55,23.87,29.53,47.47,28.57,50.04
"TUCKER.POOLMAN","2018-2020","WPG","D",8,116.35,1,0,1,1,0.52,0.52,1.08,0.56,103,110,-7,48.36,-2.03,7,8,-1,46.67,5.76,3.02,4.63,-1.61,39.48,-6.08,0,1,1,19,9.8,0.36,0.19,14.29,100.56,57.97,29.09,27.8,49.65,29.22,48.62
"TYLER.BERTUZZI","2018-2020","DET","L",79,1124.71,17,26,43,26,2.29,1.39,40.9,2.18,1042,1052,-10,49.76,3.74,59,44,15,57.28,18.13,44.49,51.2,-6.71,46.49,2.2,15,14,-1,231,12.32,13.38,0.71,14.05,103.39,46.88,28.89,30.28,46.63,29.3,50.15
"TYLER.BOZAK","2018-2020","STL","C",78,916.16,9,18,27,16,1.77,1.05,27.38,1.79,823,821,2,50.06,-0.62,36,35,1,50.7,-2.46,33.95,30.52,3.43,52.66,0.9,11,9,-2,164,10.74,9.92,0.65,8.74,99.86,50.54,24.28,28.91,50.91,28.54,49.87
