"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"585","Tomas Nosek","VGK","L","84","142.3","2","0","0","0","2","66.67","11","18.18","0.67","11","11","5","2","0","1","2","1","1","0","0","1","1","7","8","1","13","15","16","48.39"
"600","Dylan Larkin","DET","C","92","113.78333333333","2","0","0","0","2","100.00","13","15.38","1.06","17","14","7","5","1","0","4","2","2","0","0","1","6","8","4","0","7","82","71","53.59"
"650","Noah Hanifin","CGY","D","98","174.95","1","1","1","0","2","50.00","7","14.29","0.58","9","8","4","2","1","2","0","0","0","0","0","1","4","7","8","0","10","0","0","-"
"656","Connor McDavid","EDM","C","94","50.633333333333","1","1","1","0","2","66.67","3","33.33","0.58","8","7","6","1","0","0","0","0","0","0","0","1","0","0","1","0","1","7","7","50.00"
"672","Brandon Carlo","BOS","D","87","232.86666666667","0","2","0","2","2","100.00","5","0.00","0.11","6","5","1","1","0","0","0","0","0","0","0","4","6","9","21","3","21","0","0","-"
"687","Mathieu Joseph","T.B","R","83","63.366666666667","0","2","2","0","2","100.00","7","0.00","0.75","9","9","7","3","2","0","0","0","0","0","0","1","2","5","0","1","1","1","3","25.00"
"785","Zach Aston-Reese","PIT","C","58","99.966666666667","2","0","0","0","2","50.00","8","25.00","0.69","10","9","4","3","2","0","0","0","0","0","0","4","2","7","4","1","4","0","1","0.00"
"17","Valtteri Filppula","DET, NYI","C","88","139.61666666667","1","0","0","0","1","100.00","6","16.67","0.63","6","6","6","3","3","0","0","0","0","0","0","1","2","6","0","3","2","49","78","38.58"
"19","Frans Nielsen","DET","C","85","116.65","0","1","1","0","1","100.00","3","0.00","0.23","6","5","2","0","0","1","0","0","0","0","0","2","2","1","4","0","7","19","33","36.54"
"23","Duncan Keith","CHI","D","96","192.73333333333","0","1","1","0","1","50.00","3","0.00","0.24","4","3","2","0","0","0","39","6","2","1","3","3","6","7","4","3","26","0","0","-"
"31","Jeff Carter","L.A","C","91","118.48333333333","0","1","1","0","1","100.00","6","0.00","0.59","9","8","5","2","1","1","0","0","0","0","0","0","3","3","4","2","3","49","68","41.88"
"32","Dustin Brown","L.A","L, R","87","146.46666666667","0","1","1","0","1","50.00","6","0.00","0.53","10","8","6","4","1","0","2","1","1","0","0","3","7","7","7","2","8","0","10","0.00"
"33","Brent Seabrook","CHI","D","90","176.75","0","1","1","0","1","33.33","2","0.00","0.1","3","3","1","0","0","0","0","0","0","0","0","2","14","2","14","1","22","0","0","-"
"48","Nate Thompson","L.A, MTL","C","93","169.2","0","1","1","0","1","100.00","14","0.00","1.23","15","15","10","7","0","1","0","0","0","0","0","3","2","6","0","2","14","68","63","51.91"
"50","Kyle Brodziak","EDM","C","70","114.93333333333","1","0","0","0","1","50.00","7","14.29","0.29","9","7","3","2","2","0","0","0","0","0","0","1","0","9","0","0","3","52","60","46.43"
"55","Andrew Ladd","NYI","L","26","10.566666666667","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","100.00"
"63","Brandon Dubinsky","CBJ","C","61","74.333333333333","0","1","1","0","1","100.00","2","0.00","0.05","2","2","1","0","0","0","0","0","0","0","0","0","0","3","4","2","4","39","47","45.35"
"68","Ryan Callahan","T.B","R","52","47.9","0","1","1","0","1","100.00","2","0.00","0.13","3","2","3","0","0","0","0","0","0","0","0","0","0","2","1","1","4","2","4","33.33"
"70","Troy Brouwer","FLA","R","75","122.11666666667","1","0","0","0","1","100.00","6","16.67","0.44","8","7","5","2","1","0","10","1","0","0","1","4","8","6","9","2","8","2","5","28.57"
"75","Sidney Crosby","PIT","C","94","44.666666666667","0","1","1","0","1","100.00","4","0.00","0.43","4","4","4","3","0","1","0","0","0","0","0","6","1","3","1","1","1","16","24","40.00"
"83","Matt Niskanen","PHI, WSH","D","94","237.6","0","1","1","0","1","33.33","6","0.00","0.09","8","7","1","1","0","0","2","1","1","0","0","2","9","9","19","7","25","0","0","-"
"85","Marc-Edouard Vlasic","S.J","D","88","227.31666666667","1","0","0","0","1","50.00","13","7.69","0.36","14","14","3","3","2","0","0","0","0","0","0","1","10","4","1","1","12","0","0","-"
"86","Justin Abdelkader","DET","L","84","156.5","1","0","0","0","1","100.00","7","14.29","1.12","10","8","8","5","2","0","2","1","1","0","0","3","4","5","6","1","8","10","9","52.63"
"87","Adam McQuaid","CBJ, NYR","D","50","84.216666666667","0","1","1","0","1","50.00","0","-","0","0","0","0","0","0","0","2","1","1","0","0","4","1","2","11","1","15","0","0","-"
"88","Kris Letang","PIT","D","80","165.58333333333","0","1","1","0","1","20.00","7","0.00","0.18","8","8","1","1","0","0","2","1","1","0","0","1","15","5","14","2","18","0","0","-"
"89","Kris Russell","EDM","D","88","180.11666666667","0","1","0","1","1","33.33","2","0.00","0","2","2","0","0","0","0","0","0","0","0","0","2","11","5","11","2","36","0","0","-"
"91","Vladimir Sobotka","BUF","C","84","151.45","0","1","0","1","1","50.00","5","0.00","0.29","7","7","3","0","3","0","0","0","0","0","0","1","3","4","5","1","9","43","41","51.19"
"97","Anton Stralman","FLA, T.B","D","61","162.7","0","1","0","1","1","50.00","3","0.00","0.01","3","3","0","0","0","2","0","0","0","0","0","0","2","5","7","1","23","0","0","-"
"99","Dan Girardi","T.B","D","62","130.45","0","1","0","1","1","25.00","1","0.00","0.05","1","1","1","0","0","0","0","0","0","0","0","0","3","3","9","4","18","0","0","-"
"105","Nick Foligno","CBJ","L","88","84.95","0","1","1","0","1","100.00","5","0.00","0.47","8","7","4","3","1","1","2","1","1","0","0","2","3","6","3","3","2","9","15","37.50"
"109","Leo Komarov","NYI","C, R","89","147.86666666667","0","1","1","0","1","100.00","9","0.00","1.04","16","12","8","7","3","1","8","4","4","0","0","1","2","5","15","2","7","5","18","21.74"
"114","Cal Clutterbuck","NYI","R","87","161.08333333333","0","1","1","0","1","100.00","9","0.00","0.94","13","12","7","6","3","1","4","2","2","0","0","2","2","4","11","2","11","2","2","50.00"
"115","Jeff Petry","MTL","D","97","197.18333333333","0","1","0","1","1","50.00","6","0.00","0.2","9","9","1","0","0","0","2","1","1","0","0","1","16","6","23","6","24","0","0","-"
"116","Claude Giroux","PHI","C, R","96","151.46666666667","1","0","0","0","1","33.33","11","9.09","0.93","17","17","10","4","2","0","2","1","1","0","0","1","1","6","2","3","4","86","64","57.33"
"122","Korbinian Holzer","ANA","D","36","86.866666666667","0","1","0","1","1","33.33","2","0.00","0.01","2","2","0","0","0","0","0","0","0","0","0","1","4","2","17","0","15","0","0","-"
"124","Michael Frolik","CGY","R","83","63.483333333333","1","0","0","0","1","100.00","4","25.00","0.64","7","6","4","3","0","0","2","1","1","0","0","2","4","3","0","0","4","1","1","50.00"
"125","Artem Anisimov","CHI, OTT","C","84","93.266666666667","1","0","0","0","1","100.00","10","10.00","1.19","14","11","10","3","1","1","0","0","0","0","0","2","2","9","0","1","3","15","21","41.67"
"127","Jonathan Toews","CHI","C","96","159.76666666667","1","0","0","0","1","33.33","8","12.50","0.56","9","8","7","3","2","0","4","2","2","0","0","0","6","11","1","3","7","119","115","50.85"
"138","Nick Bonino","NSH","C","96","186.18333333333","0","1","0","1","1","33.33","10","0.00","1.01","20","17","10","2","2","1","0","0","0","0","0","2","4","11","0","1","15","84","93","47.46"
"148","P.K. Subban","N.J, NSH","D","76","120.6","1","0","0","0","1","33.33","2","50.00","0.06","2","2","1","0","0","0","0","0","0","0","0","1","2","2","2","0","7","0","0","-"
"149","Riley Nash","CBJ","C","93","42.366666666667","1","0","0","0","1","100.00","1","100.00","0.07","1","1","1","0","0","0","0","0","0","0","0","1","1","2","1","0","5","13","23","36.11"
"150","Thomas Hickey","NYI","D","40","84.916666666667","0","1","0","1","1","50.00","1","0.00","0.07","3","2","0","0","1","0","2","1","1","0","0","1","3","0","3","3","20","0","0","-"
"154","Brandon Sutter","VAN","C","41","121.23333333333","1","0","0","0","1","100.00","9","11.11","0.72","13","12","8","2","1","1","2","1","1","0","0","1","1","4","1","2","2","60","72","45.45"
"157","Carl Gunnarsson","STL","D","34","56.183333333333","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","4","0","9","0","0","-"
"163","Mikael Backlund","CGY","C","95","141.51666666667","0","1","1","0","1","100.00","11","0.00","1.23","14","14","10","7","0","1","2","1","1","0","0","4","3","8","1","2","2","54","44","55.10"
"169","Carl Hagelin","L.A, PIT, WSH","L","74","154.96666666667","0","1","1","0","1","100.00","10","0.00","0.57","15","11","6","0","0","0","2","1","1","0","0","2","4","6","5","3","5","5","3","62.50"
"173","Jason Demers","ARI","D","50","103.98333333333","0","1","1","0","1","33.33","1","0.00","0","2","1","0","0","1","0","0","0","0","0","0","1","4","5","7","3","11","0","0","-"
"178","Drew Doughty","L.A","D","97","232.75","0","1","0","1","1","100.00","5","0.00","0.1","5","5","1","0","0","0","2","1","1","0","0","2","16","2","18","1","21","0","0","-"
"180","Alex Pietrangelo","STL","D","87","173.31666666667","0","1","0","1","1","33.33","12","0.00","0.61","14","13","4","4","3","2","0","0","0","0","0","4","5","13","11","6","22","0","0","-"
"181","Zach Bogosian","BUF","D","65","174.3","1","0","0","0","1","50.00","4","25.00","0.12","5","5","1","1","1","0","7","2","1","1","0","5","5","3","9","3","17","0","0","-"
"185","Josh Bailey","NYI","C, R","96","18.633333333333","1","0","0","0","1","100.00","1","100.00","0.11","1","1","1","1","0","0","2","1","1","0","0","0","2","2","0","0","1","0","1","0.00"
"195","Roman Josi","NSH","D","97","235.06666666667","0","1","1","0","1","25.00","16","0.00","0.47","22","19","5","0","1","0","2","1","1","0","0","3","6","1","9","4","25","0","0","-"
"201","Marco Scandella","BUF","D","74","139.68333333333","0","1","0","1","1","100.00","5","0.00","0.05","5","5","0","0","0","0","2","1","1","0","0","0","8","4","4","2","12","0","0","-"
"204","Adam Henrique","ANA","C","99","97.1","0","1","1","0","1","100.00","5","0.00","0.37","9","8","4","2","1","0","2","1","1","0","0","3","1","5","1","1","6","58","41","58.59"
"205","Dale Weise","MTL, PHI","R","51","65.283333333333","1","0","0","0","1","100.00","3","33.33","0.22","3","3","2","2","0","0","2","1","1","0","0","1","2","2","4","1","5","0","3","0.00"
"206","TJ Brodie","CGY","D","97","182.71666666667","1","0","0","0","1","20.00","3","33.33","0.05","4","4","0","0","1","0","2","1","1","0","0","3","9","8","3","4","16","0","0","-"
"208","Derek Grant","ANA, PIT","C","73","139.1","0","1","1","0","1","50.00","11","0.00","0.95","14","13","8","7","0","1","0","0","0","0","0","0","0","5","1","2","4","89","86","50.86"
"220","Tyler Johnson","T.B","C","93","41.516666666667","1","0","0","0","1","100.00","2","50.00","0.19","3","3","2","2","0","0","0","0","0","0","0","2","0","2","0","1","0","10","27","27.03"
"226","Ryan O'Reilly","STL","C","98","186.95","0","1","1","0","1","100.00","9","0.00","0.63","11","10","5","2","2","0","0","0","0","0","0","1","3","15","0","0","4","143","126","53.16"
"231","Victor Hedman","T.B","D","81","158.85","0","1","1","0","1","20.00","6","0.00","0.24","9","8","2","1","1","0","6","3","3","0","0","2","5","7","3","2","23","0","0","-"
"240","Zack Kassian","EDM","R","95","99.066666666667","1","0","0","0","1","50.00","4","25.00","0.47","7","6","6","5","0","0","8","4","4","0","0","3","3","3","1","1","4","0","2","0.00"
"245","Brayden McNabb","VGK","D","97","274.85","1","0","0","0","1","33.33","10","10.00","0.34","12","12","5","1","1","0","4","2","2","0","0","3","6","8","14","4","39","0","0","-"
"252","Richard Panik","ARI, WSH","R","83","94.6","1","0","0","0","1","33.33","7","14.29","0.45","10","9","5","2","1","2","4","2","2","0","0","2","3","7","9","3","8","3","2","60.00"
"254","Marcus Foligno","MIN","L","97","175.8","0","1","1","0","1","100.00","8","0.00","0.64","15","12","4","1","1","0","4","2","2","0","0","6","3","7","13","5","15","5","12","29.41"
"260","Nicolas Deslauriers","ANA, MTL","L","55","20.266666666667","1","0","0","0","1","100.00","2","50.00","0.26","2","2","2","2","1","0","0","0","0","0","0","1","0","2","0","1","2","1","0","100.00"
"267","Gabriel Bourque","COL, WPG","L","71","142.88333333333","0","1","1","0","1","50.00","8","0.00","0.31","8","8","2","1","1","0","0","0","0","0","0","0","3","5","11","3","15","2","6","25.00"
"268","Ben Chiarot","MTL, WPG","D","93","164.38333333333","0","1","1","0","1","20.00","5","0.00","0.03","8","6","1","0","0","0","0","0","0","0","0","1","14","1","22","3","22","0","0","-"
"272","Marcus Kruger","CHI","C","74","129.51666666667","0","1","1","0","1","100.00","10","0.00","0.35","10","10","2","0","1","0","2","1","1","0","0","2","4","3","2","0","5","31","39","44.29"
"273","Nick Jensen","DET, WSH","D","96","227.81666666667","0","1","0","1","1","33.33","7","0.00","0.12","8","7","2","0","1","0","0","0","0","0","0","3","15","5","7","10","27","0","0","-"
"283","Christopher Tanev","VAN","D","70","225.18333333333","0","1","1","0","1","33.33","11","0.00","0.42","12","12","3","2","1","0","0","0","0","0","0","2","10","6","3","2","44","0","0","-"
"292","Johan Larsson","BUF","C, L","88","200.36666666667","1","0","0","0","1","100.00","5","20.00","0.57","9","7","6","4","1","0","2","1","1","0","0","3","5","4","5","2","12","102","138","42.50"
"297","Charlie Coyle","BOS, MIN","C","96","93.216666666667","1","0","0","0","1","100.00","4","25.00","0.26","4","4","3","0","0","0","0","0","0","0","0","0","5","7","0","1","11","15","26","36.59"
"299","Jon Merrill","VGK","D","73","100.06666666667","1","0","0","0","1","12.50","6","16.67","0.42","8","7","3","1","0","0","0","0","0","0","0","0","5","1","3","3","11","0","0","-"
"302","Brock Nelson","NYI","C","96","81.75","1","0","0","0","1","100.00","8","12.50","0.73","9","8","6","5","1","1","0","0","0","0","0","1","2","1","0","2","7","29","43","40.28"
"308","Cam Fowler","ANA","D","76","94.333333333333","0","1","0","1","1","inf","2","0.00","0","2","2","0","0","0","0","0","0","0","0","0","0","3","2","1","0","9","0","0","-"
"315","Zach Hyman","TOR","C, L","71","158.41666666667","1","0","0","0","1","100.00","9","11.11","0.77","16","13","10","4","2","0","0","0","0","0","0","5","3","7","5","4","15","67","70","48.91"
"316","Erik Gudbranson","ANA, PIT, VAN","D","89","185.46666666667","0","1","0","1","1","33.33","4","0.00","0.09","5","5","1","0","1","0","0","0","0","0","0","4","4","2","11","2","20","0","0","-"
"322","Mark Pysyk","FLA","D","79","121.31666666667","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","4","2","2","0","0","0","2","5","12","3","16","0","0","-"
"329","Tom Kuhnhackl","NYI","R","42","42.166666666667","0","1","1","0","1","100.00","2","0.00","0.11","3","2","2","0","0","1","0","0","0","0","0","1","1","1","1","0","2","0","0","-"
"345","Taylor Fedun","DAL","D","68","59.15","0","1","0","1","1","100.00","2","0.00","0","2","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","7","0","0","-"
"349","Matthew Peca","MTL","C","39","48.6","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","2","2","7","12","36.84"
"354","Josh Manson","ANA","D","85","250.33333333333","0","1","1","0","1","20.00","5","0.00","0.31","8","8","3","2","0","0","6","3","3","0","0","6","13","11","27","4","23","0","0","-"
"356","Josh Archibald","ARI, EDM","R","76","125.91666666667","0","1","1","0","1","100.00","7","0.00","0.48","9","7","5","2","5","0","2","1","1","0","0","2","0","4","6","4","6","2","7","22.22"
"358","Dylan DeMelo","OTT","D","91","170.41666666667","0","1","0","1","1","20.00","4","0.00","0.31","6","4","2","2","0","1","0","0","0","0","0","3","1","0","7","5","19","0","0","-"
"361","Fredrik Claesson","NYR","D","37","57.95","0","1","0","1","1","50.00","2","0.00","0.11","2","2","1","1","0","0","2","1","1","0","0","1","3","2","5","0","4","0","0","-"
"379","Boone Jenner","CBJ","C","92","129.8","1","0","0","0","1","100.00","14","7.14","1.01","18","16","8","5","4","0","6","2","2","0","0","4","2","8","6","1","15","72","66","52.17"
"384","Markus Granlund","EDM, VAN","C","91","196.73333333333","0","1","1","0","1","50.00","10","0.00","0.43","14","12","3","0","0","0","0","0","0","0","0","1","4","8","2","3","8","8","26","23.53"
"395","Adam Larsson","EDM","D","83","163.66666666667","0","1","1","0","1","33.33","2","0.00","0","2","2","0","0","0","0","2","1","1","0","0","0","4","2","18","0","16","0","0","-"
"396","Ryan Strome","EDM, NYR","C","93","113.26666666667","1","0","0","0","1","100.00","15","6.67","0.77","16","16","6","2","0","0","2","1","1","0","0","3","3","7","1","0","5","32","49","39.51"
"399","Sean Couturier","PHI","C","94","196.51666666667","1","0","0","0","1","100.00","21","4.76","1.78","25","24","13","8","4","0","10","1","0","0","1","4","4","13","0","3","14","89","72","55.28"
"400","Dougie Hamilton","CAR","D","97","48.766666666667","0","1","1","0","1","100.00","2","0.00","0.05","2","2","0","0","0","0","0","0","0","0","0","0","3","0","0","0","6","0","0","-"
"426","Yanni Gourde","T.B","C","93","147.26666666667","0","1","0","1","1","100.00","7","0.00","0.42","9","9","4","2","0","0","2","1","1","0","0","1","4","10","5","5","4","10","12","45.45"
"434","Brady Skjei","NYR","D","90","207.18333333333","0","1","0","1","1","25.00","6","0.00","0.17","8","7","2","0","1","1","4","2","2","0","0","1","9","4","15","3","19","0","0","-"
"452","Colton Parayko","STL","D","96","149.25","0","1","0","1","1","inf","5","0.00","0.01","6","6","0","0","0","0","5","1","0","1","0","3","4","4","9","1","16","0","0","-"
"454","Esa Lindell","DAL","D","99","334.08333333333","1","0","0","0","1","25.00","17","5.88","0.26","20","17","3","0","1","0","4","2","2","0","0","3","14","9","10","3","50","0","0","-"
"462","Chris Tierney","OTT","C","95","176.18333333333","1","0","0","0","1","50.00","15","6.67","1.59","20","16","11","6","4","1","0","0","0","0","0","3","6","8","3","0","13","78","86","47.56"
"465","Damon Severson","N.J","D","95","144.55","0","1","1","0","1","25.00","10","0.00","0.08","11","10","1","0","1","0","4","2","2","0","0","2","4","2","8","2","13","0","0","-"
"468","Jake McCabe","BUF","D","74","163","1","0","0","0","1","50.00","4","25.00","0.19","6","6","2","0","2","0","5","1","0","1","0","5","9","3","18","1","27","0","0","-"
"476","Brett Kulak","MTL","D","65","25.3","1","0","0","0","1","100.00","2","50.00","0.16","3","3","1","1","0","0","2","1","1","0","0","2","0","0","1","1","3","0","0","-"
