"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"43","Carter Hutton","BUF","59","2735.9333333333","1452","1331","121","0.917","2.65","-3.49","102.24","364","298","66","0.819","1.45","-2.96","377","334","43","0.886","0.94","-9.19","627","615","12","0.981","0.26","5.76","60","110","38.25","20.79"
"72","Juuse Saros","NSH","36","1571.25","806","739","67","0.917","2.56","-1.77","61.83","211","177","34","0.839","1.30","2.54","224","206","18","0.920","0.69","2.09","325","311","14","0.957","0.53","-4.79","62","95","36.34","25.25"
"14","Brian Elliott","PHI","34","1409.1166666667","762","698","64","0.916","2.73","-2.33","58.23","200","169","31","0.845","1.32","3.63","190","171","19","0.900","0.81","-1.96","322","309","13","0.960","0.55","-3.88","30","110","37.55","25.03"
"15","Devan Dubnyk","MIN","76","3512.25","1659","1519","140","0.916","2.39","-5.74","111.93","372","291","81","0.782","1.38","-16.58","389","357","32","0.918","0.55","2.89","812","785","27","0.967","0.46","-4.00","66","169","39.20","21.86"
"94","Alexandar Georgiev","NYR","40","1767.3666666667","972","890","82","0.916","2.78","-3.34","77.66","289","239","50","0.827","1.70","0.05","248","225","23","0.907","0.78","-0.76","394","385","9","0.977","0.31","2.16","39","96","35.22","21.30"
"75","Pheonix Copley","WSH","27","1218.65","600","549","51","0.915","2.51","-2.44","46.76","168","140","28","0.833","1.38","1.09","138","121","17","0.877","0.84","-4.62","257","251","6","0.977","0.30","1.28","40","68","35.60","20.92"
"63","Joonas Korpisalo","CBJ","39","1699.8333333333","817","747","70","0.914","2.47","-3.88","60.44","207","164","43","0.792","1.52","-7.15","190","173","17","0.911","0.60","0.04","376","367","9","0.976","0.32","1.65","42","102","38.42","19.59"
"89","Carter Hart","PHI","40","1749.25","952","870","82","0.914","2.81","-4.96","66.54","204","162","42","0.794","1.44","-6.67","259","232","27","0.896","0.93","-3.77","420","407","13","0.969","0.45","-1.10","39","126","38.41","22.00"
"34","Jake Allen","STL","49","2166.7166666667","1065","972","93","0.913","2.58","-6.81","77.23","266","213","53","0.801","1.47","-6.94","321","295","26","0.919","0.72","2.79","425","411","14","0.967","0.39","-1.96","57","109","35.64","22.62"
"45","Sergei Bobrovsky","CBJ, FLA","74","3450.8666666667","1695","1547","148","0.913","2.57","-10.83","131.84","465","391","74","0.841","1.29","6.53","477","425","52","0.891","0.90","-9.22","681","659","22","0.968","0.38","-2.71","82","207","35.40","22.28"
