id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
31,Robin Lehner,"CHI, VGK",36,1645.7833333333,971,899,72,0.926,2.62,6.81,71.61,256,210,46,0.820,1.68,-0.86,265,245,20,0.925,0.73,3.11,395,389,6,0.985,0.22,5.36,45,106,35.13,17.38
32,Darcy Kuemper,ARI,29,1432.45,725,676,49,0.932,2.05,9.84,53.01,170,143,27,0.841,1.13,2.98,195,178,17,0.913,0.71,0.01,327,322,5,0.985,0.21,4.40,34,78,36.71,19.59
33,Carter Hutton,BUF,31,1488.3333333333,750,687,63,0.916,2.54,-2.13,58.02,205,166,39,0.810,1.57,-2.85,190,172,18,0.905,0.73,-1.43,322,316,6,0.981,0.24,3.26,33,95,35.30,16.94
34,Cam Talbot,CGY,26,1170.1166666667,651,602,49,0.925,2.51,3.83,45.59,129,104,25,0.806,1.28,-2.25,209,192,17,0.919,0.87,1.23,279,272,7,0.975,0.36,1.02,35,68,36.98,20.94
35,Sergei Bobrovsky,FLA,50,2245.6,1173,1064,109,0.907,2.91,-13.80,94.43,348,290,58,0.833,1.55,3.37,297,268,29,0.902,0.77,-3.10,458,437,21,0.954,0.56,-7.83,52,176,35.98,23.02
36,Calvin Pickard,DET,3,137.15,59,46,13,0.780,5.69,-8.21,5.85,22,12,10,0.545,4.37,-6.12,14,12,2,0.857,0.87,-0.78,20,19,1,0.950,0.44,-0.42,4,10,33.76,13.08
37,Jack Campbell,"L.A, TOR",26,1293.1666666667,621,570,51,0.918,2.37,-0.60,46.39,159,127,32,0.799,1.48,-3.96,157,144,13,0.917,0.60,0.69,273,267,6,0.978,0.28,1.85,38,77,36.61,18.84
38,Philipp Grubauer,COL,36,1611.4333333333,815,762,53,0.935,1.97,13.14,59.12,223,191,32,0.857,1.19,7.32,206,191,15,0.927,0.56,2.97,338,332,6,0.982,0.22,3.72,51,115,37.22,20.40
39,Louis Domingue,"N.J, VAN",17,626.61666666667,350,309,41,0.883,3.93,-12.59,25.18,82,58,24,0.707,2.30,-9.54,108,97,11,0.898,1.05,-1.58,140,134,6,0.957,0.57,-1.97,13,29,36.21,20.73
40,Petr Mrazek,CAR,40,1831.7333333333,857,782,75,0.912,2.46,-5.45,68.92,245,202,43,0.824,1.41,0.20,216,195,21,0.903,0.69,-2.16,328,317,11,0.966,0.36,-1.57,49,100,35.87,18.64
41,Frederik Andersen,TOR,52,2457.7333333333,1251,1145,106,0.915,2.59,-4.47,92.77,328,264,64,0.805,1.56,-6.16,310,282,28,0.910,0.68,-0.96,549,535,14,0.974,0.34,1.79,77,112,36.53,19.46
42,Keith Kinkaid,MTL,6,279.75,153,138,15,0.902,3.22,-2.58,10.29,37,29,8,0.784,1.72,-1.48,36,31,5,0.861,1.07,-1.86,71,69,2,0.972,0.43,0.04,7,20,38.27,19.67
43,Laurent Brossoit,WPG,19,817.51666666667,416,378,38,0.909,2.79,-4.24,35.86,135,105,30,0.778,2.20,-6.19,88,83,5,0.943,0.37,2.68,176,173,3,0.983,0.22,2.06,22,54,33.99,16.24
