"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"108","Nick Foligno","CBJ","L","91","1233.6333333333","15","19","6","13","34","56.67","137","10.95","10.48","209","169","125","53","7","17","22","8","6","2","0","16","28","46","213","62","50","100","76","56.82"
"137","Alex Killorn","T.B","C, L","101","1145.8","13","21","14","7","34","57.63","142","9.15","12.4","269","196","160","57","15","19","34","17","17","0","0","8","24","25","94","100","21","4","5","44.44"
"176","Lars Eller","WSH","C","105","1275.3333333333","11","23","14","9","34","59.65","172","6.40","15.57","296","241","181","73","10","25","43","19","18","1","0","17","61","42","80","125","31","543","511","51.52"
"232","Mike Hoffman","FLA","C, L","104","1366.9666666667","17","17","9","8","34","72.34","172","9.88","11.53","296","223","144","51","16","12","26","13","13","0","0","18","78","46","46","69","30","9","17","34.62"
"264","Mattias Ekholm","NSH","D","101","1897.2333333333","6","28","13","15","34","40.96","155","3.87","6.21","341","233","78","14","6","16","36","18","18","0","0","15","68","45","71","102","107","0","0","-"
"329","Zach Hyman","TOR","C, L","76","1081.2","14","20","10","10","34","54.84","136","10.29","15.44","227","181","172","103","11","19","50","18","15","2","1","17","22","23","99","143","23","40","49","44.94"
"520","Connor Brown","OTT, TOR","R","104","1252.1833333333","8","26","17","9","34","70.83","106","7.55","9.93","190","157","118","58","9","10","16","7","7","0","0","6","26","35","38","113","41","16","22","42.11"
"555","Pavel Buchnevich","NYR","L, R","83","1060.2833333333","13","21","16","5","34","61.82","111","11.71","10.93","188","152","127","59","6","14","19","8","7","1","0","11","52","36","73","112","26","8","21","27.59"
"642","Kevin Fiala","MIN, NSH","L","100","1261.7833333333","14","20","16","4","34","73.91","159","8.81","15.06","296","235","173","72","7","21","26","12","12","0","0","9","57","48","48","82","25","2","5","28.57"
"747","Anthony Beauvillier","NYI","C, L","101","1289.95","22","12","7","5","34","58.62","159","13.84","16.03","251","206","187","99","16","11","8","4","4","0","0","14","39","40","104","160","41","24","26","48.00"
"785","Dominik Simon","PIT","C","93","1189.15","9","25","14","11","34","65.38","153","5.88","13.06","262","205","148","69","11","14","24","12","12","0","0","14","38","41","101","109","28","11","19","36.67"
"25","Duncan Keith","CHI","D","104","1940.45","5","28","10","18","33","34.74","140","3.57","5.6","312","197","67","8","4","12","37","17","16","1","0","6","90","34","42","99","144","0","0","-"
"193","Erik Karlsson","S.J","D","75","1370.8833333333","2","31","14","17","33","44.00","153","1.31","5.63","364","230","67","8","5","30","16","7","7","0","0","8","77","67","46","87","79","0","1","0.00"
"235","Kyle Palmieri","N.J","C, R","94","1264.45","19","14","8","6","33","57.89","159","11.95","12.77","260","213","134","59","5","12","32","16","16","0","0","20","33","38","117","114","40","23","61","27.38"
"344","Marcus Sorensen","S.J","L","100","1153.65","18","15","7","8","33","61.11","116","15.52","13.54","188","154","141","76","3","15","25","11","10","1","0","16","25","33","106","91","29","13","16","44.83"
"389","Blake Coleman","N.J","C","98","1266.9166666667","18","15","9","6","33","62.26","209","8.61","17.62","330","269","188","84","11","22","58","29","29","0","0","22","35","41","264","107","39","74","90","45.12"
"441","Rickard Rakell","ANA","C, L, R","92","1320.9833333333","15","18","13","5","33","62.26","190","7.89","16.14","333","250","187","79","9","25","19","4","2","1","1","18","62","38","95","125","38","12","27","30.77"
"686","Danton Heinen","BOS","C, L","99","1210.6","12","21","14","7","33","68.75","114","10.53","10.02","211","155","109","50","7","8","14","7","7","0","0","12","33","50","60","80","51","4","10","28.57"
"745","Zach Werenski","CBJ","D","103","1858.15","12","21","11","10","33","37.93","175","6.86","9.29","357","254","101","26","6","20","20","10","10","0","0","7","55","42","80","105","97","0","0","-"
"775","Derek Ryan","CGY","C","106","1069.3666666667","14","19","9","10","33","71.74","110","12.73","10.14","187","152","113","57","8","8","26","13","13","0","0","5","55","51","22","97","24","446","330","57.47"
"805","Brandon Tanev","PIT, WPG","L","102","1207.9","14","19","10","9","33","80.49","145","9.66","11.32","255","198","137","63","7","18","20","7","5","2","0","27","30","27","340","222","63","0","0","-"
"864","Michal Kempny","WSH","D","87","1466.3666666667","9","24","11","13","33","36.67","119","7.56","4.27","271","183","46","7","2","11","56","28","28","0","0","8","53","20","76","128","133","0","0","-"
"905","Miro Heiskanen","DAL","D","105","1955.55","11","22","12","10","33","40.74","191","5.76","8.93","370","246","128","23","6","23","14","7","7","0","0","8","109","37","38","175","86","0","0","-"
"948","Andrei Svechnikov","CAR","R","104","1277.8166666667","16","17","4","13","33","63.46","185","8.65","19.07","304","244","188","100","14","28","54","27","27","0","0","19","72","42","151","159","33","1","4","20.00"
"77","Paul Stastny","VGK","C","74","1023","11","21","14","7","32","69.57","112","9.82","14.4","180","157","136","74","7","15","30","15","15","0","0","13","15","42","58","56","21","478","445","51.79"
"217","Matt Calvert","COL","L","102","1168.7833333333","12","20","12","8","32","68.09","140","8.57","12.43","228","172","151","67","11","16","29","13","12","1","0","17","21","40","128","134","42","31","42","42.47"
"233","Tyler Bozak","STL","C","95","1115.2666666667","10","22","10","12","32","78.05","120","8.33","11.18","192","162","120","52","7","10","24","12","12","0","0","10","24","35","60","54","30","490","380","56.32"
