id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
173,Jared Spurgeon,MIN,D,62,151.85,3,10,4,6,13,52.00,17,17.65,2.21,30,25,11,5,1,2,2,1,1,0,0,0,2,2,1,4,0,0,0,-
174,Mark Barberio,COL,D,20,2.2166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
175,Luke Witkowski,T.B,R,12,0.33333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
176,Zac Rinaldo,CGY,C,19,0.2,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
177,Jordie Benn,VAN,D,44,1.1833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
178,Antoine Roussel,VAN,L,40,53.233333333333,0,0,0,0,0,0.00,7,0.00,1.23,13,11,13,6,1,0,4,2,2,0,0,1,1,0,3,1,0,2,1,66.67
179,Tyler Johnson,T.B,C,64,119.83333333333,1,6,4,2,7,53.85,17,5.88,2.01,25,21,19,9,0,3,0,0,0,0,0,0,2,2,2,3,0,24,14,63.16
180,Brian Lashoff,DET,D,9,0.016666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
181,Mike Hoffman,FLA,"C, L",69,245.46666666667,11,9,4,5,20,57.14,82,13.41,7.55,178,115,63,6,0,13,8,4,4,0,0,0,15,4,1,7,1,1,4,20.00
182,Tyler Bozak,STL,C,67,106.4,2,2,2,0,4,28.57,14,14.29,2.16,22,18,14,7,0,3,0,0,0,0,0,0,1,0,1,4,0,38,28,57.58
183,Marcus Johansson,BUF,L,60,137.06666666667,1,3,0,3,4,30.77,13,7.69,1.79,22,19,13,4,0,0,2,1,1,0,0,1,6,0,3,7,0,9,20,31.03
184,Kyle Palmieri,N.J,"C, R",64,193.68333333333,9,7,2,5,16,64.00,39,23.08,6.8,70,61,52,24,1,3,0,0,0,0,0,1,2,1,9,7,1,1,1,50.00
185,Ryan O'Reilly,STL,C,70,190.18333333333,2,13,6,7,15,53.57,25,8.00,3.03,31,28,26,9,1,1,2,1,1,0,0,0,5,5,2,2,0,125,94,57.08
186,Kyle Clifford,"L.A, TOR",L,68,7.2166666666667,0,0,0,0,0,-,1,0.00,0.08,1,1,1,0,0,0,12,3,1,2,0,0,0,0,0,1,0,0,0,-
187,Alex Chiasson,EDM,R,64,136.48333333333,5,7,5,2,12,40.00,29,17.24,6.38,40,38,36,31,0,8,0,0,0,0,0,0,0,1,2,4,0,0,1,0.00
188,Jakob Silfverberg,ANA,R,64,144.21666666667,3,2,1,1,5,50.00,20,15.00,3.23,38,31,28,14,0,1,2,1,1,0,0,0,5,0,1,5,0,1,5,16.67
189,John Tavares,TOR,C,62,171,6,10,7,3,16,59.26,26,23.08,4.7,50,43,40,17,1,2,0,0,0,0,0,0,3,3,2,4,0,112,83,57.44
190,Victor Hedman,T.B,D,66,197.68333333333,4,17,9,8,21,72.41,38,10.53,3.24,64,51,20,4,0,7,2,1,1,0,0,0,4,1,3,2,4,0,0,-
191,Matt Duchene,NSH,C,65,159.91666666667,4,4,3,1,8,47.06,31,12.90,5.92,43,40,33,25,0,3,0,0,0,0,0,0,10,1,1,3,0,57,35,61.96
192,Evander Kane,S.J,L,63,163.86666666667,11,4,3,1,15,68.18,41,26.83,8.92,64,55,55,43,1,7,8,4,4,0,0,1,10,0,1,7,0,33,32,50.77
193,Brayden Schenn,STL,C,70,189.45,10,9,6,3,19,57.58,37,27.03,5.24,66,46,48,18,0,2,4,2,2,0,0,4,8,0,4,4,0,19,20,48.72
194,Oliver Ekman-Larsson,ARI,D,66,170.48333333333,2,4,1,3,6,30.00,24,8.33,1.42,42,29,11,2,1,3,6,3,3,0,0,0,6,1,2,5,4,0,0,-
195,Nazem Kadri,COL,C,51,185.81666666667,4,7,2,5,11,37.93,32,12.50,5.61,61,50,47,24,0,6,12,6,6,0,0,0,3,0,4,7,2,100,53,65.36
196,Ryan Ellis,NSH,D,48,97.233333333333,2,6,3,3,8,80.00,19,10.53,1.16,35,24,9,0,0,3,5,1,0,1,0,1,4,0,1,1,3,0,0,-
197,Calvin de Haan,CHI,D,29,3.4166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,-
198,Zack Kassian,EDM,R,58,23.25,0,0,0,0,0,0.00,5,0.00,0.71,6,6,5,3,0,1,13,5,4,1,0,0,1,0,0,1,0,0,0,-
199,Dmitry Kulikov,WPG,D,50,7.4833333333333,0,0,0,0,0,0.00,1,0.00,0.04,1,1,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,-
200,Nick Leddy,NYI,D,59,68.633333333333,0,3,1,2,3,60.00,7,0.00,0.53,13,9,8,2,0,1,4,2,2,0,0,0,5,4,1,2,1,0,0,-
201,Chris Kreider,NYR,"C, L",63,200.45,7,3,3,0,10,33.33,37,18.92,8.37,66,61,57,39,0,6,6,3,3,0,0,1,12,1,6,8,2,4,5,44.44
202,John Moore,BOS,D,23,4.7666666666667,0,0,0,0,0,0.00,0,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-
203,Brayden McNabb,VGK,D,71,5.1,0,0,0,0,0,0.00,0,-,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,-
204,Reilly Smith,VGK,R,71,128.4,3,2,1,1,5,38.46,22,13.64,3.79,36,32,31,16,0,2,2,1,1,0,0,0,6,0,0,3,0,0,0,-
205,Tomas Tatar,MTL,L,68,141.13333333333,8,5,1,4,13,65.00,27,29.63,2.7,48,36,27,10,2,2,0,0,0,0,0,0,4,3,4,6,0,0,1,0.00
206,Tyson Barrie,TOR,D,69,171.8,1,11,4,7,12,60.00,16,6.25,1.17,39,22,8,1,1,3,0,0,0,0,0,0,1,1,2,5,2,0,0,-
207,Dmitry Orlov,WSH,D,69,94.466666666667,1,4,3,1,5,55.56,6,16.67,0.46,18,9,2,0,0,1,0,0,0,0,0,1,2,3,1,1,1,0,0,-
208,Brandon Pirri,VGK,C,16,28.283333333333,0,0,0,0,0,-,9,0.00,1.22,13,11,9,4,0,0,0,0,0,0,0,0,2,0,2,3,0,3,1,75.00
209,Brian Dumoulin,PIT,D,27,17.95,0,1,1,0,1,100.00,2,0.00,0.18,4,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-
210,Richard Panik,WSH,R,59,13.766666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.00
211,Mattias Ekholm,NSH,D,67,89.3,0,5,3,2,5,71.43,12,0.00,0.77,21,15,3,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,-
212,Marcus Foligno,MIN,L,59,1.9166666666667,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,-
