"league_id,""league_name"",""nhle"""
"581,""Denmark U17"",0.00687622149659468"
"208,""Belarus2"",0.0789299915138384"
"566,""Czech U18 2"",0.0243710077836516"
"89,""Norway2"",0.0361716613606971"
"509,""Slovakia U18 2"",0.0129109956604122"
"170,""EmJHL"",0.0106607190297943"
"372,""GLJCHL"",0.0157260149943265"
"375,""NDJCHL"",0.0161431537546457"
"380,""SOJHL"",0.00991907365350234"
"10001458,""Juniorallsvenskan"",0.144274957969176"
"444,""NAMHL"",0.00485072936895485"
"257,""VIJHL"",0.0196978620584177"
"507,""NDMHL"",0.00824328937907676"
"220,""QJAAAHL"",0.0409083156791887"
"572,""Jr. B Mestis"",0.0230602542056712"
"76,""Suomi-sarja"",0.0592030526501007"
"434,""Elite Jr. B"",0.0217581464404353"
"652,""AYHL 18U"",0.0194231206281295"
"606,""QMEAA"",0.00574688938138604"
"589,""MWJHL"",0.0318153782030974"
"594,""USPHL Premier"",0.0263276753873547"
"633,""HPHL U18"",0.0276716858131872"
"79,""AWHL"",0.0212384319633588"
"859,""MHSL U18"",0.0355767923481546"
"860,""MHSL U16"",0.0270190237823989"
