"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"KRIS.RUSSELL","2019-2020","EDM","D",13,206.05,0,1,1,1,0.29,0.29,1.08,0.31,160,191,-31,45.58,-4.01,4,4,0,50,3.85,6.3,6.72,-0.42,48.39,-1.84,1,1,0,20,5.82,0.39,0.11,0,100.7,49.04,32.54,27.56,49.92,28.88,49.05
"KURTIS.MACDERMID","2019-2020","L.A","D",5,57.12,1,0,1,1,1.05,1.05,1.65,1.73,68,55,13,55.28,8.41,1,1,0,50,2.63,2.1,2.32,-0.22,47.51,-2.29,4,1,-3,11,11.55,0.31,0.33,12.5,99.25,54.05,24.88,26.11,53.78,27.88,49.75
"KYLE.CAPOBIANCO","2019-2020","ARI","D",6,74.89,1,0,1,1,0.8,0.8,1.68,1.35,73,70,3,51.05,-0.65,3,2,1,60,2.86,3.52,2.66,0.86,56.96,-0.47,1,1,0,11,8.81,0.15,0.12,20,102.32,46.51,26.57,25.92,52.52,28.32,46.65
"KYLE.CLIFFORD","2019-2020","L.A","L",12,127.17,1,3,4,4,1.89,1.89,7.68,3.62,168,105,63,61.54,10.53,5,5,0,50,9.18,7.3,4.24,3.06,63.26,11.62,3,3,0,35,16.51,2.17,1.02,4.55,95.34,52.17,22.56,28.2,48.85,27.49,49.53
"KYLE.CONNOR","2019-2020","WPG","L",13,180.41,1,1,2,2,0.67,0.67,5.82,1.94,189,143,46,56.93,7.97,4,9,-5,30.77,-15.38,5.8,8.01,-2.21,42,-4.27,1,1,0,52,17.29,2.19,0.73,2.63,93.85,66,27.98,31.05,51.36,28.95,48.17
"KYLE.OKPOSO","2019-2020","BUF","R",13,135.15,1,4,5,5,2.22,2.22,6.81,3.02,130,99,31,56.77,11.79,5,4,1,55.56,-3.9,5.9,3.6,2.3,62.11,18.26,3,4,1,26,11.54,1.57,0.7,6.25,100.33,32.39,22.23,28.15,35.64,28.21,49.56
"KYLE.PALMIERI","2019-2020","N.J","C",9,113.83,2,1,3,3,1.58,1.58,3.65,1.92,97,86,11,53.01,8.88,6,7,-1,46.15,3.3,3.54,3.56,-0.02,49.86,4.27,2,2,0,23,12.12,1.08,0.57,16.67,97.49,50.6,27.33,30.88,39.48,30.08,50.6
"KYLE.TURRIS","2019-2020","NSH","C",12,137.37,2,2,4,4,1.75,1.75,5.13,2.24,164,146,18,52.9,2.38,6,7,-1,46.15,-23.08,5.26,5.32,-0.06,49.72,-3.48,0,1,1,35,15.29,1.17,0.51,11.11,98.48,62.35,24.57,29.12,51.26,28.2,49.63
"LARS.ELLER","2019-2020","WSH","C",14,161.23,1,5,6,4,2.23,1.49,8.97,3.34,185,128,57,59.11,11.68,10,8,2,55.56,5.56,7.52,5.38,2.14,58.29,12.6,4,3,-1,37,13.77,1.58,0.59,5.26,99.2,50.98,26.45,29.12,46.34,28.64,49.33
"LAWSON.CROUSE","2019-2020","ARI","L",10,114.17,1,1,2,2,1.05,1.05,2.81,1.48,95,99,-4,48.97,-4.59,2,2,0,50,-4.17,3.29,2.88,0.41,53.32,-4.31,1,5,4,15,7.88,1,0.53,9.09,99.62,40.68,24.4,29.61,55.01,28.74,48.36
