id,team_name,gp,toi,w,l,otl,row,points,points_pcg,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,gf,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,scsf,scsa,scsf_pcg,scgf,scga,scgf_pcg,scsh_pcg,scsv_pcg,hdcf,hdca,hdcf_pcg,hdsf,hdsa,hdsf_pcg,hdgf,hdga,hdgf_pcg,hdsh_pcg,hdsv_pcg,mdcf,mdca,mdcf_pcg,mdsf,mdsa,mdsf_pcg,mdgf,mdga,mdgf_pcg,mdsh_pcg,mdsv_pcg,ldcf,ldca,ldcf_pcg,ldsf,ldsa,ldsf_pcg,ldgf,ldga,ldgf_pcg,ldsh_pcg,ldsv_pcg,sh_pcg,sv_pcg,pdo
1,Washington Capitals,68,3205.5167,40,18,10,39,90,0.662,3178,3122,50.44,2342,2315,50.29,1640,1644,49.94,156,123,55.91,127.43,132.6,49.01,1521,1459,51.04,846,840,50.18,127,104,54.98,15.01,87.62,589,664,47.01,403,466,46.38,81,84,49.09,20.10,81.97,932,795,53.97,443,374,54.22,46,20,69.70,10.38,94.65,1359,1311,50.90,700,690,50.36,28,18,60.87,4.00,97.39,9.51,92.52,1.020
2,Vancouver Canucks,66,3182.4833,37,21,8,33,82,0.621,2876,3110,48.05,2149,2312,48.17,1545,1716,47.38,140,136,50.72,113.23,128.65,46.81,1322,1565,45.79,756,921,45.08,117,119,49.58,15.48,87.08,517,579,47.17,372,446,45.48,80,79,50.31,21.51,82.29,805,986,44.95,384,475,44.70,37,40,48.05,9.64,91.58,1297,1313,49.69,696,718,49.22,23,17,57.50,3.30,97.63,9.06,92.07,1.011
3,San Jose Sharks,69,3370.5167,39,24,6,37,84,0.609,3316,2858,53.71,2397,2084,53.49,1717,1492,53.51,157,147,51.64,144.39,122.87,54.03,1593,1341,54.29,969,837,53.65,135,123,52.33,13.93,85.30,695,577,54.64,529,440,54.59,87,77,53.05,16.45,82.50,898,764,54.03,440,397,52.57,48,46,51.06,10.91,88.41,1384,1207,53.42,667,553,54.67,22,24,47.83,3.30,95.66,9.14,90.15,0.993
4,Buffalo Sabres,68,3359.45,36,24,8,32,80,0.588,2879,2937,49.50,2306,2321,49.84,1677,1727,49.27,138,138,50.00,111.58,114.71,49.31,1278,1276,50.04,795,832,48.86,117,122,48.95,14.72,85.34,560,543,50.77,422,419,50.18,79,75,51.30,18.72,82.10,718,733,49.48,373,413,47.46,38,47,44.71,10.19,88.62,1379,1403,49.57,808,812,49.88,21,16,56.76,2.60,98.03,8.23,92.01,1.002
5,New York Rangers,69,3328.0167,33,25,11,31,77,0.558,2952,3245,47.64,2242,2403,48.27,1656,1722,49.02,136,134,50.37,133.5,136.42,49.46,1511,1588,48.76,912,908,50.11,119,120,49.79,13.05,86.78,729,688,51.45,531,493,51.86,84,84,50.00,15.82,82.96,782,900,46.49,381,415,47.86,35,36,49.30,9.19,91.33,1154,1373,45.67,641,723,46.99,17,14,54.84,2.65,98.06,8.21,92.22,1.004
6,Pittsburgh Penguins,68,3339.7833,42,19,7,40,91,0.669,3124,3133,49.93,2365,2327,50.40,1832,1788,50.61,156,127,55.12,137.12,126.28,52.06,1532,1397,52.30,1024,932,52.35,140,113,55.34,13.67,87.88,667,556,54.54,545,444,55.11,89,72,55.28,16.33,83.78,865,841,50.70,479,488,49.53,51,41,55.43,10.65,91.60,1330,1414,48.47,706,751,48.46,16,11,59.26,2.27,98.54,8.52,92.90,1.014
7,Carolina Hurricanes,69,3345.3,42,22,5,36,89,0.645,3618,2937,55.19,2771,2238,55.32,1884,1550,54.86,146,126,53.68,171.2,133.39,56.21,1759,1322,57.09,982,763,56.28,122,106,53.51,12.42,86.11,842,630,57.20,553,438,55.80,81,79,50.63,14.65,81.96,917,692,56.99,429,325,56.90,41,27,60.29,9.56,91.69,1562,1304,54.50,808,674,54.52,24,20,54.55,2.97,97.03,7.75,91.87,0.996
8,Ottawa Senators,68,3302.7333,30,28,10,30,70,0.515,3069,3534,46.48,2288,2569,47.11,1599,1852,46.33,140,136,50.72,127,126.9,50.02,1465,1548,48.62,807,849,48.73,122,116,51.26,15.12,86.34,640,588,52.12,449,427,51.26,79,77,50.64,17.59,81.97,825,960,46.22,358,422,45.90,43,39,52.44,12.01,90.76,1311,1657,44.17,688,922,42.73,17,19,47.22,2.47,97.94,8.76,92.66,1.014
9,Detroit Red Wings,69,3367.3833,25,37,7,22,57,0.413,2720,3034,47.27,2102,2376,46.94,1547,1767,46.68,112,141,44.27,111.86,130.81,46.10,1280,1450,46.89,807,916,46.84,97,111,46.63,12.02,87.88,491,577,45.97,390,445,46.71,63,76,45.32,16.15,82.92,789,873,47.47,417,471,46.96,34,35,49.28,8.15,92.57,1172,1350,46.47,627,764,45.08,15,30,33.33,2.39,96.07,7.24,92.02,0.993
10,St Louis Blues,67,3267.8833,42,19,6,39,90,0.672,2995,2641,53.14,2268,2013,52.98,1683,1475,53.29,159,121,56.79,129.48,110.58,53.94,1565,1335,53.97,968,851,53.22,133,106,55.65,13.74,87.54,597,493,54.77,467,401,53.80,89,72,55.28,19.06,82.04,968,842,53.48,501,450,52.68,44,34,56.41,8.78,92.44,1210,1109,52.18,641,547,53.96,24,15,61.54,3.74,97.26,9.45,91.80,1.012
