id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
259,Kevin Gravel,TOR,D,3,2.2166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2166666666667,1,0,0,-
260,Anthony Bitetto,WPG,D,15,28.516666666667,0,0,0,0,0,-,2,0.00,0.03,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,28.516666666667,4,0,0,-
261,Brandon Davidson,CGY,D,3,1.2833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2833333333333,0,0,0,-
262,Zach Trotman,PIT,D,3,0.38333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38333333333333,0,0,0,-
263,John Klingberg,DAL,D,20,14.75,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,2,0,0,-
264,Mark Stone,VGK,R,27,66.766666666667,0,1,1,0,1,100.00,3,0.00,0.39,6,4,4,1,0,0,0,0,0,0,0,0,2,8,1,66.766666666667,3,0,1,0.00
265,Taylor Fedun,DAL,D,21,9.0666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0666666666667,1,0,0,-
266,Brian Gibbons,CAR,C,11,10.266666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.266666666667,2,0,0,-
267,Ryan Dzingel,CAR,C,25,0.86666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.86666666666667,0,0,0,-
268,Ondrej Palat,T.B,L,22,32.033333333333,1,0,0,0,1,100.00,4,25.00,0.46,5,5,5,3,0,0,2,1,1,0,0,0,0,2,1,32.033333333333,2,1,1,50.00
269,Josh Manson,ANA,D,11,28.933333333333,0,0,0,0,0,0.00,1,0.00,0,1,1,0,0,0,0,2,1,1,0,0,1,1,0,0,28.933333333333,2,0,0,-
270,Josh Archibald,EDM,R,18,44.766666666667,0,0,0,0,0,-,1,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,44.766666666667,3,0,0,-
271,Travis Boyd,WSH,C,11,6.0333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0333333333333,0,1,2,33.33
272,Dylan DeMelo,OTT,D,25,62.716666666667,0,0,0,0,0,0.00,1,0.00,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,2,62.716666666667,8,0,0,-
273,Johnny Gaudreau,CGY,L,28,0.8,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,-
274,Tobias Rieder,CGY,C,19,37.883333333333,0,0,0,0,0,-,1,0.00,0.07,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,37.883333333333,4,1,2,33.33
275,Nick Seeler,MIN,D,4,3.5,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.5,1,0,0,-
276,Sean Kuraly,BOS,C,25,42.733333333333,0,0,0,0,0,-,3,0.00,0.32,6,5,4,1,2,0,0,0,0,0,0,0,1,1,0,42.733333333333,1,12,21,36.36
277,Andrew Shaw,CHI,C,24,3.6333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6333333333333,0,1,0,100.00
278,Vincent Trocheck,FLA,C,18,11.933333333333,1,0,0,0,1,100.00,3,33.33,0.23,4,3,3,1,0,0,0,0,0,0,0,0,0,1,0,11.933333333333,1,5,5,50.00
279,Adam Lowry,WPG,L,23,48.55,0,0,0,0,0,-,2,0.00,0.32,3,3,3,2,1,0,0,0,0,0,0,2,2,4,0,48.55,3,27,34,44.26
280,Nick Cousins,MTL,C,19,0.13333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333,0,0,0,-
281,Blake Coleman,N.J,C,24,67.766666666667,0,0,0,0,0,-,2,0.00,0.26,6,4,5,2,0,0,2,1,1,0,0,2,2,2,2,67.766666666667,4,10,26,27.78
