id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Jaromir Jagr,N.J,R,82,1248.35,13,28,14,14,41,77.36,170,7.65,16.26,285,231,200,82,12,14,30,15,15,0,0,9,46,33,4,74,8,0,1,0.00
2,Teemu Selanne,ANA,R,64,736.55,5,14,7,7,19,59.38,68,7.35,7.42,121,96,95,40,9,11,8,3,3,0,0,9,23,14,11,46,8,34,40,45.95
3,Ray Whitney,DAL,L,69,739.4,6,11,8,3,17,80.95,81,7.41,6.66,135,105,70,29,6,9,10,5,5,0,0,4,28,24,13,25,15,1,0,100.00
4,Sergei Gonchar,DAL,D,76,1085.1,1,7,3,4,8,22.22,58,1.72,2.85,145,88,34,5,4,8,12,6,6,0,0,4,25,9,65,92,75,0,0,-
5,Saku Koivu,ANA,C,65,784.65,8,15,5,10,23,71.88,65,12.31,6.16,105,84,75,39,3,7,34,17,17,0,0,10,25,17,26,34,22,438,431,50.40
6,Todd Bertuzzi,DET,R,59,676.35,3,6,3,3,9,37.50,64,4.69,4.84,108,89,59,25,5,3,30,15,15,0,0,6,20,12,65,29,14,9,8,52.94
7,Hal Gill,PHI,D,6,80.416666666667,0,0,0,0,0,0.00,1,0.00,0.07,6,4,2,0,1,0,2,1,1,0,0,0,1,1,7,7,6,0,0,-
8,Kimmo Timonen,PHI,D,77,963.21666666667,5,6,1,5,11,30.56,83,6.02,3.1,153,114,38,7,1,11,20,10,10,0,0,5,19,10,44,73,67,0,0,-
9,Ed Jovanovski,FLA,D,37,452.18333333333,1,2,1,1,3,15.79,33,3.03,1.12,58,41,8,2,1,3,21,9,8,1,0,2,10,5,27,25,36,0,0,-
10,Ryan Smyth,EDM,L,72,782.46666666667,5,11,5,6,16,84.21,99,5.05,8.54,156,132,98,59,9,10,26,13,13,0,0,8,28,14,54,67,24,71,73,49.31
11,Patrik Elias,N.J,C,65,812.61666666667,11,13,10,3,24,77.42,87,12.64,6.18,142,110,80,29,6,3,8,4,4,0,0,7,21,18,23,49,15,213,312,40.57
12,Daniel Alfredsson,DET,R,68,865.35,11,16,8,8,27,84.38,92,11.96,7.28,159,125,81,31,2,7,8,4,4,0,0,8,25,19,53,62,22,4,6,40.00
13,Bryce Salvador,N.J,D,40,634.26666666667,1,3,3,0,4,20.00,23,4.35,0.9,68,37,16,1,1,1,21,9,8,1,0,6,16,7,35,69,29,0,0,-
14,Eric Boulton,NYI,L,23,144.6,2,2,1,1,4,100.00,19,10.53,1.45,27,22,18,10,1,2,42,12,6,6,0,5,4,1,32,22,6,0,0,-
15,Shane Doan,PHX,R,69,1041.5333333333,13,14,9,5,27,62.79,126,10.32,10.8,240,180,131,58,9,9,18,9,9,0,0,12,16,45,120,100,20,3,5,37.50
16,Radek Dvorak,CAR,R,60,559.88333333333,4,5,4,1,9,45.00,51,7.84,4.09,91,70,50,21,5,3,25,10,9,1,0,1,20,23,16,57,21,3,5,37.50
17,Jarome Iginla,BOS,R,78,1141.35,20,17,10,7,37,61.67,150,13.33,12.94,268,208,176,58,8,18,24,9,7,2,0,10,21,28,131,75,23,4,15,21.05
18,Michal Handzus,CHI,C,59,644.06666666667,3,10,4,6,13,72.22,44,6.82,4.22,70,54,46,20,0,4,12,6,6,0,0,4,7,9,32,63,31,263,257,50.58
19,Stephane Robidas,"ANA, DAL",D,38,620.93333333333,3,5,2,3,8,22.86,46,6.52,1.74,106,71,23,2,0,10,12,6,6,0,0,2,9,3,82,105,40,0,0,-
20,Chris Phillips,OTT,D,70,970.76666666667,0,7,2,5,7,19.44,67,0.00,2.5,133,94,29,5,3,8,24,12,12,0,0,4,30,5,107,102,64,0,0,-
21,Derek Morris,PHX,D,63,1020.9833333333,5,10,5,5,15,40.54,67,7.46,2.36,169,112,22,3,6,10,22,11,11,0,0,2,16,17,84,81,90,0,0,-
22,Daniel Briere,MTL,C,69,749.36666666667,9,8,5,3,17,58.62,98,9.18,9.8,163,127,97,54,7,14,16,8,8,0,0,12,14,20,22,41,11,141,141,50.00
23,Dainius Zubrus,N.J,C,82,1182.3666666667,11,11,5,6,22,55.00,109,10.09,10.32,174,143,110,65,4,11,38,19,19,0,0,7,15,18,98,114,27,154,149,50.83
24,Cory Sarich,COL,D,54,801.85,1,9,1,8,10,29.41,44,2.27,1.37,105,67,20,3,2,6,26,13,13,0,0,3,17,12,95,116,49,0,1,0.00
25,Matt Cullen,NSH,C,77,943.01666666667,9,21,13,8,30,63.83,104,8.65,9.53,176,132,94,50,7,10,24,12,12,0,0,10,32,26,15,61,20,349,268,56.56
26,Zdeno Chara,BOS,D,77,1383.8833333333,7,13,8,5,20,36.36,117,5.98,4.76,255,166,62,10,5,8,50,18,15,2,1,9,44,16,132,90,65,0,0,-
27,Arron Asham,NYR,R,6,43.833333333333,0,0,0,0,0,-,1,0.00,0.03,2,1,1,0,0,0,7,2,1,1,0,1,2,0,8,2,1,0,0,-
28,Michal Rozsival,CHI,D,42,630.35,1,7,3,4,8,27.59,37,2.70,1.28,73,47,18,4,0,2,28,13,13,0,0,2,22,14,62,121,37,0,0,-
29,Craig Adams,PIT,R,82,758.4,4,4,3,1,8,61.54,69,5.80,5.04,115,90,52,21,2,8,36,11,8,2,1,4,11,9,173,77,31,46,60,43.40
30,Willie Mitchell,L.A,D,76,1213.5,1,9,2,7,10,22.22,65,1.54,2.39,156,102,37,4,2,7,52,22,21,0,1,3,44,9,84,162,96,0,0,-
31,Sami Salo,T.B,D,71,931.75,3,6,2,4,9,22.50,52,5.77,2.32,121,90,17,1,0,12,12,6,6,0,0,3,10,13,44,45,45,0,0,-
32,Francis Bouillon,MTL,D,52,791.83333333333,1,3,1,2,4,16.00,24,4.17,0.81,59,37,7,1,0,2,27,12,11,1,0,2,25,6,78,59,60,0,0,-
33,Matt Cooke,MIN,L,82,1030.55,9,14,9,5,23,71.88,96,9.38,7.39,168,126,79,41,3,10,44,18,17,0,1,19,24,27,166,101,42,5,11,31.25
34,Shawn Thornton,BOS,L,64,557.45,5,2,1,1,7,53.85,92,5.43,5,149,126,58,23,7,4,32,10,6,4,0,8,10,13,111,40,19,3,6,33.33
35,Joe Thornton,S.J,C,82,1135.4,8,39,25,14,47,75.81,77,10.39,6.51,142,107,79,31,5,11,24,12,12,0,0,10,66,64,45,29,30,436,352,55.33
36,Patrick Marleau,S.J,"C, L",82,1156.2333333333,15,23,15,8,38,71.70,172,8.72,17.06,300,244,193,78,17,20,8,4,4,0,0,6,47,40,79,72,20,120,93,56.34
37,Olli Jokinen,WPG,C,82,1133.5833333333,16,15,11,4,31,77.50,141,11.35,12.16,235,184,121,53,2,9,34,17,17,0,0,7,25,15,111,43,38,487,606,44.56
38,Eric Brewer,T.B,D,77,1122.85,4,9,6,3,13,37.14,77,5.19,3.82,163,116,36,10,3,8,42,18,16,2,0,6,35,16,121,105,73,0,0,-
39,Marian Hossa,CHI,R,72,1003.7166666667,17,18,11,7,35,70.00,176,9.66,14.3,306,218,189,80,9,6,14,7,7,0,0,7,18,53,36,63,21,0,1,0.00
40,Daniel Cleary,DET,R,52,550.71666666667,4,2,2,0,6,54.55,53,7.55,3.29,86,66,31,17,2,4,12,5,5,0,0,5,5,8,48,83,11,10,6,62.50
