"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"857","Justin Kloos","ANA","C","1","7.0666666666667","7.0666666666667","21.41","-33.22","37.96","14.77","-31.38","47.50","22.15","-28.06","70.37","-2.95","-1.48","-","0.37","-1.86","48.52","15.14","-13.66","43.18","11.07","-4.43","42.86","-1.48","-1.48","-","5.41","-12.31","30.00","-1.97","0","-100.00","1.07","-26.13","28.74","0","0","-","0.00","-","0.00","0","0","0","84.91","-","16.98","0","8.49","66.67"
"801","Riley Stillman","FLA","D","1","11.366666666667","11.366666666667","25.06","-43.19","31.25","8.85","-27.73","22.62","16.85","-18.18","32.86","2.19","5.28","-50.00","1.06","0.33","10.86","13.11","-6.72","20.00","8.1","-7.09","36.54","3.73","0","0.00","6.68","0.5","8.82","-2.06","7.04","-100.00","23.02","-43.75","46.39","0","0","-","14.29","66.67","0.810","5.28","5.28","0","89.74","100.00","5.28","10.56","10.56","33.33"
"905","Blake Lizotte","L.A","C","1","11.2","11.2","47.55","-23.54","29.28","39.86","-14.41","31.16","26.06","-11.38","30.98","-4.58","3.83","-75.00","2.39","0.18","17.04","37.55","-2.97","26.87","3.08","-1.5","11.54","-3.05","0","-","45.97","-1.96","31.73","0","5.11","0.00","13.31","-23.1","29.56","-2.21","0","-100.00","0.00","80.00","0.800","10.71","10.71","10.71","42.86","50.00","21.43","10.71","32.14","40.00"
"904","Brogan Rafferty","VAN","D","2","26.666666666667","13.333333333333","25.99","-19.77","21.97","17.24","-18.55","23.87","6.95","-12.97","18.43","0","-0.06","0.00","1.03","-1.31","26.36","18.33","-17.59","32.22","6.56","-4.11","25.38","0","1.48","0.00","15.69","-17.98","36.09","0","-2.06","0.00","12.27","-1.84","11.02","0","0","-","0.00","90.00","0.900","4.5","4.5","11.25","58.5","28.57","15.75","4.5","13.5","53.85"
"852","Ryan Poehling","MTL","C","1","10.166666666667","10.166666666667","40.98","-19.27","19.84","30.85","-29.84","27.09","37.58","-29.02","35.66","16.44","-6.31","83.33","0.23","-3.35","34.81","18.17","-9.64","18.95","-4.61","-14.3","21.84","4.64","-2.53","66.67","30.38","6.22","20.00","15.74","-3.37","100.00","31.72","-13.32","23.19","0","-1.82","0.00","23.08","100.00","1.231","17.7","11.8","0","64.92","100.00","23.61","11.8","5.9","80.00"
"821","Patrick Russell","EDM","R","6","48.583333333333","8.0972222222222","15.18","-23.92","18.25","12.22","-17.42","18.75","10.68","-14.12","22.11","-1.19","-2.62","-","0.61","-1.28","23.63","5.8","-10.32","17.14","3.78","-9.62","37.79","-0.71","-1.67","-","2.69","-0.93","4.59","-0.32","-0.63","-33.33","15.7","-18.53","23.40","0","-0.69","0.00","0.00","100.00","1.000","18.52","12.35","2.47","54.34","88.24","25.93","23.46","11.11","70.00"
"497","Kevin Roy","ANA","L","3","34.866666666667","11.622222222222","10.7","-23.53","16.96","7.16","-19.3","18.69","8.79","-14.23","23.00","-3.26","1.07","-83.33","-0.05","-1.59","18.39","4.09","-8.65","12.70","2.7","-9.39","26.19","-2.6","-0.65","-","1.86","0.99","1.28","0","2.29","0.00","5.58","-21.77","23.91","-0.94","0","-100.00","0.00","87.50","0.875","6.88","13.77","3.44","58.51","66.67","15.49","15.49","13.77","52.94"
"699","Jakub Zboril","BOS","D","2","21.15","10.575","5.07","-22.84","14.55","6.63","-23.3","21.80","0.52","-12.03","13.73","-1.61","-0.81","-","0.06","-1.08","17.00","6.16","-8.41","18.13","-4.01","-4.4","-2.86","-1.61","-0.81","-","13.57","-5.35","27.78","0","0","-","-1.06","-19.14","15.26","0","0","-","0.00","100.00","1.000","2.84","11.35","5.67","93.62","33.33","5.67","14.18","11.35","33.33"
"903","Nico Sturm","MIN","C","2","23.3","11.65","18.81","-12.86","13.59","22.41","-11.83","18.98","16.23","-14.15","23.17","0","-3.09","-","1.23","-0.91","21.46","10.05","-10.29","17.11","9.27","-6.18","27.78","0","-2.32","-","1.03","-5.49","8.20","0","-1.03","0.00","13.4","0.01","8.87","0","0","-","0.00","100.00","1.000","5.15","12.88","5.15","59.23","50.00","18.03","12.88","12.88","58.33"
"645","Andreas Englund","OTT","D","3","37.266666666667","12.422222222222","1","-25.27","13.43","-5.77","-23.09","11.47","-0.5","-18.91","18.68","-2.57","2.26","-50.00","-0.63","-1.61","15.75","0.27","-16.6","24.62","-4.44","-7.53","7.14","-2.57","0.07","-62.50","6.28","-12.1","33.70","0","0.77","0.00","-2.4","-13.55","6.88","0","2.33","0.00","0.00","70.00","0.700","6.44","12.88","1.61","67.62","80.00","9.66","16.1","6.44","60.00"
"259","Stefan Elliott","OTT","D","3","23.9","7.9666666666667","23.17","-10.24","12.88","15.47","-9.44","13.31","15.36","-12.61","20.27","1.52","0.03","21.43","1.29","-0.03","12.11","4.77","3.86","1.80","5.13","6.18","1.19","2.51","1.52","50.00","-0.48","-3.09","2.83","-0.66","-1.99","-25.00","11.95","-25.55","24.90","-0.72","0","-100.00","5.88","90.91","0.968","22.59","15.06","2.51","60.25","90.00","30.13","20.08","10.04","75.00"
"879","Quinn Hughes","VAN","D","5","76.566666666667","15.313333333333","15.66","-13.62","12.88","8.91","-10.43","11.24","6.63","-3.77","8.75","0.2","-0.83","13.64","-0.12","-0.75","4.96","6.09","-11.1","13.87","-2.12","-7.45","10.79","-0.58","-1.37","50.00","10.95","-4.87","17.67","1.04","1.18","33.33","10.2","-6.12","12.63","0","-0.49","0.00","5.13","95.12","1.003","10.97","12.54","2.35","47.02","82.35","27.43","21.16","5.49","83.33"
"525","Tyler Lewington","WSH","D","2","26.483333333333","13.241666666667","8.45","-21.82","12.85","-1.7","-27.66","16.31","1.66","-16.83","15.22","3.87","-1.46","33.33","-0.34","-2.19","17.29","14.38","-15.3","23.21","5.69","-9.88","24.58","3.07","-0.73","33.33","11.59","-7.23","21.90","3.02","-0.98","100.00","-16.28","-10.79","-6.42","-2.11","0","-100.00","23.08","100.00","1.231","9.06","15.86","6.8","56.64","57.14","20.39","29.45","9.06","69.23"
"731","Filip Chlapik","OTT","C","5","59.266666666667","11.853333333333","19.42","-7.78","11.61","10.09","-10.65","12.14","10.22","-4.76","12.48","1.34","0.3","17.95","1.13","-0.49","16.86","20.73","-3.41","20.55","2.94","2.21","3.35","0.33","-0.69","21.43","23.71","-7.49","32.83","1.35","0.88","33.33","-2.32","-10.65","6.09","0","0.97","0.00","6.06","87.10","0.932","8.1","12.15","8.1","47.58","50.00","15.19","17.21","15.19","50.00"
"606","Daniel Carr","VGK","L","6","58.116666666667","9.6861111111111","2.81","-19.05","10.82","-3.49","-13.99","7.75","-1.68","-12.54","10.41","-1.71","0.94","-23.64","-0.79","-0.63","-0.79","-10.03","-11","4.16","-3.17","-1.95","-0.70","-2.16","1.75","-61.54","-9.15","-12.08","7.13","-0.42","-0.72","28.57","11.35","-10.83","16.93","1.1","-0.39","50.00","6.67","85.00","0.917","7.23","14.45","3.1","50.59","70.00","16.52","22.71","9.29","64.00"
"358","Cory Conacher","T.B","C","1","7.6166666666667","7.6166666666667","-7.87","-25.25","10.72","2.09","-34.52","28.84","-2.31","-31.04","35.00","0","-1.62","-","0.67","-1.49","37.44","2.55","-27.57","56.67","10.89","-6.49","57.14","0","0","-","-11.12","-28.11","56.52","0","-2.16","0.00","-10.37","3.35","-8.49","0","0","-","0.00","100.00","1.000","7.88","7.88","15.75","55.14","33.33","7.88","23.63","15.75","33.33"
"638","Joshua Ho-Sang","NYI","R","10","124.85","12.485","4.26","-17.55","10.29","4.03","-13.12","10.79","-0.86","-13.36","12.07","-1.95","-0.81","2.59","-0.32","-0.93","8.78","-5.49","-7.73","2.73","-3.13","-4.4","5.16","-1.13","-0.49","-53.85","-3.15","-4.43","1.61","-0.23","-0.43","16.67","14.58","-8.12","14.97","-0.93","0","-100.00","4.69","97.56","1.022","5.77","10.57","9.61","48.54","37.50","12.98","15.86","19.22","40.30"
"130","Erik Condra","DAL","R","6","68.2","11.366666666667","7.44","-12.5","10.27","14.47","-8.73","15.40","11.33","-5.37","15.10","0.09","1.07","-8.33","0.38","-0.2","7.34","4.37","-5.12","10.55","3.05","1.02","4.94","0.62","0.09","25.00","1.76","-8.2","15.26","-0.35","0.12","-25.00","3.88","-12","14.99","-0.38","1.27","-100.00","2.50","87.50","0.900","13.2","14.96","9.68","51.91","57.69","19.35","14.96","17.6","52.38"
"627","Sonny Milano","CBJ","L","8","64.916666666667","8.1145833333333","-1.23","-20.03","10.12","-4.47","-14.29","7.49","-1.89","-11.28","9.06","0.08","-0.89","7.58","0.05","-0.25","3.41","1.31","-5.93","8.21","1.73","2.43","-2.78","0.31","0.12","2.94","-0.56","-11.14","18.92","-1.03","-0.82","-33.33","0.22","-16.52","13.67","0.78","-0.56","50.00","8.82","86.96","0.958","15.71","15.71","6.47","46.21","70.83","19.41","23.11","12.94","60.00"
"677","Ondrej Kase","ANA","R","30","384.5","12.816666666667","13.02","-9.82","10.05","10.32","-7.27","10.11","7.36","-6.84","12.01","1.59","0.15","14.86","0.63","-0.43","11.22","7.79","-6.44","13.36","4.47","-2.16","14.72","1.55","0.32","21.11","4.42","-5.7","12.46","-0.11","-0.14","-1.67","5.91","-3.87","6.76","0.17","-0.1","10.77","9.55","90.63","1.002","12.02","12.64","7.96","46.35","60.16","18.1","16.7","15.76","53.46"
"902","Brady Keeper","FLA","D","1","11.766666666667","11.766666666667","22.93","-0.59","9.90","13.48","-6.51","11.76","12.66","-24.19","35.00","1.97","-3.13","50.00","0.8","-1.85","46.36","9.86","-19.5","36.95","1.97","-10.94","77.78","1.97","-3.13","50.00","10.52","-11.41","26.67","0","0","-","-6.07","17.1","-15.84","0","0","-","12.50","100.00","1.125","10.2","0","0","71.39","100.00","30.59","0","10.2","75.00"
"591","Anthony Mantha","DET","R","67","973.46666666667","14.529353233831","13.1","-8.83","9.82","9.58","-5.37","8.91","8.16","-5.19","10.89","0.34","-0.14","5.22","0.46","-0.2","7.34","4.6","-3.35","7.66","1.59","-1.22","6.76","-0.35","-0.17","-4.72","4.01","-2.83","8.25","0.74","-0.2","24.08","10.66","-6.34","12.05","0.2","0.26","3.15","6.90","91.60","0.985","12.08","14.73","7.21","41.48","62.62","20.34","19.6","14.73","58.00"
"626","Dylan Larkin","DET","C","76","1269","16.697368421053","16.36","-5.27","9.76","13","-4.48","10.47","8.52","-3.31","9.74","0.23","-0.02","2.66","0.76","-0.11","9.75","8.13","-1.44","9.35","3.44","0.4","7.73","0.32","0.06","5.19","6.25","-2.44","10.64","-0.31","-0.18","-3.23","11.52","-3.89","11.11","0.2","0.08","7.79","7.08","91.41","0.985","10.83","14.37","9.13","38.39","54.27","20.19","20.76","19.05","51.45"
"203","Cameron Gaunce","T.B","D","2","28.583333333333","14.291666666667","15.9","-2.17","9.72","5.11","-1.78","5.45","8.29","-7.14","15.48","-0.2","-2.64","37.50","0.89","-0.59","20.33","12.34","-1.87","16.99","4.34","-3.37","23.61","-1.42","-0.88","20.00","10.67","2.01","13.33","-1.17","-1.17","-50.00","1.11","-0.93","1.62","3.03","-1.27","100.00","14.29","100.00","1.143","0","23.09","4.2","48.28","0.00","6.3","31.49","10.5","37.50"
"588","Curtis Lazar","CGY","C","1","4.8","4.8","9.43","-12.14","9.49","7.28","-11.69","10.66","20.23","-18.57","31.06","-3.88","12.5","-100.00","-0.6","0.35","-11.13","-6.07","5.14","-8.98","-9.06","4.73","-53.85","-3.88","12.5","-100.00","3.99","0.54","2.78","0","0","-","24.25","-19.34","30.56","0","0","-","0.00","0.00","0.000","37.5","12.5","12.5","50","75.00","50","12.5","12.5","80.00"
"782","Libor Hajek","NYR","D","5","74.283333333333","14.856666666667","3.53","-16.73","9.38","3.75","-11.81","9.31","5.07","-12.4","13.80","0.22","-0.59","10.00","0.65","-0.98","18.34","1.69","-7.85","9.07","0.74","-6.83","20.49","-0.22","-1.47","44.44","1.28","-1.37","3.13","0.59","0.59","0.00","3.72","-12.93","12.57","0","0.64","0.00","6.82","93.55","1.004","7.27","8.08","12.12","45.23","37.50","20.19","14.54","22.62","47.17"
"302","Mark Alt","COL","D","2","19","9.5","10.73","-7.65","9.28","8.65","-3.84","8.74","12.27","-4.13","13.42","-0.75","-0.75","-","-0.33","-0.03","-4.13","6.42","0.11","7.14","2.69","5.1","-4.51","0","0","-","4.98","-6.65","19.82","0","-1","0.00","9.28","-8.35","13.01","-1.09","0","-100.00","0.00","100.00","1.000","0","25.26","0","63.16","-","12.63","31.58","0","100.00"
"434","Tomas Hyka","VGK","R","17","163.26666666667","9.6039215686275","17.56","-6.1","9.19","10.14","-5.2","8.74","4.7","-4.95","8.17","0.32","0.31","0.51","0.43","-0.31","7.91","7.53","-0.75","6.58","3.14","0.79","4.23","1.26","0.89","3.85","5.85","-2.04","8.29","-0.88","-0.52","-36.84","6.03","-4.31","7.11","-0.41","-0.27","-60.00","7.07","87.10","0.942","8.08","6.61","9.55","52.18","45.83","22.42","16.9","17.64","55.96"
"544","Nick Paul","OTT","L","20","168.33333333333","8.4166666666667","8.99","-12.13","8.80","7.95","-8.76","9.31","7.92","-5.24","9.98","-0.56","1.72","-15.62","0","-0.6","5.80","0.71","-7.9","8.33","1.67","-3.24","10.17","0.29","0.86","-2.35","-1.28","-6.21","6.75","-0.28","0.29","-12.00","9.67","-1.52","7.28","-0.82","0.93","-57.14","4.04","84.78","0.888","13.19","9.98","6.77","49.54","66.07","22.46","16.75","13.54","62.38"
"881","Evan Bouchard","EDM","D","7","71.183333333333","10.169047619048","10.47","-8.65","8.67","6.61","-4.39","6.65","1.45","-2.83","3.72","-0.75","1.32","-23.75","0.59","-0.13","7.81","-0.9","-1.79","0.73","2.31","-0.97","8.38","-0.68","-1.14","-","-4.29","-1.1","-4.72","0.21","1.34","-16.67","17.05","-6.56","14.84","-0.33","2.11","-50.00","2.78","87.50","0.903","12.64","6.74","7.59","51.42","62.50","19.39","15.17","12.64","60.53"
"818","Anthony Greco","FLA","R","1","9.5","9.5","25.77","3.21","8.61","13.12","19.43","-3.33","12.21","13.56","-1.35","-1.35","16.24","-33.33","1.26","1.06","3.38","18.06","2.28","18.52","13.54","9.48","13.64","-1.35","6.32","-100.00","6.03","-9.6","29.17","0","4.82","0.00","14.37","13.06","-1.59","0","9.12","0.00","0.00","50.00","0.500","12.63","25.26","12.63","50.53","50.00","18.95","44.21","12.63","60.00"
"563","Dillon Heatherington","DAL","D","5","50.683333333333","10.136666666667","19.81","5.29","8.19","19.22","8.56","8.22","15.08","5.9","8.76","4.44","-1.48","47.62","1.18","0.24","12.22","11.24","1.76","12.90","5.32","0","14.67","0.89","0","11.11","7.89","2.35","11.47","3.16","-0.39","100.00","5.97","5.53","1.93","1.71","-1.28","100.00","16.13","96.77","1.129","4.74","4.74","4.74","68.66","50.00","11.84","8.29","15.39","43.48"
"352","Mark Stone","OTT, VGK","R","77","1176.5833333333","15.280303030303","12.82","-6.72","8.16","10.33","-4.62","8.37","6.48","-3.01","7.34","1.25","-0.44","14.63","0.9","-0.26","11.64","8.55","-3.26","10.62","4.28","-1.2","11.45","0.92","0.05","12.62","5.69","-2.75","9.94","0.29","-0.12","10.89","6.09","-5.14","7.23","0.09","-0.55","24.75","10.16","91.83","1.020","9.74","14.07","8.62","39.11","53.06","19.68","22.23","19.84","49.81"
"755","Dominik Simon","PIT","C","71","871.96666666667","12.281220657277","6.11","-12.45","8.08","2.58","-9.18","6.92","1.69","-6.31","6.39","-0.17","-0.31","2.01","0.18","-0.71","9.80","1.95","-7.8","9.90","0.91","-4.39","13.43","0.6","-0.32","15.79","1.39","-4.55","7.54","-0.64","0.03","-16.37","4.46","-4.96","6.17","-0.43","-0.1","-22.55","7.69","92.79","1.005","10.25","15.41","7.5","49.06","57.75","18.65","21.26","14.52","56.22"
"841","Urho Vaakanainen","BOS","D","2","17.233333333333","8.6166666666667","-3.39","-17.92","8.01","-7.11","-9.03","2.06","-1.7","-2.3","0.77","-2.16","3.48","-100.00","-0.85","1.42","-24.65","-8.54","-3.61","-5.97","3.24","6.72","-7.14","0","0","-","-15.7","-13.78","-2.00","-2.88","4.64","-100.00","3.62","-20.48","18.60","0","0","-","0.00","85.71","0.857","10.44","17.41","3.48","48.74","75.00","17.41","27.85","10.44","62.50"
"386","Kyle Rau","MIN","C","6","41.666666666667","6.9444444444444","-3.85","-16.04","7.93","-1.64","-8.81","6.11","-1.37","-6.25","5.54","-0.76","-1.25","5.00","-0.32","-0.44","3.99","-0.9","-7.12","8.89","-3.78","-1.6","-7.56","-1.22","-1.47","-","3.84","-7.36","18.27","-0.33","0.94","-25.00","-2.64","-2.95","1.28","1.02","-0.71","40.00","4.35","92.86","0.972","7.2","20.16","4.32","54.72","62.50","14.4","24.48","8.64","62.50"
"675","Dylan Sikura","CHI","R","33","369.96666666667","11.211111111111","2.57","-14.06","7.69","1.02","-10.16","6.95","1.02","-7.48","6.88","-0.02","-0.51","5.17","-0.11","-0.71","6.10","-1.21","-9.57","7.72","0.69","-4.17","9.66","0.43","-0.27","12.71","-2.53","-7.19","6.58","-0.75","-0.5","3.25","5.14","-5.93","8.13","0.16","0.2","-6.67","7.96","92.22","1.002","10.54","15.41","8.11","48","56.52","19.3","21.41","17.03","53.13"
"150","Sam Gagner","EDM, VAN","C","32","407.68333333333","12.740104166667","12.27","-4.59","7.55","12.09","-3.97","9.65","9.18","-2.57","9.64","0.11","0.59","-3.99","0.53","-0.05","6.43","5.45","1.99","3.48","3.64","-0.67","9.33","0.03","0.71","-9.64","2.41","3.54","-0.89","0.24","-0.34","16.67","9.28","-8.56","13.17","-0.15","0.27","-18.46","6.30","89.60","0.959","9.57","13.1","12.22","43.42","43.92","16.19","17.96","19.13","45.83"
"676","Victor Olofsson","BUF","L","6","93.45","15.575","7.05","-9.54","7.39","10.56","-8.42","10.41","4.98","-8.31","10.39","0.09","-2.85","29.17","0.94","-0.54","15.80","6.38","-8.39","15.33","3.65","-4.61","20.03","1.19","-1.56","41.54","3.63","-5.05","11.83","-1.1","-0.98","-37.50","6.68","-5.37","7.24","-0.4","-0.8","-33.33","6.56","94.87","1.014","14.13","17.34","11.56","27.61","55.00","24.4","20.55","16.05","60.32"
"825","Maxim Mamin","FLA","C","7","50.65","7.2357142857143","10.28","-6.69","7.24","10.46","-7.27","10.37","10.32","-4.02","11.02","-2.46","-0.54","-45.83","-0.38","-1.38","16.69","-9.63","-8.16","-2.69","-3.69","-6.82","7.00","-1.56","-0.83","-43.75","-7.93","-1.79","-9.46","-0.3","-0.89","-25.00","27.12","6.68","6.26","-0.97","1.39","-75.00","0.00","90.00","0.900","7.11","15.4","3.55","62.78","66.67","18.95","16.58","7.11","72.73"
"78","Sidney Crosby","PIT","C","79","1253.2666666667","15.864135021097","11.63","-5.65","7.22","8.75","-4.08","7.15","5.61","-5.52","8.54","1.81","-0.17","16.91","0.53","-0.22","7.34","4.73","-1.8","5.85","2.55","-0.84","6.96","1.09","0.04","15.85","2.9","-1.29","4.97","0.85","-0.11","19.23","9.35","-5.13","9.46","0.13","-0.32","26.61","10.73","92.81","1.035","13.69","18.96","7.71","38.35","63.98","24.22","26.52","16.56","59.39"
"91","Kris Letang","PIT","D","65","1252.2166666667","19.264871794872","11.83","-5.2","7.12","9.79","-3.32","7.27","8.48","-3.14","8.72","1.16","-0.16","11.48","0.54","0.03","4.92","5.78","-0.67","5.66","2.67","0.75","3.64","0.26","-0.02","4.40","4.14","-1.89","7.17","0.81","-0.19","21.01","8.49","-4.55","8.57","0.43","0.04","15.79","9.36","92.72","1.021","8.24","14.61","8.29","41.21","49.86","19.84","23.33","18.69","51.49"
"513","Kurtis MacDermid","L.A","D","11","96.683333333333","8.7893939393939","0.29","-14.7","6.90","-1.15","-9.75","5.11","-1.19","-7.51","5.86","-0.25","0.37","-5.56","-0.02","-0.51","5.96","-1.16","-3.21","1.76","2.12","0.03","4.59","0.56","0.79","-0.62","-4.38","-4.32","-1.67","-1.56","-1.22","-56.25","-5.52","-15.01","6.19","0.52","0.71","-16.67","10.26","86.49","0.967","10.55","11.79","3.72","55.85","73.91","19.24","17.38","12.41","60.78"
"360","Colin Blackwell","NSH","C","6","57","9.5","14.42","-3.39","6.89","3.88","-5.99","5.67","-2.7","-1.39","-0.88","-3.99","-1.51","-60.87","-0.5","-0.63","2.31","2.6","-2.86","4.99","-4.58","-0.59","-7.61","-2.85","-0.94","-58.82","9.57","-3.03","14.82","-1.14","-0.38","-75.00","20.32","-2.48","12.30","-0.41","-0.41","-50.00","0.00","96.55","0.966","9.47","10.53","8.42","58.95","52.94","25.26","12.63","14.74","63.16"
"255","Tomas Tatar","MTL","L","80","1081.2833333333","13.516041666667","13.17","-4.67","6.86","9.37","-3.27","6.71","5.74","-2.8","6.29","0.7","-0.77","14.31","0.82","-0.1","8.80","8.14","-1.88","8.42","4.58","-1.1","11.42","1.01","-0.28","18.92","4.75","-1.03","6.26","-0.27","-0.92","20.52","5.98","-3.16","5.47","-0.12","0.28","-20.97","8.57","93.54","1.021","9.32","17.42","10.99","45.06","45.90","19.53","24.36","20.2","49.16"
"344","Brendan Gallagher","MTL","R","82","1083.1166666667","13.208739837398","14.66","-3.48","6.83","9.21","-2.17","5.96","5.72","-2.88","6.34","0.75","0.13","4.96","0.73","0.15","5.04","7.3","0.08","5.81","3.88","1.03","5.07","0.81","0.46","3.62","4.56","-1.27","6.38","-0.16","-0.6","11.90","8.82","-4.08","7.62","0.12","0.18","-6.67","8.70","90.98","0.997","8.92","19.83","11.36","44.37","43.99","19.44","26.65","20.44","48.75"
"599","Joel Hanley","DAL","D","16","206.38333333333","12.898958333333","0.27","-14.38","6.81","1.52","-13.99","10.05","-0.31","-10.45","9.17","-1.13","-1.34","1.92","0.44","-0.82","14.80","1.46","-8.29","10.73","2.01","-4.82","16.80","-0.18","-0.97","20.24","-0.72","-4.62","5.60","-0.3","-0.05","-12.12","-2.28","-8.52","4.22","-1.05","-0.48","-53.85","5.32","93.59","0.989","6.4","14.83","7.27","53.49","46.81","14.83","19.77","18.61","44.35"
"414","Sean Couturier","PHI","C","80","1240.2","15.5025","10.17","-5.6","6.80","9.79","-3.46","7.72","7","-3.03","8.05","1.07","0.55","5.55","0.44","-0.08","5.64","6.49","-1.71","7.91","1.89","0.06","4.29","0.51","0.51","-0.46","6.13","-2.36","10.34","0.69","-0.05","16.88","7.77","-5.25","8.67","0.06","0.14","-1.74","9.24","89.18","0.984","11.66","13.11","13.55","37.16","46.26","20.61","19.01","24.67","45.51"
"542","Peter Cehlarik","BOS","L","20","222.16666666667","11.108333333333","14.73","-1.97","6.69","13.3","0.06","6.76","10.03","3.2","4.50","-0.41","-0.43","1.02","0.95","-0.24","12.48","8.54","-2.05","10.05","2.91","-0.67","8.94","-0.48","-0.34","-0.43","7.5","-1.85","10.71","0.31","-1.09","58.82","5.27","-1.93","4.33","-0.24","1.05","-66.67","4.83","94.55","0.994","14.58","10.53","5.4","43.48","72.97","26.47","15.39","13.77","65.77"
"887","Karson Kuhlman","BOS","C","11","124.6","11.327272727273","4.34","-9.16","6.68","4.12","-1.97","3.78","6.13","-2.29","7.30","0.96","-0.42","10.26","-0.2","-0.01","-2.01","-5.07","-4.91","0.19","-2.51","-0.29","-5.96","0.94","-0.5","21.43","-3.42","-6.16","5.49","0.36","0.5","-6.67","11.39","-4.25","10.77","-0.36","-0.42","28.57","13.04","92.00","1.050","12.52","11.56","5.78","50.56","68.42","19.26","17.34","15.89","54.79"
"844","Eeli Tolvanen","NSH","R","4","47.283333333333","11.820833333333","-0.33","-12.7","6.66","2.83","-7.69","7.29","-6.22","-8.45","4.37","-0.59","-2.35","42.86","-0.53","-0.19","-3.91","0.43","-6.2","8.16","-2.37","-2.46","0.87","1.36","-0.78","40.00","3.74","-4.98","13.73","-2.09","-1.57","-57.14","-7.29","-3.45","-1.52","-0.57","-0.57","-50.00","9.52","100.00","1.095","15.23","20.3","2.54","40.61","85.71","26.65","25.38","10.15","72.41"
"816","Jacob MacDonald","FLA","D","2","22.766666666667","11.383333333333","17.74","1.11","6.63","17.4","0.91","6.84","0.91","-1.58","1.98","-0.65","-2.47","42.86","-0.76","0.5","-13.60","-8.67","10.26","-19.09","-5.41","4.96","-27.95","-2.47","-1.64","-","-4.34","7.07","-13.89","2.42","-1.1","50.00","24.11","-3.72","14.79","0","0","-","6.67","100.00","1.067","21.08","2.64","5.27","55.34","80.00","23.72","10.54","13.18","64.29"
"391","Rocco Grimaldi","NSH","C","53","523.91666666667","9.8852201257862","3.33","-11.19","6.62","2.05","-9.22","6.95","0.55","-7.62","7.09","-1.17","-0.7","-5.17","-0.14","-0.5","4.21","-1.25","-5.4","4.15","-1.88","-0.96","-2.30","-0.63","-0.45","-1.99","0.84","-5.92","8.58","-0.69","-0.12","-19.39","7.49","-8.57","11.09","-0.02","-0.23","12.00","4.73","93.02","0.978","11.91","14.43","6.07","51.53","66.24","19.24","19.35","13.17","59.36"
"192","Erik Karlsson","S.J","D","53","977.16666666667","18.437106918239","11.9","-4.2","6.58","8.76","-1.76","5.71","7.43","0","5.50","0.9","0.4","4.13","0.6","-0.04","5.67","4.63","0.12","3.77","1.8","-0.06","3.55","0.36","0.02","5.21","3.78","0.25","3.94","0.28","0.24","0.39","7.6","-5.81","9.07","0.44","0.28","2.34","9.06","89.14","0.982","10.62","11.48","6.02","39.36","63.84","23.82","19.28","16.39","59.24"
"743","Artemi Panarin","CBJ","L","79","1264.5666666667","16.007172995781","12.33","-2.5","6.54","10.18","-0.12","5.79","6.62","0.33","4.86","1.43","0.25","9.68","0.63","-0.09","7.32","8.12","0.26","7.05","1.11","0.15","2.16","0.45","0.05","6.49","9.35","0.15","10.30","1.05","0.43","12.04","7.47","-1.32","6.16","0.33","-0.24","25.13","10.41","90.89","1.013","16.99","13.38","2.51","41.71","87.10","26.24","19.17","7.5","77.78"
"663","Devon Toews","NYI","D","48","741.83333333333","15.454861111111","5.72","-8.3","6.35","3.6","-6.36","6.22","2.44","-5.37","6.79","-0.08","-0.07","0.13","0.48","-0.29","8.53","3.28","-2.08","4.89","2.14","-0.89","6.36","-0.32","0.21","-9.52","1.52","-1.59","3.68","0.35","-0.05","12.71","1.97","-5.77","5.73","-0.03","-0.35","30.95","7.37","93.42","1.008","7.44","11.08","6.39","51.36","53.80","17.23","15.61","11.89","59.17"
"75","Adam Cracknell","ANA","R","2","20.5","10.25","-6","-23.08","6.22","-5.36","-10.72","0.78","-2.67","-0.18","-3.17","-1.35","-2.47","-20.00","0.08","-0.69","5.12","-4.69","-7.6","-0.58","0.01","-2.44","2.34","-1.35","-1.79","-22.22","-6.28","-6.87","-1.59","0","-0.9","0.00","3.62","-23.03","23.61","0","0","-","0.00","90.91","0.909","8.78","20.49","14.63","52.68","37.50","20.49","35.12","14.63","58.33"
