"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"419","Jamie Oleksiak","DAL, PIT","D","57","807.11666666667","14.159941520468","-4.25","-0.42","-1.68","-2.43","-1.32","-0.63","-1.56","-0.1","-1.17","0.25","-0.3","5.70","-0.11","-0.27","1.89","-3.01","-1.12","-1.68","-0.83","-1.57","1.88","0.6","-0.22","13.15","-2.91","0.61","-4.48","-0.47","-0.05","-14.87","0.13","2.02","-1.20","0.01","-0.05","3.38","8.76","93.21","1.020","6.84","14.12","9.96","52.04","40.71","14.42","20.37","21.63","40.00"
"60","Drew Stafford","N.J","R","57","636.85","11.172807017544","-5.12","-2.23","-1.68","-4.92","-0.98","-2.74","-4.35","-0.46","-3.62","-0.4","-0.64","1.21","-0.31","-0.15","-2.22","-2.69","-1.77","-1.33","-0.32","-1.5","3.18","-0.39","-0.62","3.10","-3.15","-0.37","-4.41","-0.22","-0.1","-6.25","-5.62","1.91","-5.64","0.28","0.15","5.17","6.77","93.13","0.999","8.67","9.89","9.04","46.26","48.94","14.89","15.73","19.69","43.05"
"840","Casey Mittelstadt","BUF","C","77","858.85","11.153896103896","-2.91","0.87","-1.70","-2.81","1.6","-2.56","-1.58","-0.43","-0.93","-0.09","0.33","-3.84","-0.32","0.07","-4.69","-2.53","1.15","-3.75","-1.96","1.07","-7.44","-0.37","0.57","-16.17","-0.77","0.1","-1.14","0.5","-0.29","19.03","-0.15","1.38","-1.04","-0.13","-0.03","-5.56","7.37","90.71","0.981","15.02","10.9","3.7","49.53","80.22","23.54","16.14","9.29","71.70"
"89","Justin Abdelkader","DET","L","71","886.15","12.480985915493","-2.24","1.54","-1.73","-2.74","2.09","-2.92","-3.08","0.65","-3.27","-0.77","-0.28","-6.84","-0.1","0.27","-3.82","-0.84","0.52","-1.34","0.21","0.77","-1.03","-0.24","-0.11","-3.30","-1.4","-0.33","-1.39","-0.57","-0.02","-17.14","-1.97","2.16","-2.97","-0.14","-0.22","-2.96","6.23","92.37","0.986","10.9","16.79","11.1","39.68","49.54","16.05","21.73","20.92","43.41"
"183","Drew Doughty","L.A","D","82","1632.35","19.906707317073","-8.18","-4.94","-1.73","-5.05","-1.5","-2.36","-3.54","-0.65","-2.69","-0.58","-0.09","-6.22","-0.3","0.03","-4.04","-3.28","-0.78","-2.76","-0.9","-0.42","-1.44","-0.26","-0.32","-0.08","-3.18","-0.48","-3.60","-0.19","0.32","-13.39","-6.37","-5.33","-1.08","-0.25","0.03","-15.83","6.74","91.81","0.986","9.12","14.48","10.18","34.81","47.24","20.03","23.23","22.13","47.52"
"565","Justin Bailey","PHI","R","11","63.083333333333","5.7348484848485","1.48","6.6","-1.74","-6.67","1.39","-5.01","-4.7","-0.19","-4.24","-0.43","-2.63","16.04","-0.71","-0.09","-8.46","-5.36","-4.44","-1.82","-4.52","-2.53","-8.43","-1.17","-0.6","-42.86","-1.11","-2.55","1.30","-0.11","-1.84","19.23","5.12","13.56","-3.51","1.19","-0.94","83.33","8.00","94.87","1.029","5.71","18.07","6.66","62.77","46.15","11.41","23.78","13.32","46.15"
"469","Colton Parayko","STL","D","80","1512.6833333333","18.908541666667","-3.05","0.79","-1.74","-3.23","-0.08","-1.89","-3.36","-0.84","-2.01","-0.31","-0.85","6.94","-0.3","-0.27","0.09","-4.59","-2.21","-2.04","-1.73","-1.43","0.06","-0.47","-0.37","-1.11","-3.81","-1.05","-3.31","-0.03","-0.29","7.90","2.39","2.86","-0.37","0.21","-0.38","33.57","7.99","93.83","1.018","8.13","15.39","9.52","42.08","46.07","17.45","22.29","20.31","46.22"
"113","Jamie McGinn","FLA","L","19","182.36666666667","9.5982456140351","-1.57","2.4","-1.76","-2.85","1.38","-2.55","-3.19","-0.17","-2.59","-0.8","1.16","-16.83","-0.08","0.68","-7.33","-1.48","5.15","-6.20","-0.47","4","-8.90","-0.68","1.94","-32.19","-1.35","1.54","-3.67","0.48","-0.73","27.83","1.96","-1.63","2.46","-0.69","-0.34","-66.67","8.33","87.91","0.962","8.55","14.48","5.59","57.25","60.47","16.45","23.36","13.16","55.56"
"634","Jared McCann","FLA, PIT","C","78","935.18333333333","11.98952991453","-2.15","1.88","-1.76","-2.45","-0.29","-1.24","-2.71","1.21","-3.05","0.01","0.39","-3.75","-0.29","-0.08","-2.40","-3.39","-0.32","-3.06","-1.98","-0.92","-2.59","-0.22","0","-4.47","-1.88","0.81","-3.39","0.21","0.27","-1.99","-0.43","0.76","-0.80","0.1","0.25","-6.33","7.42","91.38","0.988","11.29","16.04","10.27","49.72","52.38","19.12","22.13","20.15","48.69"
"897","Antti Suomela","S.J","C","27","299.7","11.1","-4.03","0.54","-1.76","-0.33","-1.81","0.94","0.79","-3.14","3.29","-1.24","-1.92","7.25","-0.23","-0.23","0.40","-4.02","0.96","-4.27","-1.61","-1.84","0.95","-0.71","-0.79","-3.10","-3.21","3.74","-8.33","-0.49","-0.7","17.86","3.12","-1.23","2.56","-0.15","-0.87","66.67","4.47","94.78","0.992","10.61","12.41","4.4","59.26","70.67","19.42","19.82","12.41","61.01"
"510","Jaycob Megna","ANA","D","28","346.21666666667","12.364880952381","-6.96","-3.24","-1.76","-4.59","-1.96","-1.66","-3.7","0","-3.24","0.03","-0.16","2.05","-0.28","-0.12","-1.80","-2.94","-0.73","-2.14","-0.65","0.4","-2.34","0.06","0.29","-4.10","-3.06","-1.5","-1.99","-0.11","-0.5","14.55","-4.21","-2.02","-1.68","0.08","-0.11","11.11","7.79","92.57","1.004","8.32","12.3","7.45","61.35","52.75","14.56","17.16","14.04","50.91"
"109","Erik Johnson","COL","D","80","1398.8333333333","17.485416666667","-1.76","2.35","-1.77","-2.49","2.8","-3.13","-2.29","0.85","-2.49","-0.23","0.5","-7.50","-0.04","0.09","-1.52","0.38","1.2","-0.80","-0.86","0.71","-3.62","-0.1","0.3","-7.35","1.66","0.66","1.08","-0.03","-0.1","2.34","-3.29","1.51","-3.28","-0.14","0.34","-20.48","7.59","91.53","0.991","10.29","15.96","8.15","39.33","55.81","23.38","23.25","19.04","55.11"
"160","Colton Sceviour","FLA","C","59","584.01666666667","9.8985875706215","-2.54","1.37","-1.77","-2.29","-2.19","-0.07","-2.86","-3.28","0.42","0.33","-0.47","7.98","0.08","-0.43","5.61","-0.62","-3.4","2.91","0.21","-2.54","6.61","0.45","-0.44","14.43","-1.11","-1.14","0.15","0.08","-0.27","9.62","-0.71","4.4","-3.40","-0.27","0.1","-35.00","8.16","91.18","0.993","9.45","15.82","7.09","51.57","57.14","15.72","22.91","17.16","47.81"
"4","Patrick Marleau","TOR","C","82","1142.7833333333","13.936382113821","-2.04","2.43","-1.79","-0.28","3.37","-1.93","1.03","1.55","-0.36","-0.56","0.25","-7.22","-0.02","0.39","-3.97","-1.42","2.8","-3.50","0.2","1.42","-2.77","-0.11","0.12","-3.92","-2.17","1.83","-3.96","-0.56","0.25","-19.05","0.17","-0.28","0.29","-0.04","-0.09","3.88","8.03","92.15","1.002","13.65","16.17","8.61","42.21","61.32","22.42","20","19.06","54.05"
"249","Dmitry Kulikov","WPG","D","57","817.35","14.339473684211","-2.31","1.75","-1.79","-0.64","2.48","-1.74","-0.77","1.18","-1.53","-0.04","-0.1","0.61","0.09","0.17","-0.69","0.12","0.64","-0.48","1.41","0.77","1.76","0.15","0.34","-3.57","-1.73","-0.18","-2.11","-0.42","-0.22","-5.10","-1.75","0.77","-1.70","0.17","-0.39","29.17","8.38","93.30","1.017","6.83","14.09","7.05","42.21","49.21","16.74","19.97","14.98","52.78"
"724","Jeremy Lauzon","BOS","D","16","211.3","13.20625","-7.48","-3.2","-1.79","-3.57","-4.67","0.85","-0.81","-4.69","3.43","-0.7","-0.52","-5.42","-0.22","-0.32","1.28","-1.44","-2.56","1.16","-0.4","-2.06","4.59","-0.93","0.08","-36.11","-1.39","-0.68","-1.03","0.08","-0.74","71.43","-8.23","-8.03","0.66","0.25","-0.07","25.00","2.75","95.70","0.985","5.96","14.2","7.95","57.64","42.86","17.61","23.28","17.04","50.82"
"313","Alex Petrovic","EDM, FLA","D","35","514.51666666667","14.700476190476","3.41","7.66","-1.81","1.6","4.63","-1.73","-1.49","4.58","-4.79","-1.58","-0.01","-20.65","-0.26","0.4","-7.03","-2.18","3.95","-6.04","-2.46","1.84","-10.35","-0.94","0.16","-20.31","0.38","2.81","-3.23","-0.65","-0.06","-22.42","5.61","3.57","1.32","-0.22","-0.19","-30.00","3.46","91.13","0.946","10.73","12.94","8.05","47.46","57.14","19.71","19.47","18.54","51.52"
"128","Artem Anisimov","CHI","C","78","1035.5833333333","13.276709401709","-1.63","2.58","-1.81","-1.24","3.03","-2.42","-1.3","2.06","-2.55","-0.51","-0.51","0.00","-0.02","0.38","-3.54","-1.53","2.48","-3.39","0.38","1.24","-1.27","0.03","0.01","0.49","-2.53","1.65","-4.68","-0.54","-0.51","-0.55","0.2","0.65","-0.34","-0.2","-0.19","1.50","7.50","93.38","1.009","9.44","11.82","6.6","44.55","58.84","17.56","18.31","15.53","53.06"
"351","Micheal Ferland","CAR","L","71","831.81666666667","11.715727699531","-5.36","-0.54","-1.83","-3.52","-0.83","-1.29","-2.46","-0.51","-1.37","0.86","-0.51","14.22","-0.31","0.08","-3.64","-2.88","1.46","-3.92","-1.53","0.6","-4.20","0.56","-0.31","16.49","-1.81","1.16","-3.68","0.14","-0.28","12.98","-2.97","-1.71","-0.46","0.34","0.02","11.11","9.40","93.47","1.029","12.91","14.93","8.73","50.71","59.67","22","23.01","18.68","54.08"
"332","Mark Pysyk","FLA","D","70","1127.3333333333","16.104761904762","-3.65","0.33","-1.86","-2.26","0.36","-1.59","-1.62","1.02","-2.17","-0.04","-0.54","4.34","-0.2","-0.22","0.03","-1.2","-1.76","0.50","-0.9","-2.52","3.34","0.26","-0.58","13.05","-0.4","1","-1.87","-0.41","-0.12","-10.38","-2.22","2.35","-3.17","0.01","0.12","-5.95","8.27","91.74","1.000","7.34","15.12","8.2","52.32","47.26","15.17","23.9","17.94","45.82"
"280","Marcus Kruger","CHI","C","74","624.95","8.4452702702703","-10.02","-6.17","-1.87","-5.96","-8.61","1.51","-3.91","-7.32","2.67","-0.9","-0.79","-1.60","-0.46","-0.7","1.78","-7.37","-5.26","-2.78","-1.81","-3.84","3.05","-0.6","-0.6","-0.83","-7.41","-1.89","-6.98","-0.23","-0.57","8.69","-5.2","-2.57","-1.76","-0.19","0.34","-21.93","6.95","92.07","0.990","6.14","14.21","16.71","55.01","26.89","9.98","20.16","27.36","26.74"
"459","Cody Ceci","OTT","D","74","1389.9166666667","18.782657657658","0.53","5.73","-1.90","0.29","6.65","-3.19","0.08","4.85","-3.29","-0.29","-0.05","-2.44","0.06","0.29","-2.20","0.06","2.28","-1.88","0.56","1.6","-1.97","0.21","0.23","0.15","-0.67","0.91","-1.90","-0.2","-0.66","7.33","0.49","4.52","-2.14","-0.46","0.35","-34.21","8.10","91.29","0.994","7.9","13.9","9.24","41.92","46.10","15.58","20.89","19.17","44.84"
"759","Adam Gaudette","VAN","C","56","530.21666666667","9.4681547619048","-2.74","1.43","-1.90","-2.56","1.54","-2.50","-1.03","2.49","-2.85","-0.3","0.22","-5.66","-0.44","0.12","-7.03","-3.09","1.71","-4.81","-3.09","1.17","-11.53","-0.37","0.15","-11.46","0","0.72","-0.80","0.3","0.15","4.35","1.39","-1.29","1.86","-0.18","-0.06","-4.84","6.88","91.81","0.987","12.33","13.58","4.64","57.94","72.67","16.75","18.11","11.54","59.20"
