player_id,team_id
ADAM_HENRIQUE,ANA
MAX_COMTOIS,ANA
DEREK_GRANT,ANA
NICOLAS_DESLAURIERS,ANA
MASON_MCTAVISH,ANA
ISAC_LUNDESTROM,ANA
SAM_CARRICK,ANA
CAM_FOWLER,ANA
JOSH_MANSON,ANA
JAMIE_DRYSDALE,ANA
JOSH_MAHURA,ANA
JOHN_GIBSON,ANA
JAKOB_SILFVERBERG,ANA
RYAN_KESLER,ANA
MAX_JONES,ANA
JACOB_LARSSON,ANA
BRYCE_KINDOPP,ANA
SASHA_PASTUJOV,ANA
JACK_BADINI,ANA
BUDDY_ROBINSON,ANA
VINNI_LETTIERI,ANA
OLEN_ZELLWEGER,ANA
HUNTER_DREW,ANA
TREVOR_CARRICK,ANA
BROGAN_RAFFERTY,ANA
LUKAS_DOSTAL,ANA
OLLE_ERIKSSONEK,ANA
RYAN_GETZLAF,ANA
SONNY_MILANO,ANA
TROY_TERRY,ANA
TREVOR_ZEGRAS,ANA
SAM_STEEL,ANA
BENOIT-OLIVIER_GROULX,ANA
HAMPUS_LINDHOLM,ANA
KEVIN_SHATTENKIRK,ANA
SIMON_BENOIT,ANA
ANTHONY_STOLARZ,ANA
RICKARD_RAKELL,ANA
JACOB_PERREAULT,ANA
BRAYDEN_TRACEY,ANA
MAXIM_GOLOD,ANA
DANNY_OREGAN,ANA
KODIE_CURRAN,ANA
BRENDAN_GUHLE,ANA
AXEL_ANDERSSON,ANA
GREG_PATERYN,ANA
ROMAN_DURNY,ANA
CLAYTON_KELLER,ARI
LOUI_ERIKSSON,ARI
DMITRIJ_JASKIN,ARI
JAY_BEAGLE,ARI
JOHAN_LARSSON,ARI
BARRETT_HAYTON,ARI
TRAVIS_BOYD,ARI
ANTON_STRALMAN,ARI
SHAYNE_GOSTISBEHERE,ARI
KYLE_CAPOBIANCO,ARI
CAM_DINEEN,ARI
KAREL_VEJMELKA,ARI
NICK_SCHMALTZ,ARI
CONOR_TIMMINS,ARI
ALEX_GALCHENYUK,ARI
DYLAN_GUENTHER,ARI
LIAM_KIRK,ARI
RYAN_MCGREGOR,ARI
HUDSON_FASCHING,ARI
BOKONDJI_IMAMA,ARI
CAMERON_CROTTY,ARI
JANIS_MOSER,ARI
TY_EMBERSON,ARI
VLADISLAV_KOLYACHONOK,ARI
ANSON_THORNTON,ARI
DAVID_TENDECK,ARI
PHIL_KESSEL,ARI
ANDREW_LADD,ARI
ANTOINE_ROUSSEL,ARI
LAWSON_CROUSE,ARI
CHRISTIAN_FISCHER,ARI
LIAM_OBRIEN,ARI
JAKOB_CHYCHRUN,ARI
ILYA_LYUBUSHKIN,ARI
DYSIN_MAYO,ARI
SCOTT_WEDGEWOOD,ARI
RYAN_DZINGEL,ARI
CARTER_HUTTON,ARI
MATIAS_MACCELLI,ARI
BEN_MCCARTNEY,ARI
JAN_JENIK,ARI
BLAKE_SPEERS,ARI
MICHAEL_CARCONE,ARI
COLE_HULTS,ARI
VICTOR_SODERSTROM,ARI
VLADISLAV_PROVOLNEV,ARI
IVAN_PROSVETOV,ARI
JOSEF_KORENAR,ARI
PATRICE_BERGERON,BOS
BRAD_MARCHAND,BOS
CHARLIE_COYLE,BOS
CRAIG_SMITH,BOS
TOMAS_NOSEK,BOS
CURTIS_LAZAR,BOS
KARSON_KUHLMAN,BOS
CHARLIE_MCAVOY,BOS
MATT_GRZELCYK,BOS
MIKE_REILLY,BOS
JAKUB_ZBORIL,BOS
LINUS_ULLMARK,BOS
NICK_FOLIGNO,BOS
CHRIS_WAGNER,BOS
FABIAN_LYSELL,BOS
MATT_FILIPE,BOS
SAMUEL_ASSELIN,BOS
ZACH_SENYSHYN,BOS
JOONA_KOPPANEN,BOS
JOHN_MOORE,BOS
URHO_VAAKANAINEN,BOS
BRADY_LYLE,BOS
NICK_WOLFF,BOS
TROY_GROSENICK,BOS
KYLE_KEYSER,BOS
DAVID_PASTRNAK,BOS
TAYLOR_HALL,BOS
JAKE_DEBRUSK,BOS
ERIK_HAULA,BOS
TRENT_FREDERIC,BOS
JACK_STUDNICKA,BOS
BRANDON_CARLO,BOS
DEREK_FORBORT,BOS
CONNOR_CLIFTON,BOS
JEREMY_SWAYMAN,BOS
ANTON_BLIDH,BOS
CURTIS_HALL,BOS
JESPER_FRODEN,BOS
OSKAR_STEEN,BOS
JAKUB_LAUKO,BOS
STEVEN_FOGARTY,BOS
CAMERON_HUGHES,BOS
JACK_AHCAN,BOS
VICTOR_BERGLUND,BOS
TYLER_LEWINGTON,BOS
CALLUM_BOOTH,BOS
JEFF_SKINNER,BUF
VICTOR_OLOFSSON,BUF
ZEMGUS_GIRGENSONS,BUF
TAGE_THOMPSON,BUF
ARTTU_RUOTSALAINEN,BUF
RASMUS_ASPLUND,BUF
JOHN_HAYDEN,BUF
RASMUS_DAHLIN,BUF
WILL_BUTCHER,BUF
MARK_PYSYK,BUF
CHRISTIAN_WOLANIN,BUF
CRAIG_ANDERSON,BUF
DUSTIN_TOKARSKI,BUF
JOHNNY_BOYCHUK,BUF
CASEY_MITTELSTADT,BUF
LUKAS_ROUSEK,BUF
BRANDON_BIRO,BUF
JOHN-JASON_PETERKA,BUF
LINUS_WEISSBACH,BUF
MATEJ_PEKAR,BUF
SEAN_MALONE,BUF
MATTIAS_SAMUELSSON,BUF
BRANDON_DAVIDSON,BUF
ETHAN_PROW,BUF
UKKO-PEKKA_LUUKKONEN,BUF
KYLE_OKPOSO,BUF
CODY_EAKIN,BUF
ANDERS_BJORK,BUF
VINNIE_HINOSTROZA,BUF
DYLAN_COZENS,BUF
DRAKE_CAGGIULA,BUF
COLIN_MILLER,BUF
ROBERT_HAGG,BUF
JACOB_BRYSON,BUF
AARON_DELL,BUF
ALEX_TUCH,BUF
HENRI_JOKIHARJU,BUF
ANDREW_OGLEVIE,BUF
JACK_QUINN,BUF
PEYTON_KREBS,BUF
BRETT_MURRAY,BUF
RYAN_MACINNIS,BUF
OSKARI_LAAKSONEN,BUF
CASEY_FITZGERALD,BUF
JIMMY_SCHULDT,BUF
MATTHEW_TKACHUK,CGY
SEAN_MONAHAN,CGY
MILAN_LUCIC,CGY
