id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
1,Martin Brodeur,N.J,39,191.45,32,28,4,0.875,1.25,-0.65,2.44,7,5,2,0.714,0.63,-0.42,11,9,2,0.818,0.63,-0.93,8,8,0,1.000,0.00,0.26,4,0,47.69,22.25
2,Nikolai Khabibulin,CHI,4,19.033333333333,2,1,1,0.500,3.15,-0.79,0.22,1,0,1,0.000,3.15,-0.77,1,1,0,1.000,0.00,0.10,0,0,0,-,0.00,0.00,0,0,22.50,21.00
3,Tim Thomas,"DAL, FLA",48,228.3,35,33,2,0.943,0.53,1.67,2.45,11,9,2,0.818,0.53,0.48,10,10,0,1.000,0.00,0.98,7,7,0,1.000,0.00,0.22,2,1,54.74,10.50
4,Evgeni Nabokov,NYI,40,193.26666666667,22,21,1,0.955,0.31,1.30,1.86,6,5,1,0.833,0.31,0.35,8,8,0,1.000,0.00,0.78,2,2,0,1.000,0.00,0.06,3,0,61.41,19.00
5,Jean-Sebastien Giguere,COL,22,97.7,13,13,0,1.000,0.00,1.36,0.75,1,1,0,1.000,0.00,0.23,3,3,0,1.000,0.00,0.29,6,6,0,1.000,0.00,0.19,1,1,57.77,-
6,Martin Biron,NYR,2,5.1,0,0,0,-,0.00,0.00,0.04,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
7,Roberto Luongo,"FLA, VAN",56,295.91666666667,35,33,2,0.943,0.41,1.67,2.62,10,8,2,0.800,0.41,0.25,10,10,0,1.000,0.00,0.98,9,9,0,1.000,0.00,0.29,3,1,44.66,9.50
8,Scott Clemmensen,FLA,17,101.76666666667,13,12,1,0.923,0.59,0.36,0.97,6,5,1,0.833,0.59,0.35,1,1,0,1.000,0.00,0.10,4,4,0,1.000,0.00,0.13,3,0,46.54,10.00
9,Jason LaBarbera,EDM,7,26.35,0,0,0,-,0.00,0.00,0.01,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
10,Craig Anderson,OTT,53,253,50,44,6,0.880,1.42,-0.76,4.19,15,12,3,0.800,0.71,0.38,13,11,2,0.846,0.47,-0.73,14,13,1,0.929,0.24,-0.55,3,4,45.46,22.00
11,Ryan Miller,"BUF, STL",59,294.11666666667,41,38,3,0.927,0.61,1.30,3.7,9,7,2,0.778,0.41,0.03,15,14,1,0.933,0.20,0.46,8,8,0,1.000,0.00,0.26,7,3,49.32,17.00
12,Ilya Bryzgalov,"EDM, MIN",32,150.06666666667,21,17,4,0.810,1.60,-1.80,1.6,6,4,2,0.667,0.80,-0.65,7,5,2,0.714,0.80,-1.32,5,5,0,1.000,0.00,0.16,3,0,44.57,23.50
