Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2021-01-22,7:00 PM,8:00 PM,San Jose Sharks,1,Minnesota Wild,4,Regulation
2021-01-22,7:30 PM,8:30 PM,Nashville Predators,0,Dallas Stars,7,Regulation
2021-01-22,8:00 PM,9:00 PM,Vegas Golden Knights,2,Arizona Coyotes,5,Regulation
2021-01-22,9:00 PM,10:00 PM,Colorado Avalanche,3,Anaheim Ducks,2,OT
2021-01-23,1:00 PM,2:00 PM,Tampa Bay Lightning,2,Columbus Blue Jackets,5,Regulation
2021-01-23,6:00 PM,7:00 PM,Philadelphia Flyers,1,Boston Bruins,6,Regulation
2021-01-23,6:00 PM,7:00 PM,Montreal Canadiens,5,Vancouver Canucks,2,Regulation
2021-01-23,7:00 PM,8:00 PM,Los Angeles Kings,2,St. Louis Blues,4,Regulation
2021-01-23,9:00 PM,10:00 PM,Ottawa Senators,3,Winnipeg Jets,6,Regulation
2021-01-24,11:30 AM,12:30 PM,Detroit Red Wings,2,Chicago Blackhawks,6,Regulation
2021-01-24,2:00 PM,3:00 PM,Buffalo Sabres,4,Washington Capitals,3,SO
2021-01-24,3:00 PM,4:00 PM,Toronto Maple Leafs,3,Calgary Flames,2,Regulation
2021-01-24,3:00 PM,4:00 PM,Vegas Golden Knights,1,Arizona Coyotes,0,Regulation
2021-01-24,6:00 PM,7:00 PM,New York Islanders,0,New Jersey Devils,2,Regulation
2021-01-24,6:00 PM,7:00 PM,New York Rangers,2,Pittsburgh Penguins,3,Regulation
2021-01-24,7:00 PM,8:00 PM,Los Angeles Kings,6,St. Louis Blues,3,Regulation
2021-01-24,7:00 PM,8:00 PM,San Jose Sharks,5,Minnesota Wild,3,Regulation
2021-01-24,7:00 PM,8:00 PM,Nashville Predators,2,Dallas Stars,3,Regulation
2021-01-24,7:00 PM,8:00 PM,Colorado Avalanche,1,Anaheim Ducks,3,Regulation
2021-01-24,8:00 PM,9:00 PM,Edmonton Oilers,4,Winnipeg Jets,3,Regulation
