id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Jaromir Jagr,"FLA, N.J",R,77,1094.05,12,20,14,6,32,72.73,128,9.38,12.2,231,177,156,56,5,16,34,17,17,0,0,13,34,35,28,89,12,0,0,-
2,Sergei Gonchar,"DAL, MTL",D,48,698.21666666667,1,9,4,5,10,45.45,26,3.85,0.89,82,45,11,1,0,4,16,8,8,0,0,0,24,4,40,58,58,1,0,100.00
3,Kimmo Timonen,CHI,D,16,182.16666666667,0,0,0,0,0,0.00,8,0.00,0.08,15,9,1,0,0,0,2,1,1,0,0,0,6,0,15,28,15,0,0,-
4,Patrik Elias,N.J,C,69,867.8,8,13,8,5,21,91.30,72,11.11,6.52,130,105,81,30,2,2,8,4,4,0,0,5,27,12,21,58,18,209,312,40.12
5,Bryce Salvador,N.J,D,15,213.78333333333,0,2,2,0,2,40.00,12,0.00,0.34,26,16,3,0,0,2,13,5,4,1,0,3,5,1,16,22,11,0,0,-
6,Eric Boulton,NYI,L,10,71.05,2,0,0,0,2,100.00,9,22.22,1.01,13,11,6,5,0,1,4,2,2,0,0,4,1,1,10,6,4,0,0,-
7,Shane Doan,ARI,R,79,1164.75,9,16,11,5,25,69.44,136,6.62,10.8,237,187,115,54,11,18,35,15,14,1,0,13,32,36,150,125,19,2,5,28.57
8,Jarome Iginla,COL,R,82,1176.85,20,22,18,4,42,77.78,124,16.13,9.61,227,158,120,46,7,11,36,11,7,4,0,5,24,29,92,72,41,45,51,46.88
9,Stephane Robidas,TOR,D,52,742.25,1,5,1,4,6,23.08,31,3.23,1.31,82,53,15,2,2,6,28,14,14,0,0,3,13,6,126,122,54,0,0,-
10,Chris Phillips,OTT,D,36,592.63333333333,0,2,2,0,2,11.11,26,0.00,0.79,63,37,15,2,1,3,8,4,4,0,0,3,26,7,47,63,40,0,0,-
11,Daniel Briere,COL,C,57,604.55,7,4,1,3,11,78.57,62,11.29,5.01,97,86,50,24,6,6,8,4,4,0,0,7,8,21,18,31,8,10,9,52.63
12,Dainius Zubrus,N.J,C,74,941.48333333333,4,4,2,2,8,33.33,65,6.15,5.57,96,84,61,26,3,7,32,15,15,0,0,10,16,17,96,98,25,28,42,40.00
13,Matt Cullen,NSH,C,62,709.33333333333,7,13,6,7,20,60.61,81,8.64,7.59,143,115,87,39,7,3,16,8,8,0,0,6,19,22,10,51,14,133,110,54.73
14,Zdeno Chara,BOS,D,63,1090.4,3,5,3,2,8,22.86,98,3.06,2.65,191,129,33,3,2,7,22,11,11,0,0,6,41,7,108,82,70,1,0,100.00
15,Michal Rozsival,CHI,D,65,1007.55,1,9,4,5,10,26.32,46,2.17,1.7,124,69,25,3,1,5,16,8,8,0,0,5,33,16,98,162,82,0,0,-
16,Craig Adams,PIT,R,70,492.38333333333,1,5,2,3,6,60.00,44,2.27,3.54,67,57,41,17,4,5,25,7,5,1,1,5,5,4,169,70,11,7,12,36.84
17,Willie Mitchell,FLA,D,66,1127.95,3,4,2,2,7,15.91,74,4.05,2.62,173,103,34,4,4,6,10,5,5,0,0,5,27,13,91,117,105,0,0,-
