id,team_name,gp,toi,w,l,otl,row,points,point_pcg,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,gf,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,scsf,scsa,scsf_pcg,scgf,scga,scgf_pcg,scsh_pcg,scsv_pcg,hdcf,hdca,hdcf_pcg,hdsf,hdsa,hdsf_pcg,hdgf,hdga,hdgf_pcg,hdsh_pcg,hdsv_pcg,mdcf,mdca,mdcf_pcg,mdsf,mdsa,mdsf_pcg,mdgf,mdga,mdgf_pcg,mdsh_pcg,mdsv_pcg,ldcf,ldca,ldcf_pcg,ldsf,ldsa,ldsf_pcg,ldgf,ldga,ldgf_pcg,ldsh_pcg,ldsv_pcg,sh_pcg,sv_pcg,pdo
1,Pittsburgh Penguins,82,376.8333,46,25,11,43,103,0.628,645,116,84.76,489,106,82.18,361,87,80.58,43,7,86.00,52.7,8.25,86.46,400,69,85.29,250,52,82.78,35,7,83.33,14.00,86.54,167,34,83.08,127,31,80.38,19,4,82.61,14.96,87.10,233,35,86.94,123,21,85.42,16,3,84.21,13.01,85.71,232,29,88.89,105,18,85.37,8,0,100.00,7.62,100.00,11.91,91.95,1.039
2,Tampa Bay Lightning,82,407.2667,51,23,8,49,110,0.671,643,107,85.73,526,93,84.98,384,70,84.58,55,4,93.22,51.16,6.79,88.28,372,65,85.13,234,44,84.17,45,4,91.84,19.23,90.91,169,32,84.08,123,27,82.00,27,4,87.10,21.95,85.19,203,33,86.02,111,17,86.72,18,0,100.00,16.22,100.00,262,22,92.25,149,9,94.30,10,0,100.00,6.71,100.00,14.32,94.29,1.086
3,Seattle Kraken,82,356.8667,27,49,6,24,60,0.366,556,84,86.88,428,74,85.26,311,61,83.60,29,5,85.29,37.23,3.96,90.38,263,35,88.26,157,26,85.79,22,5,81.48,14.01,80.77,118,16,88.06,86,14,86.00,17,3,85.00,19.77,78.57,145,19,88.41,71,12,85.54,5,2,71.43,7.04,83.33,280,21,93.02,153,11,93.29,7,0,100.00,4.58,100.00,9.32,91.80,1.011
4,Vegas Golden Knights,82,347.5667,43,31,8,39,94,0.573,550,94,85.40,440,81,84.45,320,66,82.90,36,6,85.71,44.54,5.75,88.56,305,50,85.92,194,37,83.98,31,5,86.11,15.98,86.49,137,25,84.57,104,22,82.54,21,5,80.77,20.19,77.27,168,25,87.05,90,15,85.71,10,0,100.00,11.11,100.00,237,19,92.58,125,6,95.42,5,1,83.33,4.00,83.33,11.25,90.91,1.022
5,Montreal Canadiens,82,389.5667,22,49,11,19,55,0.335,552,103,84.27,407,87,82.39,299,70,81.03,32,12,72.73,38.37,6.65,85.23,290,59,83.09,175,40,81.40,23,11,67.65,13.14,72.50,116,36,76.32,85,28,75.22,14,10,58.33,16.47,64.29,174,23,88.32,90,12,88.24,9,1,90.00,10.00,91.67,247,23,91.48,120,10,92.31,8,1,88.89,6.67,90.00,10.70,82.86,0.936
6,Toronto Maple Leafs,82,340.05,54,21,7,51,115,0.701,628,89,87.59,505,79,86.47,360,69,83.92,58,3,95.08,49.27,5.36,90.20,382,44,89.67,231,34,87.17,50,2,96.15,21.65,94.12,152,22,87.36,110,20,84.62,26,1,96.30,23.64,95.00,230,22,91.27,121,14,89.63,24,1,96.00,19.83,92.86,240,23,91.25,129,16,88.97,8,1,88.89,6.20,93.75,16.11,95.65,1.118
7,Washington Capitals,82,402.75,44,26,12,39,100,0.610,622,117,84.17,482,104,82.25,359,82,81.41,46,8,85.19,43.6,6.26,87.44,287,48,85.67,180,35,83.72,30,8,78.95,16.67,77.14,113,18,86.26,86,13,86.87,18,6,75.00,20.93,53.85,174,30,85.29,94,22,81.03,12,2,85.71,12.77,90.91,319,35,90.11,175,16,91.62,16,0,100.00,9.14,100.00,12.81,90.24,1.031
8,New York Rangers,82,333.4,52,24,6,48,110,0.671,586,86,87.20,469,75,86.21,320,57,84.88,50,2,96.15,45.56,4.5,91.02,312,44,87.64,175,29,85.78,40,1,97.56,22.86,96.55,142,15,90.45,98,11,89.91,31,1,96.88,31.63,90.91,170,29,85.43,77,18,81.05,9,0,100.00,11.69,100.00,267,24,91.75,142,13,91.61,10,1,90.91,7.04,92.31,15.63,96.49,1.121
9,Chicago Blackhawks,82,400.4167,28,42,12,22,68,0.415,594,101,85.47,442,89,83.24,341,74,82.17,42,6,87.50,40.6,6.34,86.50,325,54,85.75,201,40,83.40,31,6,83.78,15.42,85.00,110,26,80.88,84,19,81.55,19,4,82.61,22.62,78.95,215,28,88.48,117,21,84.78,12,2,85.71,10.26,90.48,261,22,92.23,140,11,92.72,11,0,100.00,7.86,100.00,12.32,91.89,1.042
10,Colorado Avalanche,82,427.1667,56,19,7,52,119,0.726,743,97,88.45,575,82,87.52,405,65,86.17,59,4,93.65,51.24,5.42,90.43,406,40,91.03,245,29,89.42,41,4,91.11,16.73,86.21,146,21,87.43,99,15,86.84,22,3,88.00,22.22,80.00,260,19,93.19,146,14,91.25,19,1,95.00,13.01,92.86,324,23,93.37,159,5,96.95,18,0,100.00,11.32,100.00,14.57,93.85,1.084
11,Vancouver Canucks,82,383.3333,40,30,12,37,92,0.561,665,86,88.55,492,79,86.16,360,71,83.53,56,6,90.32,45.74,5.53,89.22,373,41,90.10,221,36,85.99,46,6,88.46,20.81,83.33,135,22,85.99,102,21,82.93,26,3,89.66,25.49,85.71,238,19,92.61,119,15,88.81,20,3,86.96,16.81,80.00,279,18,93.94,134,11,92.41,10,0,100.00,7.46,100.00,15.56,91.55,1.071
12,Edmonton Oilers,82,364.7167,49,27,6,44,104,0.634,647,76,89.49,520,68,88.44,385,54,87.70,56,6,90.32,55.29,5.95,90.29,385,43,89.95,246,31,88.81,40,6,86.96,16.26,80.65,171,24,87.69,120,19,86.33,26,5,83.87,21.67,73.68,214,19,91.85,126,12,91.30,14,1,93.33,11.11,91.67,257,14,94.83,138,4,97.18,16,0,100.00,11.59,100.00,14.55,88.89,1.034
13,Buffalo Sabres,82,366.1333,32,39,11,29,75,0.457,517,98,84.07,411,91,81.87,307,77,79.95,46,6,88.46,32.99,7.11,82.26,236,46,83.69,150,37,80.21,29,5,85.29,19.33,86.49,88,27,76.52,64,24,72.73,13,5,72.22,20.31,79.17,148,19,88.62,86,13,86.87,16,0,100.00,18.60,100.00,278,24,92.05,157,16,90.75,17,1,94.44,10.83,93.75,14.98,92.21,1.072
14,Ottawa Senators,82,375.1333,33,42,7,30,73,0.445,595,96,86.11,467,77,85.85,341,65,83.99,43,4,91.49,47.07,5.49,89.56,374,46,89.05,240,34,87.59,38,4,90.48,15.83,88.24,181,23,88.73,139,19,87.97,27,3,90.00,19.42,84.21,193,23,89.35,101,15,87.07,11,1,91.67,10.89,93.33,213,26,89.12,100,12,89.29,5,0,100.00,5.00,100.00,12.61,93.85,1.065
15,Detroit Red Wings,82,362.8,32,40,10,29,74,0.451,500,91,84.60,387,84,82.17,279,75,78.81,31,9,77.50,37.62,5.85,86.54,278,48,85.28,169,39,81.25,22,9,70.97,13.02,76.92,115,20,85.19,80,17,82.47,11,4,73.33,13.75,76.47,163,28,85.34,89,22,80.18,11,5,68.75,12.36,77.27,211,18,92.14,109,14,88.62,9,0,100.00,8.26,100.00,11.11,88.00,0.991
16,Florida Panthers,82,400.4833,58,18,6,55,122,0.744,628,100,86.26,475,88,84.37,356,71,83.37,62,8,88.57,47.74,5.95,88.92,361,41,89.80,217,30,87.85,50,8,86.21,23.04,73.33,138,25,84.66,107,20,84.25,32,6,84.21,29.91,70.00,223,16,93.31,110,10,91.67,18,2,90.00,16.36,80.00,254,23,91.70,137,12,91.95,12,0,100.00,8.76,100.00,17.42,88.73,1.061
