id,player_name,team,position,age,dob,birth_city,birth_state,birth_country,nationality,height,weight,draft_year,draft_team,draft_round,draft_round_pick,total_draft_pick
1,Martin Brodeur,N.J,G,47,1972-05-06,Montreal,-,CAN,-,74,220,1990,N.J,1,20,20
2,Nikolai Khabibulin,CHI,G,47,1973-01-13,Sverdlovsk,-,RUS,-,73,208,1992,WIN,9,12,204
3,Tim Thomas,"DAL, FLA",G,46,1974-04-15,Flint,-,USA,-,71,201,1994,QUE,9,9,217
4,Evgeni Nabokov,NYI,G,44,1975-07-25,Kamenogorsk,-,KAZ,-,72,202,1994,S.J,9,11,219
5,Jean-Sebastien Giguere,COL,G,42,1977-05-16,Montreal,-,CAN,-,73,202,1995,HFD,1,13,13
6,Martin Biron,NYR,G,42,1977-08-15,Lac St. Charles,-,CAN,-,74,186,1995,BUF,1,16,16
7,Roberto Luongo,"FLA, VAN",G,41,1979-04-04,Montreal,-,CAN,-,75,215,1997,NYI,1,4,4
8,Scott Clemmensen,FLA,G,42,1977-07-23,Des Moines,-,USA,-,74,200,1997,N.J,8,25,215
9,Jason LaBarbera,EDM,G,40,1980-01-18,Burnaby,-,CAN,-,75,232,1998,NYR,3,8,66
10,Craig Anderson,OTT,G,38,1981-05-21,Park Ridge,-,USA,-,74,186,2001,CHI,3,10,73
11,Ryan Miller,"BUF, STL",G,39,1980-07-17,East Lansing,-,USA,-,75,170,1999,BUF,5,12,138
12,Ilya Bryzgalov,"EDM, MIN",G,39,1980-06-22,Togliatti,-,RUS,-,75,213,2000,ANA,2,14,44
13,Dan Ellis,"DAL, FLA",G,39,1980-06-19,Saskatoon,-,CAN,-,73,195,2000,DAL,2,30,60
14,Henrik Lundqvist,NYR,G,38,1982-03-02,Are,-,SWE,-,73,182,2000,NYR,7,8,205
15,Peter Budaj,MTL,G,37,1982-09-18,Banská Bystrica,-,SVK,-,73,196,2001,COL,2,33,63
16,Ray Emery,PHI,G,37,1982-09-28,Hamilton,-,CAN,-,74,196,2001,OTT,4,3,99
17,Drew MacIntyre,TOR,G,36,1983-06-24,Charlottetown,-,CAN,-,73,188,2001,DET,4,25,121
18,Mike Smith,PHX,G,38,1982-03-22,Kingston,-,CAN,-,76,220,2001,DAL,5,30,161
19,Joey MacDonald,CGY,G,40,1980-02-07,Pictou,-,CAN,-,72,197,-,-,-,-,-
20,Mike McKenna,CBJ,G,37,1983-04-11,St. Louis,-,USA,-,74,183,2002,NSH,6,6,172
21,Kari Lehtonen,DAL,G,36,1983-11-16,Helsinki,-,FIN,-,76,209,2002,ATL,1,2,2
22,Curtis McElhinney,CBJ,G,36,1983-05-23,London,-,CAN,-,74,204,2002,CGY,6,10,176
23,Josh Harding,MIN,G,35,1984-06-18,Regina,-,CAN,-,74,194,2002,MIN,2,8,38
24,Cam Ward,CAR,G,36,1984-02-29,Saskatoon,-,CAN,-,73,194,2002,CAR,1,25,25
25,Marc-Andre Fleury,PIT,G,35,1984-11-28,Sorel,-,CAN,-,74,185,2003,PIT,1,1,1
26,Corey Crawford,CHI,G,35,1984-12-31,Montreal,-,CAN,-,74,216,2003,CHI,2,22,52
27,Jimmy Howard,DET,G,36,1984-03-26,Syracuse,-,USA,-,73,218,2003,DET,2,34,64
28,Jaroslav Halak,"STL, WSH",G,34,1985-05-13,Bratislava,-,SVK,-,71,185,2003,MTL,9,10,271
29,Brian Elliott,STL,G,35,1985-04-09,Newmarket,-,CAN,-,74,209,2003,OTT,9,30,291
30,Al Montoya,WPG,G,35,1985-02-13,Chicago,-,USA,-,74,200,2004,NYR,1,6,6
31,Devan Dubnyk,"EDM, NSH",G,33,1986-05-04,Regina,-,CAN,-,78,224,2004,EDM,1,14,14
32,Cory Schneider,N.J,G,34,1986-03-18,Marblehead,-,USA,-,75,200,2004,VAN,1,26,26
33,Justin Peters,CAR,G,33,1986-08-30,Blyth,-,CAN,-,73,210,2004,CAR,2,8,38
34,Thomas Greiss,PHX,G,34,1986-01-29,Fussen,-,DEU,-,73,232,2004,S.J,3,29,94
35,Karri Ramo,CGY,G,33,1986-07-01,Asikkala,-,FIN,-,74,206,2004,T.B,6,28,191
36,Anton Khudobin,CAR,G,33,1986-05-07,Ust-Kamenogorsk,-,KAZ,-,71,195,2004,MIN,7,13,206
37,Pekka Rinne,NSH,G,37,1982-11-03,Kempele,-,FIN,-,77,217,2004,NSH,8,31,258
38,Carey Price,MTL,G,32,1987-08-16,Anahim Lake,-,CAN,-,75,217,2005,MTL,1,5,5
39,Tuukka Rask,BOS,G,33,1987-03-10,Savonlinna,-,FIN,-,75,176,2005,TOR,1,21,21
40,Ondrej Pavelec,WPG,G,32,1987-08-31,Kladno,-,CZE,-,75,212,2005,ATL,2,11,41
41,Jonathan Quick,L.A,G,34,1986-01-21,Milford,-,USA,-,73,216,2005,L.A,3,11,72
42,Ben Bishop,T.B,G,33,1986-11-21,Denver,-,USA,-,79,210,2005,STL,3,24,85
43,Alex Stalock,S.J,G,32,1987-07-28,St. Paul,-,USA,-,72,200,2005,S.J,4,21,112
44,Niklas Backstrom,MIN,G,42,1978-02-13,Helsinki,-,FIN,-,74,192,-,-,-,-,-
45,Chad Johnson,BOS,G,33,1986-06-10,Saskatoon,-,CAN,-,75,197,2006,PIT,5,2,125
46,Steve Mason,PHI,G,31,1988-05-29,Oakville,-,CAN,-,76,188,2006,CBJ,3,6,69
47,Reto Berra,"CGY, COL",G,33,1987-01-03,Bulach,-,CHE,-,76,218,2006,STL,4,13,106
48,James Reimer,TOR,G,32,1988-03-15,Morweena,-,CAN,-,74,220,2006,TOR,4,6,99
49,Jhonas Enroth,BUF,G,31,1988-06-25,Stockholm,-,SWE,-,70,175,2006,BUF,2,16,46
50,Jonathan Bernier,TOR,G,31,1988-08-07,Laval,-,CAN,-,72,185,2006,L.A,1,11,11
51,Jeff Zatkoff,PIT,G,32,1987-06-09,Detroit,-,USA,-,74,186,2006,L.A,3,11,74
52,Semyon Varlamov,COL,G,31,1988-04-27,Samara,-,RUS,-,74,205,2006,WSH,1,23,23
53,Michal Neuvirth,"BUF, WSH",G,32,1988-03-23,Ústí nad Labem,-,CZE,-,73,209,2006,WSH,2,4,34
54,Richard Bachman,EDM,G,32,1987-07-25,Salt Lake City,-,USA,-,70,183,2006,DAL,4,27,120
55,Cedrick Desjardins,T.B,G,34,1985-09-30,Edmundston,-,CAN,-,72,188,-,-,-,-,-
56,Jonas Hiller,ANA,G,38,1982-02-12,Felben Wellhausen,-,CHE,-,74,191,-,-,-,-,-
57,John Curry,MIN,G,36,1984-02-27,Shorewood,-,USA,-,71,185,-,-,-,-,-
58,Antti Niemi,S.J,G,36,1983-08-29,Vantaa,-,FIN,-,74,209,-,-,-,-,-
59,Jacob Markstrom,"FLA, VAN",G,30,1990-01-31,Gävle,-,SWE,-,78,206,2008,FLA,2,1,31
60,Michael Hutchinson,WPG,G,30,1990-03-02,Barrie,-,CAN,-,75,198,2008,BOS,3,16,77
61,Braden Holtby,WSH,G,30,1989-09-16,Lloydminster,-,CAN,-,74,214,2008,WSH,4,2,93
62,Dustin Tokarski,MTL,G,30,1989-09-16,Watson,-,CAN,-,72,198,2008,T.B,5,1,122
63,Kevin Poulin,NYI,G,30,1990-04-12,Montreal,-,CAN,-,74,206,2008,NYI,5,5,126
64,Joacim Eriksson,VAN,G,30,1990-04-09,Gävle,-,SWE,-,73,189,2008,PHI,7,15,196
65,Anders Lindback,T.B,G,31,1988-05-03,Gävle,-,SWE,-,78,215,2008,NSH,7,26,207
66,Nathan Lawson,OTT,G,36,1983-09-29,Calgary,-,CAN,-,74,198,-,-,-,-,-
67,Martin Jones,L.A,G,30,1990-01-10,North Vancouver,-,CAN,-,76,190,-,-,-,-,-
68,Anders Nilsson,NYI,G,30,1990-03-19,Lulea,-,SWE,-,78,232,2009,NYI,3,1,62
69,Robin Lehner,OTT,G,28,1991-07-24,Gothenburg,-,SWE,-,76,240,2009,OTT,2,16,46
70,Matt Hackett,BUF,G,30,1990-03-07,London,-,CAN,-,74,179,2009,MIN,3,16,77
71,Joni Ortio,CGY,G,29,1991-04-16,Turku,-,FIN,-,73,190,2009,CGY,6,20,171
72,Connor Knapp,BUF,G,29,1990-05-01,York,-,USA,-,78,206,2009,BUF,6,13,164
73,Darcy Kuemper,MIN,G,29,1990-05-05,Saskatoon,-,CAN,-,77,215,2009,MIN,6,10,161
74,Jonas Gustavsson,DET,G,35,1984-10-24,Danderyd,-,SWE,-,76,201,-,-,-,-,-
75,Carter Hutton,NSH,G,34,1985-12-19,Thunder Bay,-,CAN,-,73,202,-,-,-,-,-
76,Cam Talbot,NYR,G,32,1987-07-05,Caledonia,-,CAN,-,76,196,-,-,-,-,-
77,Eddie Lack,VAN,G,32,1988-01-05,Norrtälje,-,SWE,-,76,187,-,-,-,-,-
78,Ben Scrivens,"EDM, L.A",G,33,1986-09-11,Spruce Grove,-,CAN,-,74,181,-,-,-,-,-
79,Sergei Bobrovsky,CBJ,G,31,1988-09-20,Novokuznetsk,-,RUS,-,74,187,-,-,-,-,-
80,Kent Simpson,CHI,G,28,1992-03-26,Edmonton,-,CAN,-,74,209,2010,CHI,2,28,58
81,Mark Visentin,PHX,G,27,1992-08-07,Hamilton,-,CAN,-,74,201,2010,PHX,1,27,27
82,Jack Campbell,DAL,G,28,1992-01-09,Port Huron,-,USA,-,74,197,2010,DAL,1,11,11
83,Sami Aittokallio,COL,G,27,1992-08-06,Tampere,-,FIN,-,73,185,2010,COL,4,17,107
84,Philipp Grubauer,WSH,G,28,1991-11-25,Rosenheim,-,DEU,-,73,188,2010,WSH,4,22,112
85,Petr Mrazek,DET,G,28,1992-02-14,Ostrava,-,CZE,-,74,190,2010,DET,5,21,141
86,Frederik Andersen,ANA,G,30,1989-10-02,Herning,-,DNK,-,76,238,2012,ANA,3,26,87
87,Nathan Lieuwen,BUF,G,28,1991-08-08,Abbotsford,-,CAN,-,77,189,2011,BUF,6,16,167
88,Magnus Hellberg,NSH,G,29,1991-04-04,Uppsala,-,SWE,-,78,209,2011,NSH,2,8,38
89,John Gibson,ANA,G,26,1993-07-14,Pittsburgh,-,USA,-,75,207,2011,ANA,2,9,39
90,Calvin Heeter,PHI,G,31,1988-11-02,St. Louis,-,USA,-,76,195,-,-,-,-,-
91,Viktor Fasth,"ANA, EDM",G,37,1982-08-08,Kalix,-,SWE,-,72,181,-,-,-,-,-
92,Niklas Svedberg,BOS,G,30,1989-09-04,Sollentuna,-,SWE,-,73,163,-,-,-,-,-
93,Cristopher Nilstorp,DAL,G,36,1984-02-16,Malmö,-,SWE,-,75,190,-,-,-,-,-
94,Marek Mazanec,NSH,G,28,1991-07-18,Pisek,-,CZE,-,76,202,2012,NSH,6,28,179
95,Andrew Hammond,OTT,G,32,1988-02-11,Surrey,-,CAN,-,74,223,-,-,-,-,-
96,Antti Raanta,CHI,G,30,1989-05-12,Rauma,-,FIN,-,72,195,-,-,-,-,-
97,Kristers Gudlevskis,T.B,G,27,1992-07-31,Aizkraukle,-,LVA,-,75,188,2013,T.B,5,3,124
