id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
380,Lance Bouma,CGY,C,44,73.583333333333,0,2,1,1,2,66.67,2,0.00,0.32,4,4,3,1,0,1,10,1,0,0,1,1,1,3,3,0,13,1,1,50.00
381,David Warsofsky,"N.J, PIT",D,22,0.71666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
382,Michal Jordan,CAR,D,36,18.95,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,-
383,Dale Weise,"CHI, MTL",R,71,12.333333333333,0,0,0,0,0,-,2,0.00,0.27,2,2,2,2,1,0,0,0,0,0,0,3,0,1,0,0,2,1,1,50.00
384,TJ Brodie,CGY,D,70,169.76666666667,0,2,0,2,2,40.00,4,0.00,0.19,5,4,1,1,0,0,0,0,0,0,0,0,12,10,0,3,13,0,0,-
385,Gustav Nyquist,DET,R,82,0.46666666666667,0,0,0,0,0,-,1,0.00,0.04,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
386,Derek Grant,CGY,C,15,13.75,0,0,0,0,0,-,0,-,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,50.00
387,Matt Calvert,CBJ,L,73,139.23333333333,0,0,0,0,0,0.00,6,0.00,0.89,14,8,10,5,2,0,2,1,1,0,0,2,0,10,10,4,7,0,0,-
388,Greg Pateryn,MTL,D,38,47.866666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,4,3,11,0,0,-
389,Mark Borowiecki,OTT,D,63,139.51666666667,0,0,0,0,0,0.00,0,-,0,1,0,0,0,1,0,25,7,5,1,1,8,4,2,24,2,32,0,0,-
