id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
1,Roberto Luongo,FLA,43,1906.0166666667,994,901,93,0.906,2.93,-12.89,76.55,263,207,56,0.787,1.76,-10.65,241,215,26,0.892,0.82,-4.53,419,409,10,0.976,0.31,1.73,58,106,37.84,20.38
2,Craig Anderson,OTT,50,2275.2,1350,1225,125,0.907,3.30,-16.20,99.72,351,286,65,0.815,1.71,-4.47,321,280,41,0.872,1.08,-12.40,635,617,18,0.972,0.47,-0.23,67,182,36.48,23.45
3,Ryan Miller,ANA,20,888.23333333333,448,415,33,0.926,2.23,3.10,35.77,127,108,19,0.850,1.28,2.90,129,120,9,0.930,0.61,2.49,175,170,5,0.971,0.34,-0.10,23,54,34.86,27.73
4,Henrik Lundqvist,NYR,52,2465.7833333333,1309,1207,102,0.922,2.48,3.49,98.36,344,286,58,0.831,1.41,1.32,335,305,30,0.910,0.73,-0.15,553,539,14,0.975,0.34,1.48,73,142,37.69,22.32
5,Peter Budaj,L.A,3,59.733333333333,21,18,3,0.857,3.01,-1.31,1.37,8,7,1,0.875,1.00,0.38,3,2,1,0.667,1.00,-0.73,8,7,1,0.875,1.00,-0.78,1,2,41.24,27.00
6,Mike Smith,CGY,42,1918.0166666667,859,778,81,0.906,2.53,-11.77,66.35,256,209,47,0.816,1.47,-2.86,219,196,23,0.895,0.72,-3.49,312,301,11,0.965,0.34,-2.27,64,92,37.27,21.98
7,Mike McKenna,"OTT, PHI",11,415.26666666667,244,216,28,0.885,4.05,-8.34,15.94,61,46,15,0.754,2.17,-4.48,51,43,8,0.843,1.16,-3.46,116,111,5,0.957,0.72,-1.75,9,22,40.04,24.18
8,Curtis McElhinney,CAR,33,1606.3166666667,782,720,62,0.921,2.32,1.02,67.04,235,192,43,0.817,1.61,-2.48,159,145,14,0.912,0.52,0.17,349,344,5,0.986,0.19,4.77,41,112,36.35,19.26
9,Cam Ward,CHI,33,1544,888,816,72,0.919,2.80,-0.44,73.18,294,249,45,0.847,1.75,5.70,229,208,21,0.908,0.82,-0.60,339,333,6,0.982,0.23,3.49,56,97,32.11,19.89
10,Marc-Andre Fleury,VGK,61,2940.8333333333,1378,1264,114,0.917,2.33,-2.95,108.58,372,298,74,0.801,1.51,-9.85,370,349,21,0.943,0.43,11.97,553,534,19,0.966,0.39,-3.52,66,172,36.33,19.84
