id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
43,Magnus Hellberg,DET,1,4,1,1,0,1.000,0.00,0.08,0.11,1,1,0,1.000,0.00,0.21,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,0,20.00,-
44,John Gibson,ANA,56,238.61666666667,41,40,1,0.976,0.25,2.40,3.04,10,9,1,0.900,0.25,1.07,10,10,0,1.000,0.00,0.92,5,5,0,1.000,0.00,0.13,6,0,73.37,21.00
45,Maxime Lagace,T.B,2,9.1833333333333,1,1,0,1.000,0.00,0.08,0.24,1,1,0,1.000,0.00,0.21,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,9.00,-
46,Malcolm Subban,BUF,4,16.833333333333,5,4,1,0.800,3.56,-0.58,0.61,2,1,1,0.500,3.56,-0.59,1,1,0,1.000,0.00,0.09,1,1,0,1.000,0.00,0.03,0,1,37.60,13.00
47,Andrei Vasilevskiy,T.B,63,310.91666666667,55,53,2,0.964,0.39,2.57,5.21,19,17,2,0.895,0.39,1.92,16,16,0,1.000,0.00,1.47,8,8,0,1.000,0.00,0.21,5,2,53.69,18.00
48,Matt Murray,OTT,20,91.883333333333,18,16,2,0.889,1.31,-0.51,1.98,8,7,1,0.875,0.65,0.65,4,3,1,0.750,0.65,-0.63,3,3,0,1.000,0.00,0.08,4,1,48.72,17.00
49,Jon Gillies,"N.J, STL",20,75.9,21,18,3,0.857,2.37,-1.26,1.98,6,4,2,0.667,1.58,-0.76,7,6,1,0.857,0.79,-0.36,5,5,0,1.000,0.00,0.13,2,1,38.48,18.33
50,Chris Driedger,SEA,27,96.466666666667,21,19,2,0.905,1.24,-0.26,1.21,4,3,1,0.750,0.62,-0.17,4,3,1,0.750,0.62,-0.63,4,4,0,1.000,0.00,0.11,3,0,75.19,20.00
51,Joonas Korpisalo,CBJ,22,95.616666666667,21,20,1,0.952,0.63,0.74,2.11,7,6,1,0.857,0.63,0.45,4,4,0,1.000,0.00,0.37,2,2,0,1.000,0.00,0.05,7,0,65.00,10.00
52,Anthony Stolarz,ANA,28,105.85,25,23,2,0.920,1.13,0.08,2.12,7,5,2,0.714,1.13,-0.55,7,7,0,1.000,0.00,0.64,4,4,0,1.000,0.00,0.11,8,1,54.32,11.50
53,Connor Hellebuyck,WPG,66,330.28333333333,67,62,5,0.925,0.91,0.56,5.89,16,12,4,0.750,0.73,-0.69,21,20,1,0.952,0.18,0.93,7,7,0,1.000,0.00,0.18,16,3,68.85,12.20
54,Linus Ullmark,BOS,41,189.08333333333,43,42,1,0.977,0.32,2.57,3.43,11,11,0,1.000,0.00,2.27,11,10,1,0.909,0.32,0.01,5,5,0,1.000,0.00,0.13,7,0,64.09,27.00
55,Aaron Dell,BUF,12,54.833333333333,13,12,1,0.923,1.09,0.08,0.66,2,1,1,0.500,1.09,-0.59,1,1,0,1.000,0.00,0.09,4,4,0,1.000,0.00,0.11,2,0,73.08,9.00
56,Andrew Hammond,"MTL, N.J",11,46.916666666667,10,7,3,0.700,3.84,-2.17,1.29,6,4,2,0.667,2.56,-0.76,1,1,0,1.000,0.00,0.09,1,1,0,1.000,0.00,0.03,3,1,38.90,29.33
57,Antti Raanta,CAR,28,106.33333333333,15,13,2,0.867,1.13,-0.75,1.06,4,2,2,0.500,1.13,-1.17,1,1,0,1.000,0.00,0.09,2,2,0,1.000,0.00,0.05,8,0,96.60,29.00
58,Cal Petersen,L.A,37,175.7,37,33,4,0.892,1.37,-0.93,2.81,11,9,2,0.818,0.68,0.27,7,5,2,0.714,0.68,-1.36,6,6,0,1.000,0.00,0.16,4,2,67.81,18.75
59,Juuse Saros,NSH,67,316.75,59,55,4,0.932,0.76,0.90,5.36,17,16,1,0.941,0.19,2.51,20,18,2,0.900,0.38,-0.16,7,6,1,0.857,0.19,-0.82,10,4,52.75,20.75
60,Zach Fucale,WSH,4,17.533333333333,1,1,0,1.000,0.00,0.08,0.06,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,141.00,-
61,Tristan Jarry,PIT,58,271.16666666667,61,56,5,0.918,1.11,0.06,6.16,23,20,3,0.870,0.66,1.75,17,15,2,0.882,0.44,-0.43,12,12,0,1.000,0.00,0.32,12,0,45.66,14.60
62,Eric Comrie,WPG,19,53.133333333333,11,9,2,0.818,2.26,-1.09,1.39,5,3,2,0.600,2.26,-0.97,0,0,0,-,0.00,0.00,2,2,0,1.000,0.00,0.05,2,1,54.73,8.50
63,Spencer Martin,VAN,6,18.35,3,3,0,1.000,0.00,0.25,0.14,0,0,0,-,0.00,0.00,2,2,0,1.000,0.00,0.18,0,0,0,-,0.00,0.00,0,0,85.33,-
64,Pheonix Copley,WSH,2,10.533333333333,2,1,1,0.500,5.70,-0.83,0.46,1,0,1,0.000,5.70,-0.79,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.03,0,1,21.00,4.00
65,Thatcher Demko,VAN,64,308.18333333333,61,55,6,0.902,1.17,-0.94,4.86,18,15,3,0.833,0.58,0.72,12,9,3,0.750,0.58,-1.90,9,9,0,1.000,0.00,0.24,10,1,68.48,18.17
66,Alex Nedeljkovic,DET,59,237.61666666667,53,46,7,0.868,1.77,-2.60,3.97,10,7,3,0.700,0.76,-0.93,18,14,4,0.778,1.01,-2.34,7,7,0,1.000,0.00,0.18,9,1,67.13,19.00
67,Vitek Vanecek,WSH,42,195.5,39,36,3,0.923,0.92,0.24,2.89,6,4,2,0.667,0.61,-0.76,13,12,1,0.923,0.31,0.20,7,7,0,1.000,0.00,0.18,10,0,68.13,11.33
68,Jonas Johansson,"COL, FLA",11,44.066666666667,11,11,0,1.000,0.00,0.91,0.59,4,4,0,1.000,0.00,0.83,1,1,0,1.000,0.00,0.09,3,3,0,1.000,0.00,0.08,1,0,61.45,-
69,Elvis Merzlikins,CBJ,59,238.11666666667,39,35,4,0.897,1.01,-0.76,4.77,12,10,2,0.833,0.50,0.48,7,5,2,0.714,0.50,-1.36,12,12,0,1.000,0.00,0.32,7,2,51.95,15.50
70,Ilya Sorokin,NYI,52,202.75,39,35,4,0.897,1.18,-0.76,2.85,10,7,3,0.700,0.89,-0.93,11,10,1,0.909,0.30,0.01,6,6,0,1.000,0.00,0.16,6,1,62.44,17.00
71,Ville Husso,STL,40,187.4,36,35,1,0.972,0.32,1.99,2.72,8,8,0,1.000,0.00,1.65,13,13,0,1.000,0.00,1.20,8,7,1,0.875,0.32,-0.79,5,1,50.47,43.00
72,Kaapo Kahkonen,"MIN, S.J",36,148.08333333333,32,30,2,0.938,0.81,0.66,2.25,7,6,1,0.857,0.41,0.45,9,8,1,0.889,0.41,-0.17,5,5,0,1.000,0.00,0.13,3,0,68.97,19.00
73,Igor Shesterkin,NYR,53,215.41666666667,39,39,0,1.000,0.00,3.24,3.08,6,6,0,1.000,0.00,1.24,12,12,0,1.000,0.00,1.10,12,12,0,1.000,0.00,0.32,9,1,54.95,-
74,Mackenzie Blackwood,N.J,25,92.3,16,12,4,0.750,2.60,-2.67,2.15,5,3,2,0.600,1.30,-0.97,6,4,2,0.667,1.30,-1.45,3,3,0,1.000,0.00,0.08,1,1,41.19,18.50
75,Felix Sandstrom,PHI,5,22.75,7,6,1,0.857,2.64,-0.42,0.59,3,2,1,0.667,2.64,-0.38,3,3,0,1.000,0.00,0.28,1,1,0,1.000,0.00,0.03,1,0,29.14,19.00
76,Dan Vladar,CGY,23,90.616666666667,15,13,2,0.867,1.32,-0.75,1.24,6,4,2,0.667,1.32,-0.76,3,3,0,1.000,0.00,0.28,1,1,0,1.000,0.00,0.03,4,0,60.47,16.50
77,Sam Montembeault,MTL,38,164.36666666667,32,25,7,0.781,2.56,-4.34,3.04,12,6,6,0.500,2.19,-3.52,6,6,0,1.000,0.00,0.55,6,5,1,0.833,0.37,-0.84,5,3,58.91,20.43
78,Ilya Samsonov,WSH,44,179.18333333333,40,36,4,0.900,1.34,-0.68,2.86,6,3,3,0.500,1.00,-1.76,9,8,1,0.889,0.33,-0.17,8,8,0,1.000,0.00,0.21,7,1,80.38,19.00
79,Adin Hill,S.J,25,105.36666666667,24,20,4,0.833,2.28,-2.01,1.15,5,2,3,0.400,1.71,-1.97,5,4,1,0.800,0.57,-0.54,5,5,0,1.000,0.00,0.13,3,0,75.50,18.25
80,Karel Vejmelka,ARI,52,181.2,40,37,3,0.925,0.99,0.32,2.64,6,5,1,0.833,0.33,0.24,11,9,2,0.818,0.66,-0.99,7,7,0,1.000,0.00,0.18,11,0,77.33,17.67
81,Erik Kallgren,TOR,14,63.966666666667,17,16,1,0.941,0.94,0.41,1.3,5,5,0,1.000,0.00,1.03,2,2,0,1.000,0.00,0.18,6,5,1,0.833,0.94,-0.84,3,2,59.18,65.00
82,Adam Huska,NYR,1,7.75,2,2,0,1.000,0.00,0.17,0.13,0,0,0,-,0.00,0.00,2,2,0,1.000,0.00,0.18,0,0,0,-,0.00,0.00,0,0,30.50,-
83,Joey Daccord,SEA,5,28.616666666667,6,5,1,0.833,2.10,-0.50,0.53,2,2,0,1.000,0.00,0.41,1,0,1,0.000,2.10,-0.91,3,3,0,1.000,0.00,0.08,2,0,27.00,19.00
84,Connor Ingram,NSH,3,19.316666666667,4,4,0,1.000,0.00,0.33,0.23,1,1,0,1.000,0.00,0.21,2,2,0,1.000,0.00,0.18,1,1,0,1.000,0.00,0.03,0,0,35.00,-
85,Casey DeSmith,PIT,26,99.166666666667,25,23,2,0.920,1.21,0.08,2.04,8,7,1,0.875,0.61,0.65,4,3,1,0.750,0.61,-0.63,5,5,0,1.000,0.00,0.13,5,1,60.68,19.50
86,Charlie Lindgren,STL,5,21.15,3,3,0,1.000,0.00,0.25,0.03,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.09,0,0,0,-,0.00,0.00,1,0,116.00,-
87,Alex Lyon,CAR,2,9.2,2,2,0,1.000,0.00,0.17,0.41,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.09,0,0,0,-,0.00,0.00,2,0,92.00,-
88,Zach Sawchenko,S.J,7,29.55,13,12,1,0.923,2.03,0.08,0.84,4,4,0,1.000,0.00,0.83,2,1,1,0.500,2.03,-0.82,4,4,0,1.000,0.00,0.11,3,0,53.31,25.00
89,Joseph Woll,TOR,4,19.1,3,3,0,1.000,0.00,0.25,0.2,1,1,0,1.000,0.00,0.21,1,1,0,1.000,0.00,0.09,0,0,0,-,0.00,0.00,2,0,81.00,-
90,Carter Hart,PHI,45,212.95,37,33,4,0.892,1.13,-0.93,2.96,8,8,0,1.000,0.00,1.65,9,6,3,0.667,0.85,-2.17,6,5,1,0.833,0.28,-0.84,5,3,75.49,26.50
91,Filip Gustavsson,OTT,18,76.533333333333,16,15,1,0.938,0.78,0.33,1.49,4,3,1,0.750,0.78,-0.17,3,3,0,1.000,0.00,0.28,2,2,0,1.000,0.00,0.05,3,1,71.19,20.00
92,David Rittich,NSH,17,60.033333333333,10,9,1,0.900,1.00,-0.17,1.11,2,1,1,0.500,1.00,-0.59,2,2,0,1.000,0.00,0.18,4,4,0,1.000,0.00,0.11,3,0,57.80,7.00
93,Jack LaFontaine,CAR,2,4.1333333333333,1,1,0,1.000,0.00,0.08,0.07,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.03,0,0,35.00,-
94,Stuart Skinner,EDM,13,53.416666666667,7,6,1,0.857,1.12,-0.42,1.12,4,3,1,0.750,1.12,-0.17,2,2,0,1.000,0.00,0.18,0,0,0,-,0.00,0.00,2,1,33.57,18.00
95,Jake Oettinger,DAL,48,203.38333333333,46,43,3,0.935,0.89,0.82,3.88,9,8,1,0.889,0.30,0.86,14,12,2,0.857,0.59,-0.71,9,9,0,1.000,0.00,0.24,7,3,63.35,22.67
96,Michael Dipietro,VAN,1,4,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
97,Ukko-Pekka Luukkonen,BUF,9,27.766666666667,3,3,0,1.000,0.00,0.25,0.21,1,1,0,1.000,0.00,0.21,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,90.00,-
98,Cayden Primeau,MTL,12,36.133333333333,10,10,0,1.000,0.00,0.83,0.92,4,4,0,1.000,0.00,0.83,1,1,0,1.000,0.00,0.09,2,2,0,1.000,0.00,0.05,1,2,61.40,-
99,Daniil Tarasov,CBJ,4,6.6166666666667,6,6,0,1.000,0.00,0.50,0.21,1,1,0,1.000,0.00,0.21,1,1,0,1.000,0.00,0.09,1,1,0,1.000,0.00,0.03,0,1,89.50,-
100,Jeremy Swayman,BOS,41,167.61666666667,46,42,4,0.913,1.43,-0.18,3.82,14,10,4,0.714,1.43,-1.11,6,6,0,1.000,0.00,0.55,8,8,0,1.000,0.00,0.21,7,4,69.61,10.25
101,Logan Thompson,VGK,19,73.233333333333,15,13,2,0.867,1.64,-0.75,1.14,6,5,1,0.833,0.82,0.24,3,3,0,1.000,0.00,0.28,3,2,1,0.667,0.82,-0.92,3,0,41.73,9.00
102,Josef Korenar,ARI,2,8,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
103,Alexandar Georgiev,NYR,33,105.55,15,14,1,0.933,0.57,0.25,1.24,5,4,1,0.800,0.57,0.03,4,4,0,1.000,0.00,0.37,0,0,0,-,0.00,0.00,2,2,71.87,5.00
104,Collin Delia,CHI,8,31.15,5,4,1,0.800,1.93,-0.58,0.36,1,0,1,0.000,1.93,-0.79,3,3,0,1.000,0.00,0.28,0,0,0,-,0.00,0.00,0,0,55.00,8.00
105,Thomas Hodges,ANA,1,1.9,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
106,Lukas Dostal,ANA,4,13.066666666667,3,3,0,1.000,0.00,0.25,0.05,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.09,0,0,0,-,0.00,0.00,0,0,118.33,-
107,Pavel Francouz,COL,21,98.183333333333,13,11,2,0.846,1.22,-0.92,0.77,2,1,1,0.500,0.61,-0.59,4,3,1,0.750,0.61,-0.63,0,0,0,-,0.00,0.00,5,0,101.69,16.50
108,Kevin Lankinen,CHI,32,150.31666666667,28,26,2,0.929,0.80,0.32,2.04,4,4,0,1.000,0.00,0.83,8,6,2,0.750,0.80,-1.26,6,6,0,1.000,0.00,0.16,5,1,76.61,41.50
109,Joel Hofer,STL,2,14.9,3,2,1,0.667,4.03,-0.75,0.34,1,0,1,0.000,4.03,-0.79,1,1,0,1.000,0.00,0.09,1,1,0,1.000,0.00,0.03,1,0,28.00,29.00
110,Justus Annunen,COL,2,9.4833333333333,1,0,1,0.000,6.33,-0.92,0.24,1,0,1,0.000,6.33,-0.79,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,0,9.00,9.00
111,Ivan Prosvetov,ARI,3,10.95,3,2,1,0.667,5.48,-0.75,0.18,0,0,0,-,0.00,0.00,1,0,1,0.000,5.48,-0.91,1,1,0,1.000,0.00,0.03,0,0,65.33,26.00
112,Akira Schmid,N.J,6,16.283333333333,5,3,2,0.600,7.37,-1.58,0.78,4,2,2,0.500,7.37,-1.17,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.03,1,2,19.80,14.00
113,Spencer Knight,FLA,32,145.05,21,18,3,0.857,1.24,-1.26,1.58,5,3,2,0.600,0.83,-0.97,4,3,1,0.750,0.41,-0.63,4,4,0,1.000,0.00,0.11,2,0,71.33,17.67
114,Mads Sogaard,OTT,2,7.0333333333333,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
115,Hugo Alnefelt,T.B,1,5.1,2,1,1,0.500,11.76,-0.83,0.22,2,1,1,0.500,11.76,-0.59,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,1,19.50,17.00
116,Pyotr Kochetkov,CAR,3,8,2,2,0,1.000,0.00,0.17,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,0,162.00,-
117,Nico Daws,N.J,25,101.75,15,13,2,0.867,1.18,-0.75,1.07,3,2,1,0.667,0.59,-0.38,5,4,1,0.800,0.59,-0.54,1,1,0,1.000,0.00,0.03,2,0,81.87,18.00
118,Arvid Soderblom,CHI,3,13.516666666667,4,3,1,0.750,4.44,-0.67,0.34,1,0,1,0.000,4.44,-0.79,1,1,0,1.000,0.00,0.09,2,2,0,1.000,0.00,0.05,0,0,22.50,13.00
