id,team_name,gp,toi,w,l,otl,row,points,point_pcg,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,gf,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,scsf,scsa,scsf_pcg,scgf,scga,scgf_pcg,scsh_pcg,scsv_pcg,hdcf,hdca,hdcf_pcg,hdsf,hdsa,hdsf_pcg,hdgf,hdga,hdgf_pcg,hdsh_pcg,hdsv_pcg,mdcf,mdca,mdcf_pcg,mdsf,mdsa,mdsf_pcg,mdgf,mdga,mdgf_pcg,mdsh_pcg,mdsv_pcg,ldcf,ldca,ldcf_pcg,ldsf,ldsa,ldsf_pcg,ldgf,ldga,ldgf_pcg,ldsh_pcg,ldsv_pcg,sh_pcg,sv_pcg,pdo
1,Tampa Bay Lightning,82,402.3333,51,23,8,49,110,0.671,93,612,13.19,78,456,14.61,64,334,16.08,7,45,13.46,7.1,41.15,14.71,54,352,13.30,37,202,15.48,6,37,13.95,16.22,81.68,28,138,16.87,24,98,19.67,5,23,17.86,20.83,76.53,26,214,10.83,13,104,11.11,1,14,6.67,7.69,86.54,20,248,7.46,10,132,7.04,1,8,11.11,10.00,93.94,10.94,86.53,0.975
2,Pittsburgh Penguins,82,333.25,46,25,11,43,103,0.628,81,529,13.28,73,409,15.15,63,285,18.10,3,29,9.38,4.36,36.44,10.68,35,253,12.15,25,139,15.24,3,21,12.50,12.00,84.89,18,90,16.67,14,61,18.67,1,14,6.67,7.14,77.05,17,163,9.44,11,78,12.36,2,7,22.22,18.18,91.03,18,272,6.21,10,145,6.45,0,8,0.00,0.00,94.48,4.76,89.82,0.946
3,Seattle Kraken,82,340.4667,27,49,6,24,60,0.366,82,580,12.39,72,450,13.79,62,324,16.06,8,51,13.56,6.01,42.36,12.43,48,331,12.66,39,189,17.11,7,40,14.89,17.95,78.84,23,122,15.86,23,83,21.70,5,25,16.67,21.74,69.88,25,209,10.68,16,106,13.11,2,15,11.76,12.50,85.85,16,243,6.18,7,135,4.93,1,11,8.33,14.29,91.85,12.90,84.26,0.972
4,Vegas Golden Knights,82,327.7167,43,31,8,39,94,0.573,78,571,12.02,75,411,15.43,64,294,17.88,9,46,16.36,5.91,41.16,12.55,41,340,10.76,34,170,16.67,9,34,20.93,26.47,80.00,24,144,14.29,19,107,15.08,7,27,20.59,36.84,74.77,17,196,7.98,15,63,19.23,2,7,22.22,13.33,88.89,16,214,6.96,10,122,7.58,0,12,0.00,0.00,90.16,14.06,84.35,0.984
5,Montreal Canadiens,82,410.8,22,49,11,19,55,0.335,122,751,13.97,108,572,15.88,91,420,17.81,5,67,6.94,6.83,53.64,11.30,54,402,11.84,43,252,14.58,5,51,8.93,11.63,79.76,21,160,11.60,18,122,12.86,3,21,12.50,16.67,82.79,33,242,12.00,25,130,16.13,2,30,6.25,8.00,76.92,30,333,8.26,15,165,8.33,0,15,0.00,0.00,90.91,5.49,84.05,0.895
6,Toronto Maple Leafs,82,369.2167,54,21,7,51,115,0.701,137,473,22.46,125,386,24.46,97,293,24.87,12,41,22.64,9.4,35.46,20.96,76,252,23.17,54,167,24.43,12,35,25.53,22.22,79.04,35,105,25.00,26,77,25.24,9,17,34.62,34.62,77.92,41,147,21.81,28,90,23.73,3,18,14.29,10.71,80.00,34,213,13.77,20,124,13.89,0,6,0.00,0.00,95.16,12.37,86.01,0.984
7,New York Rangers,82,370.0333,52,24,6,48,110,0.671,99,616,13.85,86,470,15.47,66,345,16.06,7,38,15.56,6.37,43.77,12.70,53,340,13.49,36,206,14.88,6,27,18.18,16.67,86.89,29,138,17.37,23,106,17.83,5,16,23.81,21.74,84.91,24,202,10.62,13,100,11.50,1,11,8.33,7.69,89.00,30,266,10.14,16,134,10.67,1,11,8.33,6.25,91.79,10.61,88.99,0.996
8,Washington Capitals,82,355.6,44,26,12,39,100,0.610,88,511,14.69,72,387,15.69,57,276,17.12,7,38,15.56,5.44,37.4,12.71,46,279,14.15,30,169,15.08,6,32,15.79,20.00,81.07,22,130,14.47,16,86,15.69,3,21,12.50,18.75,75.58,24,149,13.87,14,83,14.43,3,11,21.43,21.43,86.75,24,218,9.92,12,107,10.08,1,6,14.29,8.33,94.39,12.28,86.23,0.985
9,Chicago Blackhawks,82,351.0333,28,42,12,22,68,0.415,75,633,10.59,70,463,13.13,60,342,14.93,2,48,4.00,5.04,42.33,10.65,41,321,11.33,31,195,13.72,2,32,5.88,6.45,83.59,21,115,15.44,18,86,17.31,2,17,10.53,11.11,80.23,20,206,8.85,13,109,10.66,0,15,0.00,0.00,86.24,12,305,3.79,8,146,5.19,0,16,0.00,0.00,89.04,3.33,85.96,0.893
10,Colorado Avalanche,82,367.6,56,19,7,52,119,0.726,94,594,13.66,84,463,15.36,78,331,19.07,6,42,12.50,4.99,44.86,10.00,48,315,13.22,40,191,17.32,6,33,15.38,15.00,82.72,22,161,12.02,20,113,15.04,2,24,7.69,10.00,78.76,26,154,14.44,20,78,20.41,4,9,30.77,20.00,88.46,14,261,5.09,11,137,7.43,0,8,0.00,0.00,94.16,7.69,87.31,0.950
11,Vancouver Canucks,82,361.6,40,30,12,37,92,0.561,85,620,12.06,73,476,13.30,59,339,14.82,3,51,5.56,4.83,46.94,9.32,39,347,10.10,27,214,11.20,3,43,6.52,11.11,79.91,16,130,10.96,13,98,11.71,2,25,7.41,15.38,74.49,23,217,9.58,14,116,10.77,1,18,5.26,7.14,84.48,12,261,4.40,6,123,4.65,0,8,0.00,0.00,93.50,5.08,84.96,0.900
12,Edmonton Oilers,82,400.8833,49,27,6,44,104,0.634,127,669,15.95,116,536,17.79,100,391,20.37,11,51,17.74,7.32,51.67,12.40,57,385,12.90,44,236,15.71,9,39,18.75,20.45,83.47,29,151,16.11,26,107,19.55,5,26,16.13,19.23,75.70,28,234,10.69,18,129,12.24,4,13,23.53,22.22,89.92,28,282,9.03,18,155,10.40,2,12,14.29,11.11,92.26,11.00,86.96,0.980
