id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
1,Craig Anderson,WSH,4,12.416666666667,3,3,0,1.000,0.00,0.23,0.19,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,2,2,0,1.000,0.00,0.07,1,0,59.00,-
2,Ryan Miller,ANA,16,50.866666666667,12,11,1,0.917,1.18,-0.10,1.02,3,3,0,1.000,0.00,0.57,3,2,1,0.667,1.18,-0.72,0,0,0,-,0.00,0.00,3,1,76.67,23.00
3,Mike Smith,EDM,32,135.28333333333,25,24,1,0.960,0.44,0.88,1.47,3,3,0,1.000,0.00,0.57,11,10,1,0.909,0.44,0.04,2,2,0,1.000,0.00,0.07,3,0,80.80,30.00
4,Curtis McElhinney,T.B,12,71.633333333333,14,13,1,0.929,0.84,0.05,0.94,5,5,0,1.000,0.00,0.95,4,3,1,0.750,0.84,-0.62,1,1,0,1.000,0.00,0.04,1,1,48.36,21.00
5,Marc-Andre Fleury,VGK,36,171.21666666667,23,23,0,1.000,0.00,1.73,1.81,5,5,0,1.000,0.00,0.95,6,6,0,1.000,0.00,0.57,4,4,0,1.000,0.00,0.14,6,2,72.57,-
6,Jaroslav Halak,BOS,19,86.4,19,16,3,0.842,2.08,-1.57,1.24,7,5,2,0.714,1.39,-0.67,0,0,0,-,0.00,0.00,5,4,1,0.800,0.69,-0.82,2,1,72.21,25.00
7,Brian Elliott,PHI,30,127,17,15,2,0.882,0.94,-0.72,1.25,5,5,0,1.000,0.00,0.95,3,2,1,0.667,0.47,-0.72,3,2,1,0.667,0.47,-0.89,3,0,67.76,29.50
8,Devan Dubnyk,"COL, S.J",22,84.283333333333,15,13,2,0.867,1.42,-0.87,0.95,3,1,2,0.333,1.42,-1.43,2,2,0,1.000,0.00,0.19,3,3,0,1.000,0.00,0.11,5,1,90.80,12.00
9,Thomas Greiss,DET,34,128.18333333333,26,26,0,1.000,0.00,1.95,1.55,7,7,0,1.000,0.00,1.33,6,6,0,1.000,0.00,0.57,5,5,0,1.000,0.00,0.18,1,0,63.54,-
10,Anton Khudobin,DAL,32,144.31666666667,25,22,3,0.880,1.25,-1.12,1.36,3,2,1,0.667,0.42,-0.43,3,2,1,0.667,0.42,-0.72,7,6,1,0.857,0.42,-0.75,4,1,88.60,27.33
11,Pekka Rinne,NSH,24,106.63333333333,17,16,1,0.941,0.56,0.28,1.53,4,3,1,0.750,0.56,-0.24,4,4,0,1.000,0.00,0.38,5,5,0,1.000,0.00,0.18,4,0,59.47,7.00
12,Carey Price,MTL,25,97.8,15,14,1,0.933,0.61,0.13,0.65,3,2,1,0.667,0.61,-0.43,2,2,0,1.000,0.00,0.19,1,1,0,1.000,0.00,0.04,1,1,89.93,15.00
13,Tuukka Rask,BOS,24,101.6,22,21,1,0.955,0.59,0.65,2.25,11,10,1,0.909,0.59,1.09,0,0,0,-,0.00,0.00,4,4,0,1.000,0.00,0.14,8,1,66.00,11.00
14,Jonathan Quick,L.A,22,111.9,26,26,0,1.000,0.00,1.95,1.11,3,3,0,1.000,0.00,0.57,6,6,0,1.000,0.00,0.57,3,3,0,1.000,0.00,0.11,5,0,93.00,-
15,James Reimer,CAR,22,103.2,11,11,0,1.000,0.00,0.83,0.8,3,3,0,1.000,0.00,0.57,3,3,0,1.000,0.00,0.28,1,1,0,1.000,0.00,0.04,0,0,77.55,-
16,Jonathan Bernier,DET,24,104.2,26,24,2,0.923,1.15,-0.05,2.36,9,9,0,1.000,0.00,1.71,8,6,2,0.750,1.15,-1.24,4,4,0,1.000,0.00,0.14,3,2,44.12,30.00
17,Semyon Varlamov,NYI,36,133.06666666667,20,20,0,1.000,0.00,1.50,1.29,4,4,0,1.000,0.00,0.76,3,3,0,1.000,0.00,0.28,8,8,0,1.000,0.00,0.28,3,1,60.85,-
18,Jacob Markstrom,CGY,43,218.91666666667,43,39,4,0.907,1.10,-0.77,3.02,9,7,2,0.778,0.55,-0.29,13,11,2,0.846,0.55,-0.77,7,7,0,1.000,0.00,0.25,10,1,66.98,19.50
19,Jake Allen,MTL,29,133.43333333333,16,15,1,0.938,0.45,0.20,0.82,4,3,1,0.750,0.45,-0.24,3,3,0,1.000,0.00,0.28,2,2,0,1.000,0.00,0.07,1,0,75.56,17.00
20,Michael Hutchinson,TOR,8,34.05,5,5,0,1.000,0.00,0.38,0.53,2,2,0,1.000,0.00,0.38,2,2,0,1.000,0.00,0.19,0,0,0,-,0.00,0.00,2,0,55.20,-
21,Braden Holtby,VAN,21,94.7,16,14,2,0.875,1.27,-0.80,1.67,5,3,2,0.600,1.27,-1.05,7,7,0,1.000,0.00,0.66,1,1,0,1.000,0.00,0.04,3,1,46.06,16.50
22,Dustin Tokarski,BUF,13,59.933333333333,17,16,1,0.941,1.00,0.28,1.22,5,4,1,0.800,1.00,-0.05,0,0,0,-,0.00,0.00,4,4,0,1.000,0.00,0.14,1,0,87.12,14.00
23,Martin Jones,S.J,34,146.25,32,29,3,0.906,1.23,-0.60,2.39,9,6,3,0.667,1.23,-1.29,6,6,0,1.000,0.00,0.57,6,6,0,1.000,0.00,0.21,7,1,66.84,7.33
24,Mikko Koskinen,EDM,26,119.41666666667,18,15,3,0.833,1.51,-1.65,1.44,6,4,2,0.667,1.00,-0.86,5,4,1,0.800,0.50,-0.53,0,0,0,-,0.00,0.00,4,1,62.00,14.33
25,Robin Lehner,VGK,19,94.916666666667,19,17,2,0.895,1.26,-0.57,1.27,1,1,0,1.000,0.00,0.19,3,3,0,1.000,0.00,0.28,7,5,2,0.714,1.26,-1.75,3,0,78.68,33.00
26,Darcy Kuemper,ARI,27,142.63333333333,22,21,1,0.955,0.42,0.65,1.85,8,7,1,0.875,0.42,0.52,1,1,0,1.000,0.00,0.09,4,4,0,1.000,0.00,0.14,3,1,67.82,13.00
27,Carter Hutton,BUF,13,43.85,6,6,0,1.000,0.00,0.45,0.51,3,3,0,1.000,0.00,0.57,1,1,0,1.000,0.00,0.09,1,1,0,1.000,0.00,0.04,0,0,37.00,-
28,Cam Talbot,MIN,33,164.08333333333,25,23,2,0.920,0.73,-0.12,1.55,5,4,1,0.800,0.37,-0.05,4,3,1,0.750,0.37,-0.62,4,4,0,1.000,0.00,0.14,5,1,85.56,15.00
29,Sergei Bobrovsky,FLA,31,174.13333333333,42,40,2,0.952,0.69,1.16,2.47,11,10,1,0.909,0.34,1.09,8,8,0,1.000,0.00,0.76,10,9,1,0.900,0.34,-0.65,2,1,64.07,27.50
30,Calvin Pickard,DET,6,23.866666666667,4,3,1,0.750,2.51,-0.70,0.34,2,1,1,0.500,2.51,-0.62,2,2,0,1.000,0.00,0.19,0,0,0,-,0.00,0.00,0,1,23.25,32.00
31,Jack Campbell,TOR,22,95.366666666667,21,18,3,0.857,1.89,-1.42,1.69,6,3,3,0.500,1.89,-1.86,7,7,0,1.000,0.00,0.66,3,3,0,1.000,0.00,0.11,3,1,53.67,14.33
32,Scott Wedgewood,N.J,16,60,8,7,1,0.875,1.00,-0.40,0.33,0,0,0,-,0.00,0.00,4,3,1,0.750,1.00,-0.62,0,0,0,-,0.00,0.00,2,0,79.63,32.00
33,Philipp Grubauer,COL,40,227.7,33,32,1,0.970,0.26,1.48,1.94,7,7,0,1.000,0.00,1.33,6,5,1,0.833,0.26,-0.43,5,5,0,1.000,0.00,0.18,4,1,86.73,23.00
34,Louis Domingue,CGY,1,4.2,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
35,Petr Mrazek,CAR,12,48.333333333333,9,5,4,0.556,4.97,-3.32,1.33,6,2,4,0.333,4.97,-2.86,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.04,5,0,43.00,13.50
36,Frederik Andersen,TOR,24,99.35,23,20,3,0.870,1.81,-1.27,1.79,7,4,3,0.571,1.81,-1.67,7,7,0,1.000,0.00,0.66,2,2,0,1.000,0.00,0.07,2,2,57.83,10.33
37,Michael Houser,BUF,4,13.316666666667,2,1,1,0.500,4.51,-0.85,0.17,1,1,0,1.000,0.00,0.19,1,0,1,0.000,4.51,-0.91,0,0,0,-,0.00,0.00,0,0,22.50,29.00
38,Keith Kinkaid,NYR,9,42.583333333333,7,6,1,0.857,1.41,-0.47,0.29,1,0,1,0.000,1.41,-0.81,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.04,0,0,126.43,8.00
39,Laurent Brossoit,WPG,14,63.016666666667,12,10,2,0.833,1.90,-1.10,0.75,2,1,1,0.500,0.95,-0.62,3,2,1,0.667,0.95,-0.72,2,2,0,1.000,0.00,0.07,2,0,67.33,26.50
40,Anton Forsberg,OTT,8,27.683333333333,4,4,0,1.000,0.00,0.30,0.13,1,1,0,1.000,0.00,0.19,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.04,1,0,93.75,-
41,Jordan Binnington,STL,42,170.65,12,12,0,1.000,0.00,0.90,1.38,2,2,0,1.000,0.00,0.38,3,3,0,1.000,0.00,0.28,2,2,0,1.000,0.00,0.07,1,2,71.58,-
42,John Gibson,ANA,35,130.46666666667,16,14,2,0.875,0.92,-0.80,1.5,4,3,1,0.750,0.46,-0.24,5,4,1,0.800,0.46,-0.53,1,1,0,1.000,0.00,0.04,2,1,73.00,26.00
43,Christopher Gibson,T.B,2,6.1,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
44,Maxime Lagace,PIT,1,4,1,1,0,1.000,0.00,0.08,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,179.00,-
45,Oscar Dansk,VGK,1,8,2,2,0,1.000,0.00,0.15,0.04,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.04,0,0,99.00,-
46,Malcolm Subban,CHI,16,74.616666666667,11,11,0,1.000,0.00,0.83,1.06,5,5,0,1.000,0.00,0.95,1,1,0,1.000,0.00,0.09,2,2,0,1.000,0.00,0.07,1,2,52.73,-
47,Andrei Vasilevskiy,T.B,42,197.65,30,28,2,0.933,0.61,0.25,1.74,8,7,1,0.875,0.30,0.52,9,8,1,0.889,0.30,-0.15,6,6,0,1.000,0.00,0.21,4,1,60.37,15.00
