id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Zdeno Chara,NYI,D,72,1187.8,2,10,6,4,12,24.49,78,2.56,2.7,162,106,27,3,1,10,85,27,20,5,2,11,41,11,119,44,82,0,0,-
2,Joe Thornton,FLA,C,34,330.53333333333,2,5,3,2,7,58.33,20,10.00,2.66,32,26,20,14,1,4,8,4,4,0,0,1,18,17,19,14,10,70,90,43.75
3,Jason Spezza,TOR,C,71,633.31666666667,7,6,4,2,13,61.90,75,9.33,6.37,132,102,63,27,8,8,20,10,10,0,0,5,28,32,31,37,24,241,209,53.56
4,Duncan Keith,EDM,D,64,1065.1333333333,1,16,9,7,17,32.69,70,1.43,3.05,160,101,30,3,5,7,22,11,11,0,0,2,57,28,17,59,98,0,0,-
5,Ryan Suter,DAL,D,82,1546.0166666667,3,15,4,11,18,30.51,87,3.45,3.62,206,141,61,10,3,15,28,14,14,0,0,5,38,15,39,59,71,0,0,-
6,Jeff Carter,PIT,C,76,995.68333333333,11,15,7,8,26,68.42,137,8.03,11.81,220,169,115,60,7,14,26,13,13,0,0,7,23,23,89,64,39,484,359,57.41
7,Dustin Brown,L.A,R,64,783.86666666667,7,15,7,8,22,78.57,115,6.09,8.67,191,153,94,40,15,8,14,7,7,0,0,14,15,13,82,64,19,2,8,20.00
8,Zach Parise,NYI,L,82,947.25,9,14,10,4,23,58.97,102,8.82,11.21,151,133,112,58,2,12,22,11,11,0,0,11,18,25,54,73,46,22,39,36.07
9,Ryan Getzlaf,ANA,C,56,815.08333333333,1,20,11,9,21,75.00,73,1.37,5.66,128,101,63,18,1,6,25,11,10,1,0,8,52,31,81,46,47,390,353,52.49
10,Brent Burns,S.J,D,82,1567.9833333333,6,21,10,11,27,39.71,129,4.65,5.15,307,194,84,8,34,23,36,18,18,0,0,4,73,49,42,51,115,0,0,-
11,Brian Boyle,PIT,C,66,572.55,10,9,4,5,19,82.61,80,12.50,6.96,115,102,67,36,2,7,25,7,4,3,0,8,6,10,92,48,23,138,152,47.59
12,Corey Perry,T.B,R,82,932.71666666667,8,18,14,4,26,70.27,120,6.67,14.78,193,158,145,84,12,11,64,25,22,2,1,30,19,18,73,112,27,2,1,66.67
13,Loui Eriksson,ARI,L,73,819.1,2,15,8,7,17,62.96,71,2.82,6.8,109,92,69,37,2,12,6,3,3,0,0,4,23,17,13,56,17,18,14,56.25
14,Patrice Bergeron,BOS,C,73,891.18333333333,14,19,10,9,33,67.35,198,7.07,14.76,279,240,159,58,10,21,10,5,5,0,0,10,17,29,66,45,31,670,379,63.87
