id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
205,Joonas Donskoi,SEA,R,75,83.216666666667,0,3,2,1,3,37.50,11,0.00,1.62,17,15,16,7,0,0,2,1,1,0,0,0,4,0,0,3,0,0,0,-
206,Jani Hakanpaa,DAL,D,80,3.9166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
207,Sam Carrick,ANA,C,64,9.7666666666667,0,0,0,0,0,-,1,0.00,0.18,3,2,1,0,0,0,9,3,2,1,0,1,0,1,1,1,0,12,2,85.71
208,Brendan Gallagher,MTL,R,56,130.35,5,2,1,1,7,87.50,25,20.00,5.56,38,34,32,24,0,2,8,4,4,0,0,3,1,1,2,4,0,2,8,20.00
209,Jesper Fast,CAR,R,82,23.033333333333,1,1,1,0,2,100.00,2,50.00,0.15,2,2,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,-
210,John Klingberg,DAL,D,74,196.76666666667,0,15,8,7,15,51.72,33,0.00,2.44,81,43,27,1,0,7,2,1,1,0,0,1,11,2,1,3,3,0,0,-
211,Mark Stone,VGK,R,37,93.483333333333,3,2,2,0,5,50.00,12,25.00,3.11,22,16,16,12,0,2,0,0,0,0,0,1,3,3,0,3,0,2,4,33.33
212,Michael Sgarbossa,WSH,C,10,7.4166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-
213,Alex Belzile,MTL,R,11,10.116666666667,0,0,0,0,0,-,1,0.00,0.32,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,-
214,Colin Blackwell,"SEA, TOR",C,58,18.866666666667,0,0,0,0,0,0.00,4,0.00,0.36,5,4,4,1,0,0,10,1,0,0,1,0,1,0,0,3,1,10,3,76.92
215,Ryan Dzingel,"ARI, S.J",C,32,20,0,0,0,0,0,-,3,0.00,0.19,5,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,60.00
216,Ondrej Palat,T.B,L,77,156.41666666667,1,5,1,4,6,35.29,18,5.56,1.86,31,23,19,3,0,1,0,0,0,0,0,0,3,1,0,6,0,0,0,-
217,Josh Manson,"ANA, COL",D,67,2.0333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
218,Max McCormick,SEA,L,10,0.15,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
219,Josh Archibald,EDM,R,8,0.75,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
220,Travis Boyd,ARI,C,74,115.43333333333,2,2,2,0,4,57.14,11,18.18,2.19,17,15,15,10,0,2,6,3,3,0,0,0,2,0,2,10,0,27,35,43.55
221,Dylan DeMelo,WPG,D,76,1.3666666666667,0,0,0,0,0,-,1,0.00,0.05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
222,Gregory Hofmann,CBJ,C,24,13.683333333333,0,0,0,0,0,-,2,0.00,0.14,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0.00
223,Johnny Gaudreau,CGY,L,82,231.78333333333,6,17,7,10,23,63.89,72,8.33,6.46,127,91,49,12,1,11,2,1,1,0,0,1,13,4,3,3,0,0,0,-
224,Nick Seeler,PHI,D,43,3.4666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
