id,player_name,team,position,gp,toi,toi_per_gp,cf_60_rel,ca_60_rel,cf_pcg_rel,ff_60_rel,fa_60_rel,ff_pcg_rel,sf_60_rel,sa_60_rel,sf_pcg_rel,gf_60_rel,ga_60_rel,gf_pcg_rel,xgf_60_rel,xga_60_rel,xgf_pcg_rel,scf_60_rel,sca_60_rel,scf_pcg_rel,hdcf_60_rel,hdca_60_rel,hdcf_pcg_rel,hdgf_60_rel,hdga_60_rel,hdgf_pcg_rel,mdcf_60_rel,mdca_60_rel,mdcf_pcg_rel,mdgf_60_rel,mdga_60_rel,mdgf_pcg_rel,ldcf_60_rel,ldca_60_rel,ldcf_pcg_rel,ldgf_60_rel,ldga_60_rel,ldgf_pcg_rel,on_ice_sh_pcg,on_ice_sv_pcg,pdo,ozs_60,nzs_60,dzs_60,on_the_fly_starts_60,ozs_pcg,ozfo_60,nzfo_60,dzfo_60,ozfo_pcg
1,Jaromir Jagr,FLA,R,82,1127.6,13.751219512195,7.48,-6.46,6.47,7.05,-2.39,5.53,5.98,-1.39,5.83,1.15,-0.32,16.30,0.58,-0.13,8.17,6.67,-0.76,7.77,2.24,-0.88,8.41,0.51,0.16,9.04,5.91,0.17,7.16,0.77,0.14,12.43,3.74,-6.38,6.88,0.09,-0.85,47.73,8.12,92.66,1.008,10.59,15.27,7.98,41.72,57.02,20.22,21.02,16.55,54.99
2,Shane Doan,ARI,R,74,964.91666666667,13.039414414414,2.59,-2.47,2.22,0.52,-0.96,0.83,-1.17,-0.84,-0.43,-0.29,-1.1,8.91,-0.09,-0.14,0.20,0.1,-3.44,3.16,-0.37,-1.94,2.99,-0.03,-0.65,14.95,0.62,-1.99,3.17,-0.25,-0.33,-0.36,3.4,2.36,0.93,-0.11,-0.28,6.41,7.04,94.86,1.019,7.52,12,10.01,42.84,42.91,15.67,19.28,22.26,41.31
3,Jarome Iginla,"COL, L.A",R,80,988.93333333333,12.361666666667,-0.89,0.63,-0.70,-1.61,2.28,-2.36,-1.24,1.4,-2.24,-0.02,0.03,-0.59,-0.08,0.28,-4.22,0.47,1.33,-0.82,-0.05,1.36,-3.47,-0.25,0.33,-11.44,0.69,-0.05,1.01,0.27,-0.08,13.00,-1.98,-0.19,-1.19,0.03,-0.36,18.97,5.97,91.51,0.975,11.28,13.83,9.04,43.93,55.52,18.87,20.14,19.11,49.68
4,Matt Cullen,PIT,C,72,764.48333333333,10.617824074074,-7.94,-1.14,-3.05,-5.85,-1.84,-2.34,-5.29,-3.04,-1.72,-0.61,0.12,-7.12,-0.28,-0.09,-1.75,-5.68,-1.02,-4.14,-0.58,-0.31,-0.42,-0.12,-0.39,6.04,-6.8,-0.94,-7.26,-0.43,0.78,-26.09,-3.04,-1.16,-1.38,-0.24,-0.08,-8.06,7.92,91.28,0.992,8.95,12.95,16.8,45.99,34.76,15.54,17.66,27.7,35.93
5,Zdeno Chara,BOS,D,75,1386.05,18.480666666667,-2.94,4.82,-3.58,-1.9,4.61,-4.11,0.3,3.93,-3.47,0.96,0.64,3.66,-0.01,0.15,-1.98,-1.38,2.65,-4.33,0.49,0.92,-1.40,0.68,0.31,10.77,-2.49,2.31,-6.20,0.31,0.35,-5.02,-0.98,4.31,-3.52,0.07,0.14,-5.38,8.64,90.52,0.992,5.15,11.6,7.36,44.02,41.18,15.5,20.48,21.21,42.22
6,Michal Rozsival,CHI,D,22,311.46666666667,14.157575757576,0.54,-3.65,1.89,2.27,-2.15,2.68,1.55,-1.72,2.63,-0.69,0.43,-14.76,-0.1,0,-1.14,-3.55,2.62,-5.95,-3.36,-0.54,-8.10,-0.57,0.5,-27.69,-0.25,4.21,-5.38,0.36,-0.15,12.50,5.06,-9.79,10.34,-0.55,0.06,-71.43,5.00,93.17,0.982,7.71,9.05,6.36,53.55,54.79,17.92,14.06,13.1,57.76
7,Shawn Thornton,FLA,L,50,374.81666666667,7.4963333333333,-16.55,9.06,-12.43,-11.3,2.98,-9.16,-8.15,1.73,-8.59,-1.43,-0.28,-18.74,-0.95,0.29,-15.92,-10.52,4.47,-17.17,-3.96,2.43,-17.04,-0.45,-0.22,-6.61,-8.76,2.71,-17.07,-0.94,0.04,-40.91,-8.47,3.58,-8.43,-0.3,-0.13,-26.92,4.03,93.78,0.978,7.68,15.85,6.4,54.91,54.55,10.73,21.45,14.25,42.95
8,Joe Thornton,S.J,C,79,1090.4333333333,13.802953586498,4.62,-2.76,3.20,3.04,-1.18,2.53,1.95,-1.06,2.64,0.26,0.08,1.85,0.05,-0.12,2.05,3.08,-0.28,3.09,0.35,-0.53,2.00,0,-0.26,5.88,3.63,0.34,3.97,0.35,0.01,10.87,1.31,-3.85,3.65,0.12,0.4,-14.58,7.94,92.00,0.999,11.06,14.75,8.2,47.93,57.43,21.57,21.79,18.27,54.14
9,Patrick Marleau,S.J,"C, L",82,1099.6333333333,13.410162601626,2.49,2.41,-0.01,2.46,2.59,-0.20,2.73,2.46,0.08,0.42,-0.15,6.34,0.18,0.09,0.93,3.05,1.57,1.24,1.04,-0.2,2.63,0.42,-0.05,8.40,2.68,2.36,0.30,-0.16,0.11,-9.82,-1.57,1.12,-1.84,0.18,-0.24,24.34,8.30,93.33,1.016,10.48,13.64,7.86,50.96,57.14,18.82,21.33,18.22,50.81
10,Marian Hossa,CHI,R,73,935.16666666667,12.810502283105,-3.69,-0.45,-1.49,-2.42,-0.5,-1.24,-1.78,-0.91,-0.78,-0.61,-0.07,-5.60,-0.14,-0.12,-0.27,-1.39,0.08,-1.46,-0.66,-0.3,-1.05,-0.41,-0.11,-5.14,-0.97,0.5,-1.77,-0.22,0.2,-12.07,-2.25,0.14,-1.68,-0.05,-0.15,4.29,7.29,93.49,1.008,9.75,14.37,9.3,43.95,51.18,19.38,21.69,17.07,53.17
