id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Zdeno Chara,WSH,D,55,13.083333333333,0,0,0,0,0,0.00,0,-,0.04,1,1,0,0,0,0,5,1,0,1,0,0,0,0,0,0,1,0,0,-
2,Joe Thornton,TOR,C,44,84.166666666667,0,5,3,2,5,55.56,10,0.00,1.07,16,13,9,5,0,4,2,1,1,0,0,0,2,2,1,2,0,15,11,57.69
3,Patrick Marleau,S.J,C,56,59.633333333333,2,1,0,1,3,50.00,5,40.00,0.9,12,10,8,4,0,1,4,2,2,0,0,0,1,0,2,2,0,8,6,57.14
4,Jason Spezza,TOR,C,54,68.866666666667,1,4,4,0,5,62.50,16,6.25,1.25,26,21,11,1,0,3,2,1,1,0,0,0,1,0,1,7,0,31,16,65.96
5,Mikko Koivu,CBJ,C,7,0.23333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
6,Valtteri Filppula,DET,C,38,47.166666666667,0,0,0,0,0,0.00,1,0.00,0.04,3,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,10,11,47.62
7,Frans Nielsen,DET,C,29,3.3,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
8,Duncan Keith,CHI,D,54,133.93333333333,1,5,3,2,6,42.86,20,5.00,1.06,28,22,9,0,1,1,0,0,0,0,0,0,4,1,1,0,1,0,0,-
9,Eric Staal,"BUF, MTL",C,53,71.566666666667,1,2,2,0,3,50.00,10,10.00,1.39,13,12,11,7,0,1,2,1,1,0,0,0,1,0,1,2,1,21,26,44.68
10,Ryan Suter,MIN,D,56,130.23333333333,1,5,4,1,6,50.00,19,5.26,1,41,27,9,0,0,2,2,1,1,0,0,0,2,0,2,1,2,0,0,-
11,Braydon Coburn,"NYI, OTT",D,19,1.1666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
12,Jeff Carter,"L.A, PIT",C,54,103.48333333333,1,2,2,0,3,42.86,20,5.00,3.43,34,25,23,15,0,8,4,2,2,0,0,0,1,0,2,3,1,13,8,61.90
13,Dustin Brown,L.A,R,49,139.78333333333,8,2,1,1,10,41.67,27,29.63,5.92,39,37,32,26,0,3,0,0,0,0,0,1,4,1,5,6,0,0,0,-
14,Zach Parise,MIN,L,45,66.133333333333,0,2,1,1,2,100.00,15,0.00,2.54,20,19,15,10,0,2,0,0,0,0,0,0,2,0,0,4,1,12,21,36.36
15,Ryan Getzlaf,ANA,C,48,85.333333333333,1,1,1,0,2,66.67,9,11.11,1.67,22,18,9,5,0,1,2,1,1,0,0,0,4,2,1,3,1,22,30,42.31
16,Brent Burns,S.J,D,56,138.8,2,4,2,2,6,50.00,33,6.06,1.97,62,41,14,4,0,7,4,2,2,0,0,0,5,1,1,1,6,0,0,-
17,Corey Perry,MTL,R,49,101.61666666667,1,6,3,3,7,53.85,11,9.09,2.67,22,21,15,13,0,2,9,3,2,1,0,0,1,2,1,2,1,0,0,-
18,Patrice Bergeron,BOS,C,54,168.95,6,5,3,2,11,52.38,38,15.79,6.61,79,65,63,25,0,2,0,0,0,0,0,1,7,2,4,5,0,129,60,68.25
19,Shea Weber,MTL,D,48,109.56666666667,3,7,2,5,10,83.33,24,12.50,1.47,48,35,5,1,0,0,5,1,0,1,0,0,2,0,2,0,2,0,0,-
