id,team_name,gp,toi,w,l,otl,row,points,point_pcg,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,gf,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,scsf,scsa,scsf_pcg,scgf,scga,scgf_pcg,scsh_pcg,scsv_pcg,hdcf,hdca,hdcf_pcg,hdsf,hdsa,hdsf_pcg,hdgf,hdga,hdgf_pcg,hdsh_pcg,hdsv_pcg,mdcf,mdca,mdcf_pcg,mdsf,mdsa,mdsf_pcg,mdgf,mdga,mdgf_pcg,mdsh_pcg,mdsv_pcg,ldcf,ldca,ldcf_pcg,ldsf,ldsa,ldsf_pcg,ldgf,ldga,ldgf_pcg,ldsh_pcg,ldsv_pcg,sh_pcg,sv_pcg,pdo
22,Nashville Predators,56,276.7833,31,23,2,26,64,0.571,49,398,10.96,42,294,12.50,35,226,13.41,5,39,11.36,2.97,25.6,10.40,26,198,11.61,19,131,12.67,5,33,13.16,26.32,74.81,17,79,17.71,14,67,17.28,4,21,16.00,28.57,68.66,9,119,7.03,5,64,7.25,1,12,7.69,20.00,81.25,13,192,6.34,7,94,6.93,0,6,0.00,0.00,93.62,14.29,82.74,0.970
23,Calgary Flames,56,268.4833,26,27,3,25,55,0.491,66,401,14.13,56,281,16.62,43,201,17.62,2,30,6.25,3.54,25.21,12.30,32,235,11.99,21,141,12.96,2,24,7.69,9.52,82.98,14,83,14.43,11,61,15.28,2,11,15.38,18.18,81.97,18,152,10.59,10,80,11.11,0,13,0.00,0.00,83.75,17,161,9.55,7,59,10.61,0,6,0.00,0.00,89.83,4.65,85.07,0.897
24,Winnipeg Jets,56,238.7167,30,23,3,30,63,0.563,50,412,10.82,42,308,12.00,33,233,12.41,3,26,10.34,2.02,28.59,6.59,23,218,9.54,15,137,9.87,3,21,12.50,20.00,84.67,6,97,5.83,5,77,6.10,3,13,18.75,60.00,83.12,17,121,12.32,10,60,14.29,0,8,0.00,0.00,86.67,7,185,3.65,1,93,1.06,0,5,0.00,0.00,94.62,9.09,88.84,0.979
25,San Jose Sharks,56,298.9333,21,28,7,16,49,0.438,94,458,17.03,79,355,18.20,61,251,19.55,5,33,13.16,4.25,29.44,12.61,37,224,14.18,17,141,10.76,5,26,16.13,29.41,81.56,19,89,17.59,10,63,13.70,4,18,18.18,40.00,71.43,18,135,11.76,7,78,8.24,1,8,11.11,14.29,89.74,18,217,7.66,9,106,7.83,0,7,0.00,0.00,93.40,8.20,86.85,0.950
26,Arizona Coyotes,56,265.0167,24,26,6,21,54,0.482,52,446,10.44,39,338,10.34,32,247,11.47,1,28,3.45,2.36,31.26,7.03,23,219,9.50,13,134,8.84,0,24,0.00,0.00,82.09,10,89,10.10,7,69,9.21,0,16,0.00,0.00,76.81,13,130,9.09,6,65,8.45,0,8,0.00,0.00,87.69,13,222,5.53,7,112,5.88,1,4,20.00,14.29,96.43,3.13,88.66,0.918
27,Anaheim Ducks,56,276.4167,17,30,9,15,43,0.384,66,421,13.55,62,323,16.10,51,235,17.83,1,32,3.03,3.28,30.7,9.65,29,227,11.33,20,146,12.05,1,24,4.00,5.00,83.56,16,105,13.22,13,77,14.44,1,13,7.14,7.69,83.12,13,122,9.63,7,69,9.21,0,11,0.00,0.00,84.06,12,184,6.12,9,89,9.18,0,8,0.00,0.00,91.01,1.96,86.38,0.883
28,Vegas Golden Knights,56,233.95,40,14,2,39,82,0.732,63,361,14.86,54,248,17.88,44,173,20.28,3,16,15.79,3.62,22.34,13.95,33,191,14.73,22,105,17.32,3,14,17.65,13.64,86.67,17,67,20.24,13,51,20.31,2,8,20.00,15.38,84.31,16,124,11.43,9,54,14.29,1,6,14.29,11.11,88.89,13,164,7.34,8,66,10.81,0,2,0.00,0.00,96.97,6.82,90.75,0.976
29,Minnesota Wild,56,271.3833,35,16,5,34,75,0.670,52,425,10.90,49,311,13.61,41,237,14.75,2,31,6.06,2.91,25.73,10.15,21,180,10.45,18,120,13.04,2,25,7.41,11.11,79.17,8,70,10.26,7,53,11.67,0,9,0.00,0.00,83.02,13,110,10.57,11,67,14.10,2,16,11.11,18.18,76.12,15,226,6.22,7,115,5.74,0,6,0.00,0.00,94.78,4.88,86.92,0.918
30,Los Angeles Kings,56,258.1167,21,28,7,20,49,0.438,40,455,8.08,35,344,9.23,29,250,10.39,3,26,10.34,2.68,28.8,8.50,22,218,9.17,15,125,10.71,3,16,15.79,20.00,87.20,12,81,12.90,8,53,13.11,2,9,18.18,25.00,83.02,10,137,6.80,7,72,8.86,1,7,12.50,14.29,90.28,6,232,2.52,2,125,1.57,0,10,0.00,0.00,92.00,10.34,89.60,0.999
31,Ottawa Senators,56,285.3667,23,28,5,21,51,0.455,74,451,14.10,67,343,16.34,59,254,18.85,7,35,16.67,5.28,30.8,14.63,44,270,14.01,36,159,18.46,7,27,20.59,19.44,83.02,23,101,18.55,22,72,23.40,7,13,35.00,31.82,81.94,21,169,11.05,14,87,13.86,0,14,0.00,0.00,83.91,12,177,6.35,6,93,6.06,0,8,0.00,0.00,91.40,11.86,86.22,0.981
