id,player_name,team,position,gp,toi,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,goals,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,hdcf,hdca,hdcf_pcg,hdgf,hdga,hdgf_pcg,mdcf,mdca,mdcf_pcg,mdgf,mdga,mdgf_pcg,ldcf,ldca,ldcf_pcg,ldgf,ldga,ldgf_pcg,on_ice_sh_pcg,on_ice_sv_pcg,pdo,ozs,nzs,dzs,on_the_fly_starts,ofz_pcg,ozfo,nzfo,dzfo,ozfo_ocg
829,Rasmus Kupari,L.A,C,7,73.85,56,54,50.91,42,46,47.73,27,32,45.76,1,6,14.29,1.94,2.47,44.06,28,30,48.28,11,13,45.83,0,4,0.00,17,17,50.00,1,2,33.33,24,18,57.14,0,0,-,3.70,81.25,0.850,8,15,12,63,40.00,19,25,23,45.24
830,Ty Dellandrea,DAL,C,26,270.83333333333,228,237,49.03,164,178,47.95,125,123,50.40,8,9,47.06,7.91,8.85,47.19,94,101,48.21,41,35,53.95,5,5,50.00,53,66,44.54,2,2,50.00,110,112,49.55,1,2,33.33,6.40,92.68,0.991,40,64,43,256,48.19,60,80,87,40.82
831,Barrett Hayton,ARI,C,14,125.38333333333,124,117,51.45,89,86,50.86,57,59,49.14,4,4,50.00,4.94,5.19,48.80,49,63,43.75,23,26,46.94,2,3,40.00,26,37,41.27,2,1,66.67,69,48,58.97,0,0,-,7.02,93.22,1.002,30,18,13,125,69.77,45,27,22,67.16
832,Liam Foudy,CBJ,C,24,280.76666666667,222,270,45.12,168,211,44.33,126,169,42.71,10,10,50.00,9.41,10.46,47.35,106,117,47.53,42,51,45.16,5,6,45.45,64,66,49.23,3,1,75.00,97,137,41.45,2,3,40.00,7.94,94.08,1.020,31,48,31,237,50.00,60,66,64,48.39
833,Kevin Bahl,N.J,D,7,109.48333333333,70,100,41.18,50,79,38.76,33,55,37.50,4,5,44.44,2.4,4.65,34.03,38,48,44.19,10,21,32.26,3,4,42.86,28,27,50.91,0,1,0.00,31,50,38.27,1,0,100.00,12.12,90.91,1.030,16,24,19,78,45.71,29,32,30,49.15
834,Noah Dobson,NYI,D,46,648.01666666667,567,581,49.39,424,428,49.77,304,322,48.56,24,21,53.33,23.09,23.34,49.73,273,296,47.98,111,104,51.63,13,11,54.17,162,192,45.76,7,8,46.67,260,246,51.38,4,2,66.67,7.89,93.48,1.014,98,115,48,589,67.12,206,174,140,59.54
835,Adam Boqvist,CHI,D,35,447.08333333333,383,401,48.85,280,307,47.70,217,227,48.87,19,21,47.50,15.91,18.12,46.75,200,209,48.90,69,80,46.31,8,12,40.00,131,129,50.38,9,5,64.29,159,163,49.38,2,4,33.33,8.76,90.75,0.995,67,94,36,380,65.05,162,146,99,62.07
836,Rasmus Sandin,TOR,D,9,110.95,98,89,52.41,77,70,52.38,60,51,54.05,8,2,80.00,4.4,3.53,55.52,54,43,55.67,24,13,64.86,4,1,80.00,30,30,50.00,3,1,75.00,36,40,47.37,1,0,100.00,13.33,96.08,1.094,17,23,12,101,58.62,34,32,26,56.67
837,Jacob Bernard-Docker,OTT,D,5,65.483333333333,48,62,43.64,34,52,39.53,18,42,30.00,3,1,75.00,1.47,2.81,34.33,22,26,45.83,12,11,52.17,2,1,66.67,10,15,40.00,1,0,100.00,21,28,42.86,0,0,-,16.67,97.62,1.143,9,14,2,58,81.82,19,17,7,73.08
838,Ty Smith,N.J,D,48,792.4,746,647,53.55,555,534,50.96,390,397,49.56,30,36,45.45,31.61,31.67,49.95,362,327,52.54,133,138,49.08,15,21,41.67,229,189,54.78,10,11,47.62,348,293,54.29,5,4,55.56,7.69,90.93,0.986,112,161,103,577,52.09,252,238,209,54.66
839,Calen Addison,MIN,D,3,45.65,40,47,45.98,31,38,44.93,23,25,47.92,2,1,66.67,2.13,1.85,53.52,23,20,53.49,12,9,57.14,1,1,50.00,11,11,50.00,1,0,100.00,14,27,34.15,0,0,-,8.70,96.00,1.047,11,8,4,30,73.33,19,11,8,70.37
840,Jan Jenik,ARI,R,2,23.566666666667,25,11,69.44,19,10,65.52,13,7,65.00,2,0,100.00,0.84,0.43,66.20,8,5,61.54,4,3,57.14,0,0,-,4,2,66.67,1,0,100.00,16,6,72.73,1,0,100.00,15.38,100.00,1.154,7,7,2,15,77.78,9,11,4,69.23
841,Karson Kuhlman,BOS,C,20,203.73333333333,183,156,53.98,147,114,56.32,112,80,58.33,4,10,28.57,6.76,5.37,55.73,75,67,52.82,26,19,57.78,2,3,40.00,49,48,50.52,1,4,20.00,93,82,53.14,1,3,25.00,3.57,87.50,0.911,23,44,22,187,51.11,56,60,51,52.34
