id,team_name,gp,toi,w,l,otl,row,points,point_pcg,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,gf,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,scsf,scsa,scsf_pcg,scgf,scga,scgf_pcg,scsh_pcg,scsv_pcg,hdcf,hdca,hdcf_pcg,hdsf,hdsa,hdsf_pcg,hdgf,hdga,hdgf_pcg,hdsh_pcg,hdsv_pcg,mdcf,mdca,mdcf_pcg,mdsf,mdsa,mdsf_pcg,mdgf,mdga,mdgf_pcg,mdsh_pcg,mdsv_pcg,ldcf,ldca,ldcf_pcg,ldsf,ldsa,ldsf_pcg,ldgf,ldga,ldgf_pcg,ldsh_pcg,ldsv_pcg,sh_pcg,sv_pcg,pdo
1,Pittsburgh Penguins,56,2765.7167,37,16,3,34,77,0.688,2341,2314,50.29,1794,1767,50.38,1343,1333,50.19,126,100,55.75,96.36,99.13,49.29,1121,1070,51.16,705,685,50.72,108,87,55.38,15.32,87.30,435,470,48.07,351,378,48.15,77,63,55.00,21.94,83.33,686,600,53.34,354,307,53.56,31,24,56.36,8.76,92.18,1065,1088,49.47,576,587,49.53,16,13,55.17,2.78,97.79,9.38,92.50,1.019
2,Philadelphia Flyers,56,2716.9667,25,23,8,22,58,0.518,2453,2261,52.04,1834,1725,51.53,1307,1281,50.50,108,134,44.63,95.33,93.83,50.40,1104,1061,50.99,645,656,49.58,97,112,46.41,15.04,82.93,411,440,48.30,322,351,47.85,65,74,46.76,20.19,78.92,693,621,52.74,323,305,51.43,32,38,45.71,9.91,87.54,1185,1052,52.97,600,572,51.19,11,21,34.38,1.83,96.33,8.26,89.54,0.978
3,Chicago Blackhawks,56,2716.95,24,25,7,22,55,0.491,2229,2632,45.85,1613,1976,44.94,1258,1501,45.60,100,125,44.44,91.06,116.09,43.96,1070,1336,44.47,687,843,44.90,89,110,44.72,12.95,86.95,409,551,42.60,335,442,43.11,56,81,40.88,16.72,81.67,661,785,45.71,352,401,46.75,33,29,53.23,9.38,92.77,988,1121,46.85,518,596,46.50,11,15,42.31,2.12,97.48,7.95,91.67,0.996
4,Tampa Bay Lightning,56,2628.2333,36,17,3,35,75,0.670,2345,2133,52.37,1796,1631,52.41,1317,1230,51.71,111,97,53.37,98.57,86.76,53.19,1195,1098,52.12,744,697,51.63,95,85,52.78,12.77,87.80,448,415,51.91,360,332,52.02,68,49,58.12,18.89,85.24,747,683,52.24,384,365,51.27,27,36,42.86,7.03,90.14,1013,895,53.09,531,479,52.57,16,12,57.14,3.01,97.49,8.43,92.11,1.005
5,Montreal Canadiens,56,2736.7167,24,21,11,23,59,0.527,2699,2253,54.50,1958,1686,53.73,1414,1193,54.24,106,103,50.72,100.16,89.07,52.93,1290,1065,54.78,715,610,53.96,92,95,49.20,12.87,84.43,468,434,51.88,338,311,52.08,64,60,51.61,18.93,80.71,822,631,56.57,377,299,55.77,28,35,44.44,7.43,88.29,1231,1001,55.15,644,512,55.71,14,8,63.64,2.17,98.44,7.50,91.37,0.989
6,Toronto Maple Leafs,56,2751.7333,35,14,7,34,77,0.688,2456,2359,51.01,1885,1764,51.66,1364,1243,52.32,132,95,58.15,113.2,92.09,55.14,1390,1162,54.47,855,632,57.50,117,77,60.31,13.68,87.82,553,421,56.78,421,301,58.31,74,53,58.27,17.58,82.39,837,741,53.04,434,331,56.73,43,24,64.18,9.91,92.75,948,1035,47.81,474,553,46.15,15,18,45.45,3.16,96.75,9.68,92.36,1.020
7,Vancouver Canucks,56,2681.7833,23,29,4,20,50,0.446,2317,2693,46.25,1757,2013,46.60,1295,1474,46.77,103,131,44.02,96.61,118.4,44.93,1083,1414,43.37,633,847,42.77,89,121,42.38,14.06,85.71,424,526,44.63,302,394,43.39,51,79,39.23,16.89,79.95,659,888,42.60,331,453,42.22,38,42,47.50,11.48,90.73,1038,1106,48.41,581,574,50.30,14,10,58.33,2.41,98.26,7.95,91.11,0.991
8,Edmonton Oilers,56,2738.9833,35,19,2,35,72,0.643,2382,2515,48.64,1776,1872,48.68,1295,1374,48.52,115,116,49.78,100.5,101.89,49.66,1126,1229,47.81,680,736,48.02,101,99,50.50,14.85,86.55,455,459,49.78,341,334,50.52,53,59,47.32,15.54,82.34,671,770,46.56,339,402,45.75,48,40,54.55,14.16,90.05,1066,1108,49.03,552,570,49.20,12,17,41.38,2.17,97.02,8.88,91.56,1.004
9,St Louis Blues,56,2739.7167,27,20,9,25,63,0.563,2229,2443,47.71,1643,1815,47.51,1240,1300,48.82,102,109,48.34,87.4,102.21,46.09,1057,1144,48.02,645,689,48.35,88,92,48.89,13.64,86.65,370,473,43.89,280,331,45.83,58,61,48.74,20.71,81.57,687,671,50.59,365,358,50.48,30,31,49.18,8.22,91.34,975,1105,46.88,533,557,48.90,14,17,45.16,2.63,96.95,8.23,91.62,0.998
10,Colorado Avalanche,56,2641.6333,39,13,4,39,82,0.732,2831,1969,58.98,2058,1464,58.43,1477,1056,58.31,131,88,59.82,115.9,77.01,60.08,1364,893,60.43,802,553,59.19,111,78,58.73,13.84,85.90,517,363,58.75,376,280,57.32,66,42,61.11,17.55,85.00,847,530,61.51,426,273,60.94,45,36,55.56,10.56,86.81,1298,900,59.05,638,448,58.75,20,10,66.67,3.13,97.77,8.87,91.67,1.005
