id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Jaromir Jagr,FLA,R,82,1127.6,8,25,17,8,33,62.26,132,6.06,13,223,180,156,67,6,17,40,20,20,0,0,16,34,40,20,80,4,1,1,50.00
2,Shane Doan,ARI,R,74,964.91666666667,3,17,14,3,20,66.67,120,2.50,8.35,202,160,97,40,7,13,24,12,12,0,0,7,29,23,94,71,22,69,75,47.92
3,Jarome Iginla,"COL, L.A",R,80,988.93333333333,7,9,7,2,16,59.26,93,7.53,8.54,165,128,93,44,7,5,31,14,13,1,0,10,21,22,106,61,19,14,11,56.00
4,Matt Cullen,PIT,C,72,764.48333333333,8,14,8,6,22,75.86,70,11.43,9.13,118,94,83,52,5,14,18,8,8,0,0,13,23,14,31,71,17,334,282,54.22
5,Zdeno Chara,BOS,D,75,1386.05,6,17,9,8,23,35.38,116,5.17,3.98,239,160,48,10,3,14,48,21,19,2,0,9,45,26,101,91,99,0,1,0.00
6,Michal Rozsival,CHI,D,22,311.46666666667,1,2,2,0,3,37.50,15,6.67,0.74,25,21,4,1,0,1,12,6,6,0,0,0,9,5,42,48,21,0,0,-
7,Shawn Thornton,FLA,L,50,374.81666666667,2,2,0,2,4,66.67,41,4.88,2.56,78,60,32,17,6,4,34,10,7,2,1,5,8,8,52,15,8,5,10,33.33
8,Joe Thornton,S.J,C,79,1090.4333333333,3,20,11,9,23,52.27,53,5.66,4.54,92,76,52,26,3,3,25,11,10,1,0,10,58,56,49,46,29,263,261,50.19
9,Patrick Marleau,S.J,"C, L",82,1099.6333333333,18,10,5,5,28,59.57,146,12.33,15.05,239,205,172,94,9,15,20,10,10,0,0,10,38,40,78,87,30,92,82,52.87
10,Marian Hossa,CHI,R,73,935.16666666667,14,10,4,6,24,75.00,123,11.38,9.84,222,160,119,34,7,10,8,4,4,0,0,5,18,40,25,61,26,4,5,44.44
11,Jason Chimera,NYI,L,82,936.98333333333,17,12,6,6,29,65.91,111,15.32,8.11,163,134,81,39,9,6,31,13,12,1,0,6,25,16,143,84,23,10,12,45.45
12,Brian Campbell,CHI,D,80,1305.95,3,7,4,3,10,17.24,56,5.36,2.36,132,87,40,5,3,5,18,9,9,0,0,8,52,11,41,149,78,0,0,-
13,Mike Fisher,NSH,C,72,855.88333333333,8,13,10,3,21,63.64,90,8.89,7.63,149,124,81,40,4,12,24,11,11,0,0,5,16,11,149,38,43,471,401,54.01
14,Mike Ribeiro,NSH,C,46,592.11666666667,2,16,8,8,18,69.23,31,6.45,2.42,59,42,31,8,0,0,10,5,5,0,0,2,15,10,33,34,5,152,217,41.19
15,Francois Beauchemin,COL,D,81,1367.6166666667,5,10,7,3,15,34.09,114,4.39,3.46,244,165,44,9,4,5,20,10,10,0,0,5,38,25,66,42,112,0,0,-
16,Brian Gionta,BUF,R,82,1062.4833333333,11,15,11,4,26,81.25,126,8.73,10.69,209,176,100,50,9,12,14,7,7,0,0,5,20,19,50,66,24,19,38,33.33
17,Chris Neil,OTT,R,53,396.23333333333,1,3,1,2,4,66.67,41,2.44,3.14,64,50,34,16,3,3,47,16,11,5,0,7,9,11,108,48,19,0,0,-
18,Andrei Markov,MTL,D,62,1035.5,5,17,11,6,22,48.89,78,6.41,2.32,171,109,34,3,2,10,14,7,7,0,0,5,57,19,35,60,57,0,0,-
19,Daniel Sedin,VAN,L,82,1191.2166666667,9,19,16,3,28,70.00,156,5.77,10.04,249,207,122,44,10,8,26,13,13,0,0,6,21,26,17,62,17,2,0,100.00
20,Henrik Sedin,VAN,C,82,1233.1833333333,11,20,8,12,31,79.49,76,14.47,6.91,118,96,74,44,3,6,24,11,11,0,0,7,39,28,15,32,10,512,552,48.12
21,Chris Kelly,OTT,C,82,792.53333333333,2,3,3,0,5,62.50,79,2.53,5.96,120,97,61,33,6,8,14,7,7,0,0,5,21,14,69,49,30,176,195,47.44
22,Derek MacKenzie,FLA,C,82,813.05,3,6,3,3,9,56.25,73,4.11,5.61,134,104,59,29,1,6,25,11,10,1,0,15,19,25,179,54,31,288,263,52.27
23,Henrik Zetterberg,DET,L,82,1274.05,15,34,25,9,49,77.78,135,11.11,9.65,226,177,110,37,1,8,16,8,8,0,0,14,29,35,51,80,28,539,549,49.54
