id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
502,Nicolas Aube-Kubel,PHI,R,50,540.85,3,9,4,5,12,80.00,53,5.66,4.88,93,76,57,20,3,7,32,15,15,0,0,10,17,16,119,67,16,2,2,50.00
503,Brandon Montour,"BUF, FLA",D,50,880.95,5,10,6,4,15,44.12,83,6.02,3.76,157,120,40,11,2,8,26,13,13,0,0,3,18,14,49,52,54,0,0,-
504,Ryan Donato,S.J,C,50,529.6,4,9,7,2,13,72.22,84,4.76,7.67,138,109,84,47,7,17,4,2,2,0,0,14,11,26,48,51,19,16,26,38.10
505,Christian Dvorak,ARI,C,56,706.7,5,9,4,5,14,56.00,67,7.46,7.67,105,88,76,43,4,12,8,4,4,0,0,8,15,15,41,43,29,356,330,51.90
506,Juho Lammikko,FLA,C,44,419.06666666667,3,1,0,1,4,40.00,40,7.50,2.99,64,53,36,15,2,2,8,4,4,0,0,2,12,5,47,20,14,112,136,45.16
507,Warren Foegele,CAR,L,53,673.16666666667,9,9,6,3,18,72.00,86,10.47,10.99,147,123,110,62,6,16,16,8,8,0,0,11,25,13,60,72,9,14,13,51.85
508,Brayden Point,T.B,C,56,770.7,14,13,5,8,27,79.41,83,16.87,9.07,146,120,104,46,8,8,11,4,3,1,0,18,5,23,22,48,15,190,204,48.22
509,Louie Belpedio,MIN,D,1,11.816666666667,0,0,0,0,0,-,2,0.00,0.05,3,3,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,-
510,Jake Walman,STL,D,24,313.53333333333,1,1,1,0,2,28.57,45,2.22,1.8,81,58,24,2,0,2,8,4,4,0,0,4,16,5,26,19,17,0,0,-
511,Mark Friedman,"PHI, PIT",D,9,97.45,1,1,0,1,2,33.33,8,12.50,0.51,11,10,3,2,0,0,9,3,2,1,0,3,2,0,13,25,7,0,1,0.00
512,Michael Amadio,"L.A, OTT",C,25,271.03333333333,0,2,2,0,2,25.00,20,0.00,1.95,35,28,23,8,1,3,4,2,2,0,0,2,7,3,8,28,16,91,88,50.84
513,William Lagesson,EDM,D,19,242.28333333333,0,2,2,0,2,22.22,9,0.00,0.43,26,17,6,2,1,0,2,1,1,0,0,2,7,1,12,58,10,0,0,-
514,Lucas Wallmark,"CHI, FLA",C,20,198.75,0,0,0,0,0,0.00,9,0.00,0.55,17,12,7,1,0,0,6,3,3,0,0,1,4,4,23,21,5,58,84,40.85
515,Chase De Leo,ANA,C,1,13.033333333333,0,0,0,0,0,-,1,0.00,0.14,3,3,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,4,8,33.33
516,Devon Toews,COL,D,53,1006.1666666667,7,14,4,10,21,38.89,99,7.07,4.68,187,138,61,16,3,10,14,7,7,0,0,5,14,22,38,32,53,0,0,-
517,Austin Poganski,STL,R,5,37.816666666667,0,0,0,0,0,0.00,0,-,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,8,5,2,0,0,-
518,Viktor Arvidsson,NSH,R,50,667.83333333333,6,11,9,2,17,54.84,115,5.22,8.55,191,162,105,41,6,13,17,7,6,1,0,11,16,14,15,65,31,8,15,34.78
519,Sam Lafferty,PIT,"C, R",34,322.76666666667,0,6,3,3,6,66.67,33,0.00,2.59,57,45,37,8,1,3,12,6,6,0,0,7,6,5,87,55,10,52,47,52.53
520,Danton Heinen,ANA,L,43,530.96666666667,6,6,5,1,12,70.59,59,10.17,5.84,112,81,77,27,4,4,0,0,0,0,0,5,6,20,32,25,27,1,3,25.00
521,Michael Bunting,ARI,L,21,295.93333333333,7,3,1,2,10,76.92,30,23.33,3.85,51,40,37,20,1,2,6,3,3,0,0,2,4,8,28,25,1,6,4,60.00
