id,player_name,team,position,age,dob,birth_city,birth_state,birth_country,nationality,height,weight,draft_year,draft_team,draft_round,draft_round_pick,total_draft_pick
1,Craig Anderson,BUF,G,40,1981-05-21,-,-,-,-,74,185,2001,CHI,3,10,73
2,Mike Smith,EDM,G,40,1982-03-22,-,-,-,-,77,220,2001,DAL,5,30,161
3,Marc-Andre Fleury,"CHI, MIN",G,37,1984-11-28,-,-,-,-,74,185,2003,PIT,1,1,1
4,Jaroslav Halak,VAN,G,36,1985-05-13,-,-,-,-,71,185,2003,MTL,9,10,271
5,Brian Elliott,T.B,G,37,1985-04-09,-,-,-,-,74,209,2003,OTT,9,30,291
6,Cory Schneider,NYI,G,36,1986-03-18,-,-,-,-,74,210,2004,VAN,1,26,26
7,Thomas Greiss,DET,G,36,1986-01-29,-,-,-,-,74,219,2004,S.J,3,29,94
8,Anton Khudobin,DAL,G,36,1986-05-07,-,-,-,-,71,195,2004,MIN,7,13,206
9,Carey Price,MTL,G,34,1987-08-16,-,-,-,-,75,217,2005,MTL,1,5,5
10,Tuukka Rask,BOS,G,35,1987-03-10,-,-,-,-,75,176,2005,TOR,1,21,21
11,Jonathan Quick,L.A,G,36,1986-01-21,-,-,-,-,73,220,2005,L.A,3,11,72
12,Alex Stalock,S.J,G,34,1987-07-28,-,-,-,-,71,170,2005,S.J,4,21,112
13,James Reimer,S.J,G,34,1988-03-15,-,-,-,-,75,205,2006,TOR,4,6,99
14,Jonathan Bernier,N.J,G,33,1988-08-07,-,-,-,-,72,185,2006,L.A,1,11,11
15,Semyon Varlamov,NYI,G,34,1988-04-27,-,-,-,-,74,210,2006,WSH,1,23,23
16,Jacob Markstrom,CGY,G,32,1990-01-31,-,-,-,-,78,206,2008,FLA,2,1,31
17,Jake Allen,MTL,G,31,1990-08-07,-,-,-,-,74,190,2008,STL,2,4,34
18,Michael Hutchinson,TOR,G,32,1990-03-02,-,-,-,-,75,201,2008,BOS,3,16,77
19,Braden Holtby,DAL,G,32,1989-09-16,-,-,-,-,73,215,2008,WSH,4,2,93
20,Harri Sateri,ARI,G,32,1989-12-29,-,-,-,-,73,205,2008,S.J,4,15,106
21,Dustin Tokarski,BUF,G,32,1989-09-16,-,-,-,-,72,198,2008,T.B,5,1,122
22,Martin Jones,PHI,G,32,1990-01-10,-,-,-,-,76,190,-,-,-,-,-
23,Mikko Koskinen,EDM,G,33,1988-07-18,-,-,-,-,79,202,2009,NYI,2,1,31
24,Robin Lehner,VGK,G,30,1991-07-24,-,-,-,-,76,250,2009,OTT,2,16,46
25,J-F Berube,CBJ,G,30,1991-07-13,-,-,-,-,73,177,2009,L.A,4,4,95
26,Darcy Kuemper,COL,G,32,1990-05-05,-,-,-,-,77,215,2009,MIN,6,10,161
27,Carter Hutton,ARI,G,36,1985-12-19,-,-,-,-,72,211,-,-,-,-,-
28,Cam Talbot,MIN,G,34,1987-07-05,-,-,-,-,76,196,-,-,-,-,-
29,Sergei Bobrovsky,FLA,G,33,1988-09-20,-,-,-,-,74,182,-,-,-,-,-
30,Calvin Pickard,DET,G,30,1992-04-15,-,-,-,-,73,210,2010,COL,2,19,49
31,Jack Campbell,TOR,G,30,1992-01-09,-,-,-,-,75,207,2010,DAL,1,11,11
32,Scott Wedgewood,"ARI, DAL, N.J",G,29,1992-08-14,-,-,-,-,74,205,2010,N.J,3,24,84
33,Philipp Grubauer,SEA,G,30,1991-11-25,-,-,-,-,73,188,2010,WSH,4,22,112
34,Louis Domingue,PIT,G,30,1992-03-06,-,-,-,-,75,208,2010,PHX,5,18,138
35,Petr Mrazek,TOR,G,30,1992-02-14,-,-,-,-,74,188,2010,DET,5,21,141
36,Frederik Andersen,CAR,G,32,1989-10-02,-,-,-,-,76,238,2012,ANA,3,26,87
37,Michael Houser,BUF,G,29,1992-09-13,-,-,-,-,73,185,-,-,-,-,-
38,Keith Kinkaid,NYR,G,32,1989-07-04,-,-,-,-,74,191,-,-,-,-,-
39,Laurent Brossoit,VGK,G,29,1993-03-23,-,-,-,-,75,215,2011,CGY,6,13,164
40,Anton Forsberg,OTT,G,29,1992-11-27,-,-,-,-,75,192,2011,CBJ,7,7,188
41,Garret Sparks,L.A,G,28,1993-06-28,-,-,-,-,75,220,2011,TOR,7,9,190
42,Jordan Binnington,STL,G,28,1993-07-11,-,-,-,-,74,172,2011,STL,3,27,88
43,Magnus Hellberg,DET,G,31,1991-04-04,-,-,-,-,78,209,2011,NSH,2,8,38
