id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
1,Martin Brodeur,N.J,39,1824.3,740,669,71,0.904,2.34,-13.60,49.4,156,128,28,0.821,0.92,-1.13,217,194,23,0.894,0.76,-5.04,330,310,20,0.939,0.66,-11.37,19,35,36.32,26.11
2,Nikolai Khabibulin,CHI,4,129.56666666667,56,47,9,0.839,4.17,-4.66,3.6,17,14,3,0.824,1.39,-0.07,14,9,5,0.643,2.32,-3.84,24,23,1,0.958,0.46,-0.37,4,2,35.00,25.00
3,Tim Thomas,"DAL, FLA",48,2100.0833333333,1070,974,96,0.910,2.74,-13.01,74.42,274,215,59,0.785,1.69,-11.80,287,261,26,0.909,0.74,-2.24,479,468,11,0.977,0.31,1.53,36,94,35.74,23.74
4,Evgeni Nabokov,NYI,40,1761.5833333333,859,786,73,0.915,2.49,-6.37,74.71,301,246,55,0.817,1.87,-3.15,219,207,12,0.945,0.41,6.13,305,299,6,0.980,0.20,1.98,46,83,32.41,21.19
5,Jean-Sebastien Giguere,COL,22,965.88333333333,470,433,37,0.921,2.30,-0.55,37.97,137,110,27,0.803,1.68,-3.40,118,112,6,0.949,0.37,3.77,194,190,4,0.979,0.25,1.07,16,49,33.90,18.19
6,Martin Biron,NYR,2,55.716666666667,33,28,5,0.848,5.38,-2.44,3.07,12,7,5,0.583,5.38,-2.93,5,5,0,1.000,0.00,0.41,15,15,0,1.000,0.00,0.39,0,4,33.85,9.60
7,Roberto Luongo,"FLA, VAN",56,2527.0166666667,1248,1156,92,0.926,2.18,4.80,90.76,297,242,55,0.815,1.31,-3.84,347,323,24,0.931,0.57,4.73,578,565,13,0.978,0.31,2.12,35,118,35.31,21.61
8,Scott Clemmensen,FLA,17,697.43333333333,344,317,27,0.922,2.32,-0.32,25.92,90,74,16,0.822,1.38,-0.50,98,90,8,0.918,0.69,0.11,146,143,3,0.979,0.26,0.82,17,31,36.73,30.63
9,Jason LaBarbera,EDM,7,278.21666666667,105,94,11,0.895,2.37,-2.86,7.65,26,22,4,0.846,0.86,0.48,32,28,4,0.875,0.86,-1.35,44,41,3,0.932,0.65,-1.85,6,7,36.28,28.00
10,Craig Anderson,OTT,53,2311.6333333333,1259,1164,95,0.925,2.47,2.65,88.51,314,253,61,0.806,1.58,-6.91,297,280,17,0.943,0.44,7.59,606,590,16,0.974,0.42,-0.15,61,111,35.86,20.21
11,Ryan Miller,"BUF, STL",59,2718.3333333333,1430,1316,114,0.920,2.52,-3.09,101.64,359,289,70,0.805,1.55,-8.16,388,354,34,0.912,0.75,-1.88,646,636,10,0.985,0.22,6.90,82,95,34.90,21.11
