id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
1,Jaromir Jagr,FLA,R,79,206.93333333333,3,6,3,3,9,56.25,28,10.71,4.69,49,42,38,20,0,2,2,1,1,0,0,0,5,1,1,8,0,0,0,-
2,Patrik Elias,N.J,C,16,51.383333333333,0,2,0,2,2,66.67,6,0.00,0.73,11,8,8,2,0,0,0,0,0,0,0,0,4,0,1,3,0,2,4,33.33
3,Eric Boulton,NYI,L,6,2.5833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-
4,Shane Doan,ARI,R,72,199.76666666667,10,4,2,2,14,73.68,45,22.22,8.45,67,60,51,45,2,4,26,5,3,0,2,0,5,3,19,9,0,6,9,40.00
5,Jarome Iginla,COL,R,82,221.7,13,5,3,2,18,64.29,61,21.31,5.54,115,85,40,11,0,10,19,5,2,3,0,2,6,1,5,6,2,7,7,50.00
6,Dainius Zubrus,S.J,C,50,2.95,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,-
7,Matt Cullen,PIT,C,82,20.05,0,0,0,0,0,0.00,3,0.00,0.41,6,4,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0,14,11,56.00
8,Zdeno Chara,BOS,D,80,119.83333333333,1,8,5,3,9,69.23,34,2.94,2.15,58,45,7,1,0,4,12,6,6,0,0,1,3,0,1,4,1,0,0,-
9,Michal Rozsival,CHI,D,51,23.833333333333,0,2,0,2,2,66.67,3,0.00,0.16,4,3,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,-
10,Willie Mitchell,FLA,D,46,5.7,0,0,0,0,0,-,0,-,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-
11,Shawn Thornton,FLA,L,50,6.1,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,26,7,3,4,0,1,0,0,0,0,0,0,0,-
12,Joe Thornton,S.J,C,82,277.48333333333,8,12,7,5,20,54.05,35,22.86,5.04,61,48,40,15,1,3,10,5,5,0,0,0,13,1,3,2,0,81,64,55.86
13,Patrick Marleau,S.J,"C, L",82,268.63333333333,8,12,6,6,20,57.14,54,14.81,8.18,93,79,69,35,0,3,0,0,0,0,0,1,24,6,4,9,0,20,8,71.43
14,Marian Hossa,CHI,R,64,118.13333333333,0,6,4,2,6,85.71,16,0.00,2.01,29,23,19,5,0,3,0,0,0,0,0,0,6,1,4,4,1,0,0,-
15,Jason Chimera,WSH,L,82,117.96666666667,4,5,5,0,9,90.00,20,20.00,3.52,28,25,26,18,1,2,0,0,0,0,0,0,2,0,1,5,0,1,2,33.33
