id,player_name,team,position,gp,toi,toi_per_gp,cf_60_rel,ca_60_rel,cf_pcg_rel,ff_60_rel,fa_60_rel,ff_pcg_rel,sf_60_rel,sa_60_rel,sf_pcg_rel,gf_60_rel,ga_60_rel,gf_pcg_rel,xgf_60_rel,xga_60_rel,xgf_pcg_rel,scf_60_rel,sca_60_rel,scf_pcg_rel,hdcf_60_rel,hdca_60_rel,hdcf_pcg_rel,hdgf_60_rel,hdga_60_rel,hdgf_pcg_rel,mdcf_60_rel,mdca_60_rel,mdcf_pcg_rel,mdgf_60_rel,mdga_60_rel,mdgf_pcg_rel,ldcf_60_rel,ldca_60_rel,ldcf_pcg_rel,ldgf_60_rel,ldga_60_rel,ldgf_pcg_rel,on_ice_sh_pcg,on_ice_sv_pcg,pdo,ozs_60,nzs_60,dzs_60,on_the_fly_starts_60,ozs_pcg,ozfo_60,nzfo_60,dzfo_60,ozfo_pcg
1,Jaromir Jagr,FLA,R,79,1090.0333333333,13.797890295359,4.87,0.94,1.99,3.97,-0.01,2.55,4.19,-0.47,4.03,1.71,0.41,10.25,0.43,0.09,4.01,5.83,0.45,5.67,2.98,-0.81,9.94,0.8,0.08,12.17,3.8,1.67,2.75,1.05,0.54,2.20,0.13,0.57,-0.31,0.18,-0.11,14.81,11.86,92.01,1.039,6.94,14.48,6.5,45.19,51.64,15.8,23.67,17.72,47.13
2,Patrik Elias,N.J,C,16,171.4,10.7125,-0.19,-4.16,2.34,-1.97,-1.73,-0.23,-0.14,-2,1.93,0.82,-0.73,20.39,-0.17,-0.15,-0.08,0.81,-2.19,4.28,-0.28,-1.82,6.07,-0.01,-0.56,22.92,1.46,-0.5,3.53,1.32,-0.62,46.67,-2.12,-3.12,0.62,-0.23,0.57,-29.17,10.14,93.94,1.041,10.85,11.9,8.4,57.41,56.36,19.6,18.9,17.85,52.34
3,Eric Boulton,NYI,L,6,51.983333333333,8.6638888888889,-20.1,-9.44,-8.66,-17.79,-1.2,-15.68,-12.34,-4.06,-13.51,-1.23,2.23,-30.00,-0.81,0.52,-16.78,-12.34,2.31,-18.52,-5.61,6.88,-34.03,-1.91,2.99,-80.00,-8.97,-6.1,-8.06,-0.64,-1.59,-28.57,-10.01,-8.97,-3.50,1.67,0.63,50.00,10.00,83.33,0.933,6.93,12.7,6.93,65.79,50.00,17.31,19.62,9.23,65.22
4,Shane Doan,ARI,R,72,947.46666666667,13.159259259259,2.44,1.49,0.51,2.01,1.79,0.27,0.96,2.57,-1.18,0.7,0.1,6.61,0,0.09,-0.92,1.51,2.51,-0.70,0.51,1.6,-2.60,0.24,0.38,-2.84,1.33,1.21,0.51,0.01,-0.01,0.72,2.61,0.71,1.38,0.56,-0.45,43.24,9.19,93.41,1.026,8.23,16.46,9.44,41.1,46.59,17.35,22.92,19.31,47.32
5,Jarome Iginla,COL,R,82,1007.8333333333,12.290650406504,-1.62,4.37,-2.52,-2.72,4.35,-4.17,-1.77,1.48,-2.77,-0.06,0.47,-5.53,-0.09,0.32,-4.40,-0.39,3.22,-3.24,0.32,0.89,-0.97,0.02,0.48,-8.46,-0.95,3.11,-4.83,-0.32,0.04,-15.72,-2.75,2.07,-3.29,0.15,0,6.10,8.01,91.91,0.999,9.64,12.92,9.11,44.95,51.43,16.19,18.4,17.68,47.80
6,Dainius Zubrus,S.J,C,50,522.56666666667,10.451333333333,-9.77,-1.82,-3.59,-7.01,-1.38,-3.44,-4.92,-1.17,-3.25,-0.14,-0.32,2.27,-0.44,-0.29,-0.90,-5.38,-0.45,-4.73,-1.98,-2.6,3.54,-0.1,-0.65,16.02,-4.53,2.88,-9.94,-0.18,0.63,-18.59,-6.47,-2.17,-3.02,0.15,-0.21,22.11,7.62,92.69,1.003,5.97,13.89,5.17,58.79,53.61,13.2,20.9,14.35,47.92
7,Matt Cullen,PIT,C,82,871.25,10.625,-6.83,2.3,-4.13,-4.5,1.07,-3.35,-3.82,1.26,-4.12,-0.49,0.2,-7.65,-0.17,-0.09,-0.52,-2.72,0.47,-3.01,0.39,0.02,0.79,-0.29,0.09,-7.49,-4.15,0.6,-5.82,-0.2,0.15,-10.99,-4.85,2.31,-4.98,-0.06,-0.02,-2.61,7.01,92.77,0.998,10.05,14.6,14.88,49.86,40.33,16.05,19.35,26.86,37.40
8,Zdeno Chara,BOS,D,80,1464.4833333333,18.306041666667,0.73,1.1,-0.16,0.17,1.77,-0.95,-0.57,-0.09,-0.38,0.07,-0.25,3.52,-0.04,-0.02,-0.26,-1.01,0.49,-1.57,-0.6,-0.58,-0.13,-0.12,-0.21,2.21,-0.55,1.42,-2.44,0.2,-0.03,7.55,2.52,1.53,0.66,0.05,0.01,1.61,7.96,92.96,1.009,7.17,14.42,10.04,43.47,41.67,17.78,21.51,22.86,43.75
9,Michal Rozsival,CHI,D,51,745.58333333333,14.619281045752,-0.24,-0.76,0.24,-1.75,1.39,-1.99,-0.34,4.03,-3.63,0.52,0.17,3.96,0.01,0.22,-2.41,1.09,3.01,-1.89,0.97,2.12,-2.22,0.53,-0.04,11.27,0.16,1.18,-1.40,0.11,-0.18,10.10,-0.89,-4.86,2.72,-0.13,0.5,-35.00,8.43,93.25,1.017,6.76,10.78,4.35,56.65,60.87,16.66,17.14,12.15,57.82
10,Willie Mitchell,FLA,D,46,731.03333333333,15.892028985507,-5.74,9.16,-7.42,-3.03,7.43,-6.60,-2.46,6.36,-7.63,0.12,0.74,-7.83,0,0.6,-6.57,-0.94,5.79,-7.20,0.9,1.68,-1.65,0.21,0.45,-5.13,-2.46,5.47,-11.07,-0.05,0.22,-9.63,-6.28,4.39,-8.09,-0.06,0.18,-16.67,8.97,92.84,1.018,6.73,11.65,9.77,44.81,40.80,14.45,20.03,24.13,37.45
11,Shawn Thornton,FLA,L,50,427.5,8.55,-8.92,-6.71,-1.46,-5.27,-5.24,-0.19,-4.11,-2.78,-1.36,-1.89,-0.79,-13.45,-0.72,-0.34,-5.77,-10.61,-3.38,-9.87,-4.32,-1.67,-9.62,-0.68,-0.73,3.00,-8.39,-2.29,-10.08,-1.15,0.1,-47.35,-0.06,-2.08,1.53,-0.5,-0.19,-14.00,4.52,94.76,0.993,11.37,10.53,4.21,51.79,72.97,19.23,16.7,14.32,57.32
12,Joe Thornton,S.J,C,82,1120.9333333333,13.669918699187,9.12,-5.32,6.55,8.08,-3.73,7.30,5.58,-3.34,7.85,1.74,-0.78,26.80,0.41,-0.23,7.30,4.19,-0.95,4.91,2.45,-1.21,8.15,1.38,-0.34,28.58,2.31,0.35,2.48,0.59,-0.35,29.81,7.48,-5.33,8.86,-0.12,-0.23,10.78,10.53,93.89,1.044,11.83,14.35,7.6,48.28,60.88,22.91,22.16,18.25,55.66
13,Patrick Marleau,S.J,"C, L",82,1088.2833333333,13.27174796748,-0.97,2.82,-1.78,-0.81,1.44,-1.47,-0.88,1.94,-2.59,-0.49,0.66,-13.46,0.02,0.22,-2.64,-1.2,0.39,-1.59,0.02,2.4,-6.34,-0.59,0.53,-23.40,-1.63,-2.68,1.80,-0.08,-0.22,3.07,-0.25,2.1,-1.63,0.23,0.44,-14.00,6.60,90.96,0.976,8.93,14.11,8.33,47.69,51.76,16.98,23.21,19.96,45.97
14,Marian Hossa,CHI,R,64,832.15,13.00234375,2.97,-0.2,1.38,1.76,0.29,0.88,1.67,-0.78,2.02,-0.21,-0.44,3.04,0.23,-0.03,2.93,3.1,-1.39,4.58,1.37,0.17,3.02,-0.05,-0.08,1.13,2.3,-2.08,5.85,-0.22,-0.17,-3.79,1.08,0.69,0.23,-0.01,-0.29,15.83,5.68,94.22,0.999,12.11,18.39,7.86,43.05,60.65,19.76,25.24,16.58,54.37
15,Jason Chimera,WSH,L,82,922.88333333333,11.254674796748,-3.89,5.04,-4.04,-2.06,4.21,-3.88,0.06,4.69,-4.05,-0.38,0.51,-9.99,0,0.36,-4.15,-0.4,3.5,-3.77,0.12,1.72,-3.86,-0.25,0.23,-9.00,-0.69,2.38,-3.69,0.33,0.34,-2.44,-5.06,2.02,-4.99,-0.54,0.03,-44.71,7.36,92.45,0.998,9.69,17.23,9.62,45.12,50.17,16.06,21.84,17.29,48.15
16,Brian Campbell,FLA,D,82,1394.3,17.003658536585,4.66,-7.36,6.08,3.82,-5.09,5.74,3.09,-3.51,5.83,0.85,-0.48,14.25,0.34,-0.22,6.87,4.66,-2.21,7.56,1.77,0.55,3.28,0.38,-0.19,11.02,3.86,-3.68,10.70,0.17,-0.47,21.64,0.18,-5.66,4.25,0.49,0.08,17.63,10.07,93.81,1.039,8.43,12.39,8.09,37.05,51.04,19.49,21,18.29,51.59
17,Andrew Ference,EDM,D,6,70.433333333333,11.738888888889,-2.41,8.75,-5.43,-2.08,7.35,-6.14,0.49,8.45,-6.62,-1.21,2.2,-25.00,-0.46,0.56,-12.36,0.31,5.13,-4.84,-3.33,1.73,-15.31,-0.9,0.52,-21.15,4.85,4.52,-0.24,-0.03,2.63,-35.00,-5.42,2.9,-6.25,-0.42,-0.42,-50.00,6.45,85.00,0.915,6.81,17.04,6.81,52.82,50.00,17.89,29.82,14.48,55.26
18,Pascal Dupuis,PIT,R,18,216.3,12.016666666667,-1.46,11.84,-5.47,-2.74,4.46,-4.30,-2.01,2.97,-4.06,1.09,0.64,4.04,0.16,0.26,-0.93,2.55,4.18,-1.27,2.97,2.44,1.85,0.77,1.07,-10.00,-0.56,2.32,-3.57,0.56,-0.29,21.67,-6.7,12.6,-11.88,-0.14,-0.31,-16.67,10.53,93.55,1.041,10.82,17.2,12.21,41.61,46.99,20.53,21.91,27.46,42.77
19,Dan Boyle,NYR,D,74,1134.7333333333,15.334234234234,4.41,-3.59,3.68,3.53,-0.59,2.63,2.34,-0.76,2.78,0.14,0.36,-2.99,0.15,-0.01,1.80,2.51,-1.72,4.16,0.57,0.76,-0.25,-0.15,-0.08,-1.12,2.58,-3.3,7.70,0.07,0.46,-16.67,3.51,-1.47,3.64,0.19,0.14,-1.62,8.69,92.48,1.012,8.78,12.37,5.71,51.5,60.58,19.67,18.51,12.9,60.39
20,Vincent Lecavalier,"L.A, PHI",C,49,535.85,10.935714285714,-14.6,6.01,-9.25,-9.36,0.98,-6.03,-3.68,1.8,-4.75,-0.52,-0.4,-1.02,-0.6,0.27,-10.46,-5.93,3.56,-9.62,-3.12,1.21,-11.19,-0.77,0.11,-19.14,-3.75,3.14,-8.61,0.07,-0.3,15.76,-11.42,2.84,-9.59,0.33,-0.36,35.71,6.43,93.98,1.004,12.09,12.2,10.3,49.16,54.00,23.29,19.04,20.04,53.75
21,David Legwand,BUF,C,79,564.91666666667,7.1508438818565,-5.78,-1.01,-2.55,-3.95,-1.05,-2.09,-0.41,-0.88,0.36,-0.04,0.52,-5.85,-0.36,-0.13,-3.57,-3.62,-1.81,-2.47,-1.36,-1.06,-1.16,-0.16,0.3,-8.71,-3.03,-1,-3.38,-0.35,-0.07,-16.67,-4.12,0.39,-3.28,0.58,0.39,10.61,6.64,90.94,0.976,10.83,12.43,7.33,58.2,59.65,16.25,18.69,15.4,51.34
22,Brad Stuart,COL,D,6,78.816666666667,13.136111111111,-9.97,-13.05,-0.04,-11.2,-16.26,2.29,-6.27,-10.68,3.01,-1.22,-0.54,-16.18,-0.53,-1.44,10.81,-3.9,-8.57,3.56,-3.91,-3.49,-6.37,-1.41,-0.93,-45.45,0.01,-6.77,10.23,-0.38,0.26,-33.33,-12.95,-6.32,-6.39,0.69,0.28,16.67,3.33,90.63,0.940,7.61,16.75,9.14,57.86,45.45,11.42,23.6,19.03,37.50
23,Alex Tanguay,"ARI, COL",L,70,880.13333333333,12.573333333333,6.62,2.88,2.10,5.37,2.43,2.16,5.5,1.56,3.65,1.21,-0.03,15.01,0.37,0.19,2.80,3.78,1.88,2.75,1.61,0.04,4.36,0.75,0.12,13.50,2.9,2.46,1.66,-0.08,-0.08,0.00,2.57,0.59,1.49,0.66,-0.05,29.17,8.77,94.05,1.028,11.04,13.02,8.18,45.27,57.45,19.97,19.22,16.91,54.16
24,Scott Gomez,"OTT, STL",C,34,319.31666666667,9.3916666666667,-4.21,8.76,-5.83,-0.13,10.9,-6.44,0.62,9.41,-6.90,-1.06,0.76,-22.58,0.09,0.99,-9.05,0.52,5.28,-4.17,0.35,4.44,-8.23,-0.43,0.88,-24.36,0.23,1.12,-1.04,-0.36,-0.35,-8.33,-3.43,2.68,-4.39,-0.52,0.21,-37.25,4.29,92.82,0.971,12.59,11.46,2.44,57.5,83.75,19.17,18.41,10.71,64.15
25,Mike Fisher,NSH,C,70,861.23333333333,12.303333333333,5.97,2.72,1.27,3.22,-0.81,2.43,1.83,-0.38,1.86,-0.58,0.46,-11.87,0.22,-0.08,3.57,3.58,0.39,3.06,1.38,-0.38,4.76,-0.16,0.32,-9.07,2.93,1.03,2.09,-0.31,-0.02,-8.65,2.3,1.71,0.24,-0.22,0.22,-19.89,5.82,90.53,0.963,12.75,16.16,11.91,42.36,51.69,20.83,22.99,20.62,50.25
26,Mike Ribeiro,NSH,C,81,1122.8,13.861728395062,7.65,-5.07,5.83,4.93,-0.55,3.24,3.22,1.47,1.28,0.99,-0.01,10.52,0.49,0.17,3.27,5.02,1.32,3.37,1.67,0.39,3.02,0.57,0.04,10.60,4.47,1.24,3.61,0.61,0.23,7.31,3.16,-6.86,7.16,-0.03,-0.32,16.27,8.99,92.50,1.015,16.19,14.54,0.48,45.42,97.12,25.17,18.65,4.49,84.86
27,Brad Richards,DET,C,68,797.98333333333,11.735049019608,4.86,-1.13,2.80,2.45,-0.45,1.80,1.67,0.15,1.30,-0.57,-1.12,7.34,-0.06,-0.16,1.15,0.51,-1.47,2.08,-0.3,0.05,-0.88,-0.32,-0.9,13.87,1.08,-2.03,4.30,-0.37,-0.17,-7.61,6.81,-1.37,5.77,0.11,-0.14,12.70,5.71,95.17,1.009,11.65,11.96,7.59,48.12,60.55,19.55,16.99,15.34,56.03
28,Francois Beauchemin,COL,D,82,1488.9333333333,18.157723577236,-0.89,2.83,-1.56,0.42,-1.45,1.08,0.51,-0.53,0.88,-0.38,-0.25,-1.87,-0.09,0.11,-2.36,-1.69,1.08,-2.99,-1.03,0.81,-4.75,-0.37,0.2,-11.55,-0.89,0.36,-1.76,0.01,-0.62,24.38,1.63,2.6,-0.37,0,0.01,-0.26,6.85,93.13,1.000,7.54,13.86,9.67,41.83,43.79,16.64,20.27,22.2,42.84
29,Brian Gionta,BUF,R,79,1074,13.594936708861,1.73,4.08,-0.94,0.98,2.97,-1.08,0.98,1.64,-0.47,0.06,-0.22,3.38,0.11,-0.07,2.27,2.56,0.65,2.21,-0.09,0.28,-0.98,-0.04,0.08,-2.35,3.54,0.49,4.41,0.61,-0.23,30.08,-2.52,4.45,-4.51,-0.48,-0.19,-31.98,6.69,93.38,1.001,6.87,14.25,10.34,42.35,39.94,14.69,21.96,21.01,41.16
30,Shawn Horcoff,ANA,C,59,654.9,11.1,-5.74,-0.48,-2.42,-4.63,0.16,-2.94,-1.63,-0.55,-0.88,-0.21,-0.38,2.03,-0.21,-0.25,0.85,-3.67,-2.18,-1.31,-0.88,-2.32,4.29,-0.4,-0.71,11.44,-3.72,0.19,-5.08,0.06,0.28,-5.66,-2.23,3.83,-4.27,0.25,0.22,5.56,6.21,93.33,0.995,10.17,16.49,12.19,45.9,45.49,16.31,22.72,22.81,41.69
31,Rob Scuderi,"CHI, L.A, PIT",D,63,865.91666666667,13.744708994709,-9.25,0.88,-4.67,-5.38,-0.17,-3.18,-3.66,0.62,-3.62,0.32,0.07,2.87,-0.2,-0.2,0.09,-2.3,-0.73,-1.64,-1,-1.21,0.53,0.15,-0.51,17.25,-1.73,0.63,-3.06,0.22,0.33,-4.29,-6.95,1.4,-5.68,0,0.48,-14.91,8.25,93.22,1.015,9.22,12.47,6.93,51.21,57.08,18.71,20.09,16.42,53.25
32,Chris Neil,OTT,R,80,735.11666666667,9.1889583333333,-1.72,-8.5,2.98,-1.05,-5.16,2.37,-1.75,-4.18,1.77,-0.6,-0.22,-4.63,-0.13,-0.37,2.69,-1.32,-4.7,3.12,-1.2,-1.83,1.36,-0.67,0.21,-21.43,-0.16,-3.84,4.28,0.51,-0.63,31.76,-1.78,-4.18,1.53,-0.45,0.06,-23.05,6.90,92.88,0.998,6.94,16.08,7.43,52.73,48.30,11.26,22.77,15.34,42.33
33,Andrei Markov,MTL,D,82,1391.2666666667,16.966666666667,1.32,4.05,-1.30,1.23,4.68,-2.20,-0.05,4.09,-3.54,0.34,-0.07,4.48,-0.1,0.07,-2.00,0.77,1.03,-0.26,-1.06,0.05,-2.66,0.07,-0.56,12.11,2.43,1.31,1.61,0.1,0.18,-2.37,1.12,4.87,-2.73,0.22,0.51,-19.43,8.12,92.71,1.008,10.44,14.15,8.88,39.37,54.02,21,23.46,20.48,50.62
