"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"585","Alexander Wennberg","CBJ","C","75","861.38333333333","0","15","9","6","15","46.88","49","0.00","4.6","80","64","54","26","2","5","4","2","2","0","0","2","23","24","27","47","30","284","291","49.39"
"611","Tomas Nosek","VGK","L","68","687.2","7","8","7","1","15","62.50","100","7.00","10.41","167","134","112","65","4","15","12","6","6","0","0","11","12","28","66","121","15","70","41","63.06"
"650","Ryan Donato","BOS, MIN","C","56","628.85","6","9","4","5","15","78.95","115","5.22","8.09","200","155","91","36","9","11","6","2","2","0","0","12","15","26","22","79","20","10","15","40.00"
"654","Warren Foegele","CAR","L","77","832.08333333333","10","5","3","2","15","60.00","94","10.64","11.64","178","138","108","65","4","17","12","6","6","0","0","23","27","29","123","109","13","8","10","44.44"
"677","Ondrej Kase","ANA","R","30","384.5","10","5","4","1","15","71.43","82","12.20","7.09","139","112","79","34","14","1","2","1","1","0","0","6","13","13","17","32","11","6","17","26.09"
"687","Rasmus Andersson","CGY","D","79","1095.3333333333","1","14","3","11","15","31.25","91","1.10","2.43","175","116","22","3","5","6","13","5","4","1","0","10","41","19","48","94","69","0","0","-"
"700","Erik Cernak","T.B","D","58","923.65","4","11","6","5","15","28.30","103","3.88","3.52","178","135","34","3","1","9","32","13","11","2","0","7","19","6","157","108","44","0","0","-"
"751","Denis Malgin","FLA","C","50","575.03333333333","7","8","5","3","15","71.43","59","11.86","4.92","104","81","60","23","3","4","12","6","6","0","0","5","13","12","37","58","16","31","53","36.90"
"831","Zach Aston-Reese","PIT","C","43","494.13333333333","6","9","3","6","15","68.18","67","8.96","5.34","114","92","56","33","4","4","21","9","8","1","0","6","9","11","134","68","30","6","8","42.86"
"840","Casey Mittelstadt","BUF","C","77","858.85","9","6","5","1","15","46.88","81","11.11","7.08","138","110","96","34","2","7","8","4","4","0","0","14","36","31","29","44","14","190","296","39.09"
"9","Niklas Kronwall","DET","D","79","1308.35","2","12","5","7","14","30.43","50","4.00","1.98","93","62","18","3","0","5","36","18","18","0","0","4","52","10","77","60","79","0","0","-"
"13","Jason Spezza","DAL","C","76","811.66666666667","6","8","2","6","14","66.67","90","6.67","6.68","160","125","74","34","6","5","16","8","8","0","0","3","47","19","14","34","30","401","288","58.20"
"71","Ryan Callahan","T.B","R","52","511.76666666667","5","9","7","2","14","63.64","72","6.94","5.93","106","92","64","34","5","9","8","4","4","0","0","6","8","20","88","37","16","2","5","28.57"
