id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
510,Ryan Stanton,WSH,D,1,8.6833333333333,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,-
511,Nate Prosser,MIN,D,54,540.91666666667,0,2,0,2,2,16.67,18,0.00,0.58,42,26,7,2,2,0,28,11,9,2,0,6,14,3,33,64,59,0,0,-
512,Matt Irwin,BOS,D,2,25.416666666667,0,0,0,0,0,0.00,3,0.00,0.06,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,-
513,Brandon Bollig,CGY,L,54,494.96666666667,2,2,0,2,4,40.00,55,3.64,2.74,94,78,34,8,8,2,69,19,12,5,2,1,8,11,116,49,25,2,1,66.67
514,Dave Dziurzynski,OTT,L,14,137.38333333333,1,3,1,2,4,100.00,13,7.69,0.97,20,18,12,5,1,0,4,2,2,0,0,0,2,2,54,20,7,3,4,42.86
515,Christopher Tanev,VAN,D,69,1156.25,1,10,4,6,11,33.33,32,3.13,1.33,80,49,20,1,2,4,2,1,1,0,0,9,31,11,16,153,124,0,0,-
516,Mats Zuccarello,NYR,R,81,1201.7666666667,18,21,16,5,39,69.64,116,15.52,9.48,208,160,128,41,5,7,18,8,8,0,0,17,31,52,85,64,60,5,4,55.56
517,Calle Jarnkrok,NSH,C,81,1037,11,12,5,7,23,57.50,100,11.00,9.27,164,132,104,36,3,4,8,4,4,0,0,10,14,24,35,91,14,258,264,49.43
518,Oscar Lindberg,NYR,C,68,734.28333333333,10,13,9,4,23,79.31,102,9.80,8.57,162,138,86,42,2,8,33,15,14,1,0,7,12,13,125,78,30,117,126,48.15
519,Martin Marincin,TOR,D,65,909.01666666667,1,4,3,1,5,17.86,51,1.96,1.4,173,85,27,1,0,6,26,12,12,0,0,4,36,18,33,78,40,0,0,-
520,Jason Zucker,MIN,L,71,964.63333333333,11,7,5,2,18,58.06,136,8.09,14.49,236,198,144,70,6,11,18,9,9,0,0,15,20,37,78,92,29,0,0,-
521,Tyler Toffoli,L.A,C,82,1071,20,16,9,7,36,65.45,161,12.42,15.51,329,243,195,76,16,21,14,7,7,0,0,8,30,22,67,76,14,0,1,0.00
522,Ryan Spooner,BOS,C,80,926.9,7,24,19,5,31,81.58,112,6.25,6.56,178,144,91,29,12,9,17,7,6,1,0,5,25,24,51,50,15,281,378,42.64
523,Johan Larsson,BUF,C,74,968.91666666667,8,4,2,2,12,48.00,74,10.81,8.46,156,113,90,39,7,4,21,9,8,1,0,13,12,19,107,105,30,346,329,51.26
524,Stephen Johns,DAL,D,14,232.63333333333,1,1,0,1,2,40.00,13,7.69,0.49,28,21,6,1,0,0,6,3,3,0,0,3,10,5,54,26,21,0,0,-
525,Greg McKegg,FLA,C,15,117.58333333333,2,0,0,0,2,66.67,13,15.38,0.96,22,17,13,6,2,0,2,1,1,0,0,1,1,4,20,11,6,46,55,45.54
526,Connor Brickley,FLA,C,23,197,1,4,4,0,5,100.00,11,9.09,0.87,16,15,10,3,1,0,8,4,4,0,0,1,3,4,45,34,5,0,0,-
527,Jordan Weal,"L.A, PHI",C,14,116.8,0,0,0,0,0,0.00,3,0.00,0.67,10,8,6,3,0,0,2,1,1,0,0,1,4,5,5,10,2,30,31,49.18
528,Evgeny Kuznetsov,WSH,C,82,1159.3166666667,11,40,29,11,51,77.27,143,7.69,10.74,224,184,135,51,2,6,24,12,12,0,0,15,45,52,64,50,26,459,504,47.66
529,Charlie Coyle,MIN,C,82,1148.1666666667,15,14,8,6,29,74.36,112,13.39,10.02,183,146,106,55,6,6,10,5,5,0,0,26,25,33,125,76,48,191,219,46.59
530,Patrik Nemeth,DAL,D,38,540.6,0,7,3,4,7,46.67,34,0.00,1.78,79,55,21,4,3,5,12,6,6,0,0,3,19,4,53,84,42,0,0,-
531,Christian Thomas,"ARI, MTL",L,6,53.133333333333,0,2,2,0,2,100.00,9,0.00,0.24,12,9,3,1,0,0,2,1,1,0,0,0,1,1,5,9,1,0,0,-
532,Jon Merrill,N.J,D,47,702.03333333333,1,3,2,1,4,19.05,27,3.70,1.01,52,38,12,0,1,4,22,11,11,0,0,3,15,7,45,92,46,0,0,-
533,Justin Faulk,CAR,D,64,1138.4833333333,4,11,5,6,15,38.46,96,4.17,3.75,219,135,50,8,3,14,16,8,8,0,0,7,31,35,84,56,60,0,0,-
534,Brock Nelson,NYI,C,81,1049.05,21,10,4,6,31,73.81,134,15.67,12.62,244,175,153,63,10,9,22,11,11,0,0,12,21,40,55,87,46,155,160,49.21
535,Alex Petrovic,FLA,D,66,961.51666666667,2,14,8,6,16,36.36,52,3.85,1.92,110,76,11,2,0,5,38,13,9,4,0,7,20,8,146,116,65,0,0,-
536,John McFarland,FLA,L,3,28.95,0,0,0,0,0,-,2,0.00,0.26,4,4,3,1,0,0,0,0,0,0,0,0,1,0,5,5,3,0,0,-
537,Brett Bulmer,MIN,R,3,19.95,0,0,0,0,0,-,2,0.00,0.04,2,2,0,0,0,0,7,2,1,1,0,3,0,0,2,3,0,0,0,-
538,Devante Smith-Pelly,"MTL, N.J",R,64,702.81666666667,14,9,3,6,23,82.14,86,16.28,7.37,134,115,73,44,7,5,16,8,8,0,0,15,15,7,99,96,20,0,3,0.00
539,Brandon Gormley,COL,D,26,305.61666666667,0,1,0,1,1,7.69,11,0.00,0.43,32,21,6,0,0,0,8,4,4,0,0,1,12,5,18,30,18,0,0,-
540,Nick Bjugstad,FLA,C,67,822.48333333333,9,8,5,3,17,58.62,115,7.83,9.83,179,146,112,48,8,10,16,8,8,0,0,13,16,18,81,50,25,371,362,50.61
541,Beau Bennett,PIT,R,33,330.85,5,3,1,2,8,61.54,44,11.36,3.02,76,56,39,12,4,5,6,3,3,0,0,1,6,5,61,47,5,0,2,0.00
542,Derek Forbort,L.A,D,14,143.85,1,1,0,1,2,50.00,14,7.14,0.61,30,18,8,2,1,3,12,6,6,0,0,1,3,0,9,16,7,0,0,-
543,Kevin Hayes,NYR,C,79,923.96666666667,11,18,10,8,29,72.50,107,10.28,9.76,205,156,99,53,1,17,10,5,5,0,0,5,35,23,57,63,19,125,229,35.31
