id,player_name,team,position,age,dob,birth_city,birth_state,birth_country,nationality,height,weight,draft_year,draft_team,draft_round,draft_round_pick,total_draft_pick
1,Roberto Luongo,FLA,G,41,1979-04-04,Montreal,-,CAN,-,75,215,1997,NYI,1,4,4
2,Craig Anderson,OTT,G,38,1981-05-21,Park Ridge,-,USA,-,74,186,2001,CHI,3,10,73
3,Ryan Miller,ANA,G,39,1980-07-17,East Lansing,-,USA,-,75,170,1999,BUF,5,12,138
4,Henrik Lundqvist,NYR,G,38,1982-03-02,Are,-,SWE,-,73,182,2000,NYR,7,8,205
5,Peter Budaj,T.B,G,37,1982-09-18,Banská Bystrica,-,SVK,-,73,196,2001,COL,2,33,63
6,Mike Smith,CGY,G,38,1982-03-22,Kingston,-,CAN,-,76,220,2001,DAL,5,30,161
7,Mike McKenna,DAL,G,37,1983-04-11,St. Louis,-,USA,-,74,183,2002,NSH,6,6,172
8,Kari Lehtonen,DAL,G,36,1983-11-16,Helsinki,-,FIN,-,76,209,2002,ATL,1,2,2
9,Curtis McElhinney,TOR,G,36,1983-05-23,London,-,CAN,-,74,204,2002,CGY,6,10,176
10,Cam Ward,CAR,G,36,1984-02-29,Saskatoon,-,CAN,-,73,194,2002,CAR,1,25,25
11,Marc-Andre Fleury,VGK,G,35,1984-11-28,Sorel,-,CAN,-,74,185,2003,PIT,1,1,1
12,Corey Crawford,CHI,G,35,1984-12-31,Montreal,-,CAN,-,74,216,2003,CHI,2,22,52
13,Jimmy Howard,DET,G,36,1984-03-26,Syracuse,-,USA,-,73,218,2003,DET,2,34,64
14,Jaroslav Halak,NYI,G,34,1985-05-13,Bratislava,-,SVK,-,71,185,2003,MTL,9,10,271
15,Brian Elliott,PHI,G,35,1985-04-09,Newmarket,-,CAN,-,74,209,2003,OTT,9,30,291
16,Al Montoya,"EDM, MTL",G,35,1985-02-13,Chicago,-,USA,-,74,200,2004,NYR,1,6,6
17,Devan Dubnyk,MIN,G,33,1986-05-04,Regina,-,CAN,-,78,224,2004,EDM,1,14,14
18,Cory Schneider,N.J,G,34,1986-03-18,Marblehead,-,USA,-,75,200,2004,VAN,1,26,26
19,Jeff Glass,CHI,G,34,1985-11-19,Calgary,-,CAN,-,75,206,2004,OTT,3,24,89
20,Thomas Greiss,NYI,G,34,1986-01-29,Fussen,-,DEU,-,73,232,2004,S.J,3,29,94
21,Anton Khudobin,BOS,G,33,1986-05-07,Ust-Kamenogorsk,-,KAZ,-,71,195,2004,MIN,7,13,206
22,Daniel Taylor,OTT,G,33,1986-04-28,Plymouth,-,GBR,-,72,198,2004,L.A,7,28,221
23,Pekka Rinne,NSH,G,37,1982-11-03,Kempele,-,FIN,-,77,217,2004,NSH,8,31,258
24,Carey Price,MTL,G,32,1987-08-16,Anahim Lake,-,CAN,-,75,217,2005,MTL,1,5,5
25,Tuukka Rask,BOS,G,33,1987-03-10,Savonlinna,-,FIN,-,75,176,2005,TOR,1,21,21
26,Ondrej Pavelec,NYR,G,32,1987-08-31,Kladno,-,CZE,-,75,212,2005,ATL,2,11,41
27,Jonathan Quick,L.A,G,34,1986-01-21,Milford,-,USA,-,73,216,2005,L.A,3,11,72
28,Ben Bishop,DAL,G,33,1986-11-21,Denver,-,USA,-,79,210,2005,STL,3,24,85
29,Alex Stalock,MIN,G,32,1987-07-28,St. Paul,-,USA,-,72,200,2005,S.J,4,21,112
30,Chad Johnson,BUF,G,33,1986-06-10,Saskatoon,-,CAN,-,75,197,2006,PIT,5,2,125
31,Steve Mason,WPG,G,31,1988-05-29,Oakville,-,CAN,-,76,188,2006,CBJ,3,6,69
32,Reto Berra,ANA,G,33,1987-01-03,Bulach,-,CHE,-,76,218,2006,STL,4,13,106
33,James Reimer,FLA,G,32,1988-03-15,Morweena,-,CAN,-,74,220,2006,TOR,4,6,99
34,Jonathan Bernier,COL,G,31,1988-08-07,Laval,-,CAN,-,72,185,2006,L.A,1,11,11
35,Semyon Varlamov,COL,G,31,1988-04-27,Samara,-,RUS,-,74,205,2006,WSH,1,23,23
36,Michal Neuvirth,PHI,G,32,1988-03-23,Ústí nad Labem,-,CZE,-,73,209,2006,WSH,2,4,34
37,Scott Darling,CAR,G,31,1988-12-22,Newport News,-,USA,-,78,226,2007,PHX,6,2,153
38,Antti Niemi,"FLA, MTL, PIT",G,36,1983-08-29,Vantaa,-,FIN,-,74,209,-,-,-,-,-
39,Jacob Markstrom,VAN,G,30,1990-01-31,Gävle,-,SWE,-,78,206,2008,FLA,2,1,31
40,Jake Allen,STL,G,29,1990-08-07,Fredericton,-,CAN,-,74,203,2008,STL,2,4,34
41,Michael Hutchinson,WPG,G,30,1990-03-02,Barrie,-,CAN,-,75,198,2008,BOS,3,16,77
42,Braden Holtby,WSH,G,30,1989-09-16,Lloydminster,-,CAN,-,74,214,2008,WSH,4,2,93
43,Harri Sateri,FLA,G,30,1989-12-29,Toijala,-,FIN,-,73,205,2008,S.J,4,15,106
44,Martin Jones,S.J,G,30,1990-01-10,North Vancouver,-,CAN,-,76,190,-,-,-,-,-
45,Anders Nilsson,VAN,G,30,1990-03-19,Lulea,-,SWE,-,78,232,2009,NYI,3,1,62
46,Robin Lehner,BUF,G,28,1991-07-24,Gothenburg,-,SWE,-,76,240,2009,OTT,2,16,46
47,J-F Berube,CHI,G,28,1991-07-13,Repentigny,-,CAN,-,73,177,2009,L.A,4,4,95
48,Darcy Kuemper,"ARI, L.A",G,29,1990-05-05,Saskatoon,-,CAN,-,77,215,2009,MIN,6,10,161
49,Carter Hutton,STL,G,34,1985-12-19,Thunder Bay,-,CAN,-,73,202,-,-,-,-,-
50,Cam Talbot,EDM,G,32,1987-07-05,Caledonia,-,CAN,-,76,196,-,-,-,-,-
51,Eddie Lack,"CGY, N.J",G,32,1988-01-05,Norrtälje,-,SWE,-,76,187,-,-,-,-,-
52,Sergei Bobrovsky,CBJ,G,31,1988-09-20,Novokuznetsk,-,RUS,-,74,187,-,-,-,-,-
53,Calvin Pickard,TOR,G,28,1992-04-15,Moncton,-,CAN,-,73,210,2010,COL,2,19,49
54,Jack Campbell,L.A,G,28,1992-01-09,Port Huron,-,USA,-,74,197,2010,DAL,1,11,11
55,Scott Wedgewood,ARI,G,27,1992-08-14,Brampton,-,CAN,-,74,195,2010,N.J,3,24,84
56,Philipp Grubauer,WSH,G,28,1991-11-25,Rosenheim,-,DEU,-,73,188,2010,WSH,4,22,112
57,Louis Domingue,"ARI, T.B",G,28,1992-03-06,St-Hyacinthe,-,CAN,-,75,208,2010,PHX,5,18,138
58,Petr Mrazek,"DET, PHI",G,28,1992-02-14,Ostrava,-,CZE,-,74,190,2010,DET,5,21,141
59,Frederik Andersen,TOR,G,30,1989-10-02,Herning,-,DNK,-,76,238,2012,ANA,3,26,87
60,Keith Kinkaid,N.J,G,30,1989-07-04,Farmingville,-,USA,-,75,186,-,-,-,-,-
61,Laurent Brossoit,EDM,G,27,1993-03-23,Port Alberni,-,CAN,-,75,204,2011,CGY,6,13,164
62,Adam Wilcox,BUF,G,27,1992-11-26,South St. Pau,-,USA,-,72,189,2011,T.B,6,27,178
63,Anton Forsberg,CHI,G,27,1992-11-27,Härnösand,-,SWE,-,75,192,2011,CBJ,7,7,188
64,John Gibson,ANA,G,26,1993-07-14,Pittsburgh,-,USA,-,75,207,2011,ANA,2,9,39
65,Christopher Gibson,NYI,G,27,1992-12-27,Karkkila,-,FIN,-,73,207,2011,L.A,2,19,49
66,Maxime Lagace,VGK,G,27,1993-01-12,Saint-Augustin,-,CAN,-,74,190,-,-,-,-,-
67,Oscar Dansk,VGK,G,26,1994-02-28,Stockholm,-,SWE,-,75,195,2012,CBJ,2,1,31
