id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
58,Cam Talbot,EDM,56,2542.8166666667,1281,1178,103,0.920,2.43,-6.84,93.13,306,250,56,0.817,1.32,-5.10,357,330,27,0.924,0.64,0.40,577,559,18,0.969,0.42,-2.50,56,107,35.37,25.59
59,Eddie Lack,CAR,34,1549.5833333333,762,693,69,0.909,2.67,-11.80,67.13,229,190,39,0.830,1.51,-0.91,196,169,27,0.862,1.05,-11.96,318,315,3,0.991,0.12,5.54,22,86,32.14,18.43
60,Ben Scrivens,MTL,15,637.3,345,320,25,0.928,2.35,0.90,23.45,87,67,20,0.770,1.88,-5.53,79,75,4,0.949,0.38,2.06,164,163,1,0.994,0.09,3.41,10,27,36.88,16.80
61,Sergei Bobrovsky,CBJ,37,1682.1,815,746,69,0.915,2.46,-7.82,61.02,200,162,38,0.810,1.36,-4.74,223,206,17,0.924,0.61,0.11,366,352,14,0.962,0.50,-4.17,33,78,36.45,23.20
62,Calvin Pickard,COL,20,761.41666666667,416,386,30,0.928,2.36,1.23,32.06,123,104,19,0.846,1.50,1.46,103,98,5,0.951,0.39,2.91,176,170,6,0.966,0.47,-1.27,18,34,34.88,19.23
63,Scott Wedgewood,N.J,4,189.01666666667,86,84,2,0.977,0.63,4.46,6.26,19,18,1,0.947,0.32,2.16,22,22,0,1.000,0.00,1.69,42,41,1,0.976,0.32,0.13,7,7,34.35,39.00
64,Philipp Grubauer,WSH,22,875.31666666667,400,369,31,0.923,2.12,-0.97,30.7,102,87,15,0.853,1.03,1.97,115,104,11,0.904,0.75,-2.17,159,154,5,0.969,0.34,-0.73,29,36,35.75,24.13
65,Louis Domingue,ARI,39,1699.5833333333,891,830,61,0.932,2.15,5.88,64.94,208,172,36,0.827,1.27,-1.40,250,238,12,0.952,0.42,7.19,396,385,11,0.972,0.39,-0.36,33,94,36.56,23.28
66,Petr Mrazek,DET,54,2314.2333333333,1111,1034,77,0.931,2.00,6.40,80.56,288,245,43,0.851,1.11,4.90,265,245,20,0.925,0.52,0.34,513,499,14,0.973,0.36,-0.22,27,87,35.63,21.21
67,Frederik Andersen,ANA,43,1787.9166666667,824,766,58,0.930,1.95,3.85,59.81,211,181,30,0.858,1.01,5.09,203,189,14,0.931,0.47,1.58,367,354,13,0.965,0.44,-3.14,38,64,35.92,25.64
