id,player_name,team,position,gp,toi,toi_per_gp,cf_60_rel,ca_60_rel,cf_pcg_rel,ff_60_rel,fa_60_rel,ff_pcg_rel,sf_60_rel,sa_60_rel,sf_pcg_rel,gf_60_rel,ga_60_rel,gf_pcg_rel,xgf_60_rel,xga_60_rel,xgf_pcg_rel,scf_60_rel,sca_60_rel,scf_pcg_rel,hdcf_60_rel,hdca_60_rel,hdcf_pcg_rel,hdgf_60_rel,hdga_60_rel,hdgf_pcg_rel,mdcf_60_rel,mdca_60_rel,mdcf_pcg_rel,mdgf_60_rel,mdga_60_rel,mdgf_pcg_rel,ldcf_60_rel,ldca_60_rel,ldcf_pcg_rel,ldgf_60_rel,ldga_60_rel,ldgf_pcg_rel,on_ice_sh_pcg,on_ice_sv_pcg,pdo,ozs_60,nzs_60,dzs_60,on_the_fly_starts_60,ozs_pcg,ozfo_60,nzfo_60,dzfo_60,ozfo_pcg
1,Jaromir Jagr,"FLA, N.J",R,77,1094.05,14.208441558442,5.87,-4.63,5.41,4.38,-3.42,5.30,4.49,-2.65,6.61,0.69,0.16,6.30,0.4,-0.17,7.38,5.46,-0.93,7.11,1.43,-1.91,10.15,0.27,-0.1,9.61,5.37,1.31,5.24,0.38,0.25,4.12,-0.61,-4.98,3.31,0.12,0.11,-2.07,8.37,92.50,1.009,9.82,14.42,7.9,41.63,55.42,18.65,21.55,16.62,52.88
2,Sergei Gonchar,"DAL, MTL",D,48,698.21666666667,14.546180555556,-5.24,1.97,-3.23,-3.54,2.85,-3.96,-1.14,1.27,-2.08,-0.23,-0.6,6.08,-0.16,-0.15,-0.19,-0.23,-1.14,0.86,0.03,-0.46,1.22,-0.33,-0.06,-6.62,-0.34,-0.91,0.62,0.34,-0.62,36.66,-4.54,3.82,-5.44,-0.17,-0.11,-2.63,6.94,95.49,1.024,8.34,13.92,8.08,44.43,50.79,17.79,19.25,18.13,49.52
3,Kimmo Timonen,CHI,D,16,182.16666666667,11.385416666667,-12.07,9.46,-9.50,-8.65,8.52,-10.14,-4.42,8.19,-9.38,-2.02,-0.12,-31.78,-0.67,0.72,-15.19,-7.91,7.87,-15.36,-4.51,2.47,-16.86,-0.97,-0.2,-15.38,-4.54,7.21,-14.62,-0.89,0.5,-70.00,-5.47,2.5,-5.15,-0.55,-0.41,-57.14,2.25,96.61,0.989,13.17,15.15,6.59,57.97,66.67,25.69,25.03,13.5,65.55
4,Patrik Elias,N.J,C,69,867.8,12.576811594203,-1.26,-1.48,0.06,-0.37,-0.57,0.10,-0.84,1.75,-2.35,-0.2,0.65,-10.69,-0.03,0.24,-3.30,0.37,1.37,-1.08,0.19,2.67,-6.41,-0.22,0.61,-18.75,0.23,-1.73,2.81,0.18,0.21,-0.16,-1.92,-4.02,1.52,-0.14,-0.17,2.61,6.63,91.88,0.985,7.74,15.76,9.96,44.94,43.75,14.38,23.23,20.12,41.68
5,Bryce Salvador,N.J,D,15,213.78333333333,14.252222222222,-9.45,4.95,-7.73,-10.22,1.26,-8.46,-7.3,2.51,-9.34,-1.16,1.1,-26.67,-0.16,0.15,-4.37,-3.62,3.85,-9.27,0.72,1.65,-2.83,0.27,0.67,-9.40,-5.79,2.93,-13.63,-0.98,0.31,-54.55,-11.37,-0.03,-8.48,-1.01,0.28,-39.39,6.41,90.57,0.970,5.61,16.84,9.26,52.2,37.74,12.91,23.86,17.68,42.20
6,Eric Boulton,NYI,L,10,71.05,7.105,-12.45,5.49,-7.97,-6.21,6.8,-7.36,-6.88,1.33,-7.10,-0.88,-0.45,-4.55,-0.52,0.04,-6.07,-7.67,5.03,-12.41,-1.84,0.71,-5.70,0.41,0.41,0.00,-7.77,5.77,-17.54,-1.52,-0.57,-72.73,-5.8,2.6,-5.51,-0.21,-0.62,-25.00,6.67,94.44,1.011,12.67,11.82,1.69,59.11,88.24,16.89,19.42,4.22,80.00
7,Shane Doan,ARI,R,79,1164.75,14.743670886076,3.48,0.07,1.53,2.88,2.01,0.63,2.5,0.59,1.71,0.29,0.15,2.74,0.07,0.2,-1.33,1.34,0.86,0.65,0.17,0.92,-1.60,0.27,0.24,4.13,1.56,-0.09,2.15,0.15,0,4.01,3.9,-1.4,3.41,-0.13,-0.11,-3.33,6.20,91.34,0.975,10.71,14.27,9.43,39.41,53.20,20.19,21.22,18.65,51.99
8,Jarome Iginla,COL,R,82,1176.85,14.351829268293,0.4,6.83,-2.42,-0.61,5.54,-3.37,-0.63,3.62,-3.31,0.61,0.18,4.37,0.18,0.43,-1.77,3.29,4.5,-0.20,1.3,1.74,0.00,0.32,0.2,2.15,2.65,3.68,-0.34,0.56,-0.06,16.97,-4.3,2.14,-4.71,-0.12,0.04,-7.37,10.51,92.80,1.033,9.28,14.84,9.74,39.67,48.79,16.16,20.9,20.34,44.27
9,Stephane Robidas,TOR,D,52,742.25,14.274038461538,-8.4,-0.71,-3.78,-6.45,2.56,-5.51,-6.18,1.28,-6.57,-0.58,-1.17,7.49,-0.44,-0.09,-4.50,-3.55,-2.43,-1.68,-1.8,-0.37,-4.03,-0.37,-0.74,8.20,-2.34,-2.74,-0.11,0.29,-0.23,13.61,-6.72,3.72,-7.11,-0.57,-0.31,-8.06,8.55,95.02,1.036,8.41,13.26,8,44.94,51.23,17.7,21.99,18.27,49.21
10,Chris Phillips,OTT,D,36,592.63333333333,16.462037037037,-7.81,3.92,-5.42,-6.19,2.06,-5.22,-4.06,1.46,-4.72,-0.76,-0.73,-1.05,-0.27,0.28,-6.38,-3.92,3.01,-7.22,-2.38,0.43,-7.35,-0.54,-0.08,-6.93,-2.05,3.44,-7.10,-0.42,-0.3,-8.33,-4.67,1.75,-4.31,0.13,-0.62,26.67,7.14,94.13,1.013,8.91,13.97,8.61,37.26,50.87,18.83,23.39,20.45,47.94
11,Daniel Briere,COL,C,57,604.55,10.606140350877,-4.59,-0.97,-2.05,-2.12,-0.09,-1.43,-0.86,-0.41,-0.48,-1.05,-0.09,-12.90,-0.44,-0.18,-4.54,-4.13,-1.01,-4.23,-0.51,-0.45,-0.57,-0.81,-0.3,-14.58,-4.83,-0.75,-6.89,-0.37,0.05,-14.55,1.52,1.4,0.35,0.05,0.25,-6.43,5.26,93.25,0.985,12.51,12.8,9.63,41.98,56.50,19.95,18.06,19.55,50.50
12,Dainius Zubrus,N.J,C,74,941.48333333333,12.722747747748,-4.68,-1.97,-1.66,-3.73,-0.44,-2.52,-3.54,-0.47,-3.31,-0.44,0.17,-8.48,-0.28,0.17,-5.92,-3.91,-0.04,-4.77,-1.14,2.16,-8.98,-0.18,0.25,-10.54,-3.7,-2.94,-1.49,-0.08,0.27,-12.48,-0.75,-2.68,1.37,-0.38,-0.41,7.37,7.00,93.11,1.001,7.97,14.91,9.24,46.08,46.30,12.17,20.78,19.63,38.28
13,Matt Cullen,NSH,C,62,709.33333333333,11.440860215054,-1.71,-1.1,-0.18,0.7,-0.92,1.00,1.59,2.1,-0.66,0.42,0.07,3.10,0.15,-0.06,2.49,0.15,-0.75,1.01,1.73,0.42,3.14,0.28,0.05,3.34,-2.11,-1.56,-0.18,0.22,-0.23,13.06,-0.55,1.53,-1.35,-0.03,0.27,-15.38,8.33,93.27,1.016,15.31,14.13,9.22,44.49,62.41,23.01,21.32,18.78,55.06
14,Zdeno Chara,BOS,D,63,1090.4,17.307936507937,8.94,0.5,3.69,6.08,1.41,2.76,5.57,0.42,4.17,-0.12,0.08,-2.43,0.29,0.12,1.93,4.46,1.66,2.83,0.98,0.12,2.23,-0.13,-0.04,-1.90,4.64,2.06,3.34,-0.01,0.11,-3.57,4.99,-2.35,4.62,0.08,0.09,-2.78,5.76,92.78,0.985,7.59,12.27,9.96,48.48,43.26,17.77,20.69,21.13,45.69
15,Michal Rozsival,CHI,D,65,1007.55,15.500769230769,0.75,-1.31,0.93,-0.47,-0.06,-0.24,-0.86,-0.38,-0.36,-0.05,0.5,-6.57,-0.09,0.06,-1.65,-0.25,-1.23,1.02,-0.12,0.2,-0.78,-0.14,0.39,-10.64,-0.16,-1.91,2.33,0.24,0.04,4.94,0.66,0.17,0.30,-0.14,0.15,-23.81,7.17,92.23,0.994,8.58,11.97,6.91,48.53,55.38,19.47,18.1,15.54,55.61
16,Craig Adams,PIT,R,70,492.38333333333,7.0340476190476,-14.56,-2.51,-5.96,-11.08,-1.72,-6.24,-7.95,-2.41,-4.88,-1.21,-0.53,-10.04,-0.74,-0.05,-8.86,-6.81,1.04,-8.95,-3.29,0.4,-10.80,-0.7,-0.67,1.79,-4.69,0.85,-7.78,-0.39,0.23,-21.05,-8.14,-4.13,-2.59,-0.32,-0.05,-21.84,5.13,93.60,0.987,7.43,14.38,4.26,56.05,63.54,11.58,19.62,11.21,50.80
17,Willie Mitchell,FLA,D,66,1127.95,17.090151515152,-1.71,3.72,-2.57,-2.42,1.62,-2.47,-2.28,1.17,-2.88,0.11,0.12,-0.19,0.06,-0.04,1.26,-0.79,0.94,-1.90,0.83,-0.89,4.89,0.45,-0.15,11.79,-2.16,2.44,-6.15,-0.41,0.42,-24.32,-2.19,3.29,-3.62,-0.13,-0.07,-3.75,7.87,92.24,1.001,6.17,15.64,9.52,41.38,39.32,16.28,24.68,23.41,41.02
18,Matt Cooke,MIN,L,29,297.66666666667,10.264367816092,-12.98,7.87,-10.00,-9.75,4.06,-9.01,-7.55,0.36,-7.16,-0.61,-0.15,-5.08,-0.84,0.25,-13.60,-7.48,6.35,-14.91,-4.15,-0.55,-9.61,-0.41,-0.36,-0.88,-4.44,9.2,-17.25,-0.13,-0.04,-4.17,-7.02,0.08,-5.17,-0.14,0.34,-25.00,8.40,91.30,0.997,9.27,13.51,9.47,51.2,49.46,16.13,22.37,22.17,42.11
19,Shawn Thornton,FLA,L,46,434.78333333333,9.4518115942029,-5.33,-1.92,-1.67,-5.91,-0.86,-3.32,-4.87,1.52,-5.67,-1.54,0.83,-30.56,-0.62,-0.04,-7.99,-8.12,0.15,-10.30,-3.35,-0.16,-10.23,-0.63,0.33,-23.38,-6.36,0.41,-10.32,-0.49,0.29,-26.35,0.52,-1.34,1.23,-0.78,0.46,-59.26,3.80,90.83,0.946,8,12.01,7.45,53.54,51.79,18.35,19.73,18.22,50.19
20,Joe Thornton,S.J,C,78,1084.6,13.905128205128,12.23,-10.41,9.66,8.86,-8.53,10.39,5.84,-4.23,8.47,0.29,0.28,0.36,0.6,-0.3,9.75,5.05,-2.81,7.57,2.16,-0.78,6.71,0.37,-0.17,10.67,3.86,-2.71,8.15,0.27,0.21,2.27,8.51,-9.21,11.47,-0.41,0.42,-43.33,6.71,90.64,0.973,12.28,14.94,13,44.53,48.58,25.28,22.52,25.28,50.00
21,Patrick Marleau,S.J,"C, L",82,1144.2166666667,13.953861788618,2.28,5.16,-1.29,2.57,5.08,-1.54,1.42,3.75,-1.96,0.09,0.49,-3.95,0.32,0.56,-2.57,3.2,5.56,-2.31,1.57,2.45,-2.31,0.02,0.15,-1.95,2.17,4.15,-2.33,0.22,0.5,-7.14,-0.33,-0.39,0.05,-0.14,-0.05,-2.78,7.06,91.54,0.986,10.54,15.52,10.02,44.89,51.28,19.82,23.75,20.98,48.59
22,Olli Jokinen,"NSH, STL, TOR",C,62,698.88333333333,11.272311827957,-5.58,-2.21,-1.41,-2.16,-1.78,-0.10,-2.26,-2.28,0.29,-1.41,-1.21,5.57,-0.21,-0.11,-0.92,-3.34,-3.19,0.35,-1.3,-0.93,-0.88,-0.67,-0.86,15.55,-2.72,-3.02,1.07,-0.58,-0.34,-1.90,-2.89,-0.71,-1.31,-0.44,-0.13,-11.76,4.65,96.98,1.016,11.25,15.8,11.07,44.13,50.38,19.57,21.38,20.86,48.41
