Date,Visitor,G,Home,G,,Att.,LOG,Notes
2018-10-03,Anaheim Ducks,5,San Jose Sharks,2,,17562,2:25,
2018-10-03,Montreal Canadiens,2,Toronto Maple Leafs,3,OT,19589,2:37,
2018-10-03,Calgary Flames,2,Vancouver Canucks,5,,18870,2:31,
2018-10-03,Boston Bruins,0,Washington Capitals,7,,18506,2:30,
2018-10-04,Boston Bruins,4,Buffalo Sabres,0,,19070,2:35,
2018-10-04,New York Islanders,2,Carolina Hurricanes,1,OT,18680,2:34,
2018-10-04,Minnesota Wild,1,Colorado Avalanche,4,,18086,2:37,
2018-10-04,Arizona Coyotes,0,Dallas Stars,3,,18532,2:34,
2018-10-04,Columbus Blue Jackets,3,Detroit Red Wings,2,OT,19515,2:43,
2018-10-04,Nashville Predators,3,New York Rangers,2,,17117,2:31,
2018-10-04,Chicago Blackhawks,4,Ottawa Senators,3,OT,15858,2:38,
2018-10-04,Washington Capitals,6,Pittsburgh Penguins,7,OT,18627,2:39,
2018-10-04,Winnipeg Jets,5,St. Louis Blues,1,,18292,2:35,
2018-10-04,Philadelphia Flyers,5,Vegas Golden Knights,2,,18555,2:24,
2018-10-05,Carolina Hurricanes,3,Columbus Blue Jackets,1,,18306,2:35,
2018-10-05,San Jose Sharks,3,Los Angeles Kings,2,OT,18230,2:36,
2018-10-06,Anaheim Ducks,1,Arizona Coyotes,0,,17125,2:24,
2018-10-06,New York Rangers,1,Buffalo Sabres,3,,16824,2:45,
2018-10-06,Vancouver Canucks,4,Calgary Flames,7,,18688,2:39,
2018-10-06,Philadelphia Flyers,2,Colorado Avalanche,5,,16768,2:33,
2018-10-06,Winnipeg Jets,1,Dallas Stars,5,,18131,2:36,
2018-10-06,Vegas Golden Knights,2,Minnesota Wild,1,SO,19077,3:18,
2018-10-06,Edmonton Oilers,2,New Jersey Devils,5,,12044,2:31,
2018-10-06,Nashville Predators,4,New York Islanders,3,,12163,2:25,
2018-10-06,Montreal Canadiens,5,Pittsburgh Penguins,1,,18622,2:26,
2018-10-06,Chicago Blackhawks,5,St. Louis Blues,4,OT,17429,2:39,
2018-10-06,Florida Panthers,1,Tampa Bay Lightning,2,SO,19092,2:39,
2018-10-06,Ottawa Senators,5,Toronto Maple Leafs,3,,19321,2:35,
2018-10-07,New York Rangers,5,Carolina Hurricanes,8,,13526,2:37,
2018-10-07,Toronto Maple Leafs,7,Chicago Blackhawks,6,OT,21812,2:31,
2018-10-07,Detroit Red Wings,2,Los Angeles Kings,4,,18230,2:43,
2018-10-08,Detroit Red Wings,2,Anaheim Ducks,3,SO,17436,2:44,
2018-10-08,Ottawa Senators,3,Boston Bruins,6,,17565,2:33,
2018-10-08,Vegas Golden Knights,2,Buffalo Sabres,4,,16004,2:20,
2018-10-08,San Jose Sharks,0,New York Islanders,4,,8790,2:26,
2018-10-09,Vancouver Canucks,3,Carolina Hurricanes,5,,11932,2:35,
2018-10-09,Colorado Avalanche,2,Columbus Blue Jackets,5,,11694,2:27,
2018-10-09,Toronto Maple Leafs,7,Dallas Stars,4,,17866,2:30,
2018-10-09,Calgary Flames,3,Nashville Predators,0,,17209,2:32,
2018-10-09,San Jose Sharks,8,Philadelphia Flyers,2,,19133,2:34,
2018-10-09,Los Angeles Kings,1,Winnipeg Jets,2,,15321,2:27,
2018-10-10,Arizona Coyotes,3,Anaheim Ducks,2,SO,17015,2:30,
2018-10-10,Philadelphia Flyers,7,Ottawa Senators,4,,13215,2:38,
2018-10-10,Vegas Golden Knights,2,Washington Capitals,5,,18506,2:40,
2018-10-11,Edmonton Oilers,1,Boston Bruins,4,,17565,2:28,
2018-10-11,Colorado Avalanche,6,Buffalo Sabres,1,,15396,2:30,
2018-10-11,Toronto Maple Leafs,5,Detroit Red Wings,3,,19515,2:32,
2018-10-11,Columbus Blue Jackets,5,Florida Panthers,4,,14394,2:34,
2018-10-11,Chicago Blackhawks,3,Minnesota Wild,4,OT,18652,2:42,
2018-10-11,Los Angeles Kings,3,Montreal Canadiens,0,,21302,2:33,
2018-10-11,Washington Capitals,0,New Jersey Devils,6,,16514,2:31,
2018-10-11,Winnipeg Jets,0,Nashville Predators,3,,17228,2:30,
2018-10-11,San Jose Sharks,2,New York Rangers,3,OT,17004,2:31,
2018-10-11,Vegas Golden Knights,2,Pittsburgh Penguins,4,,18610,2:27,
2018-10-11,Calgary Flames,3,St. Louis Blues,5,,16403,2:37,
2018-10-11,Vancouver Canucks,4,Tampa Bay Lightning,1,,19092,2:23,
2018-10-13,Buffalo Sabres,3,Arizona Coyotes,0,,15304,2:32,
2018-10-13,Detroit Red Wings,2,Boston Bruins,8,,17565,2:40,
2018-10-13,St. Louis Blues,3,Chicago Blackhawks,4,OT,21634,2:38,
2018-10-13,Calgary Flames,3,Colorado Avalanche,2,OT,17334,2:34,
2018-10-13,Anaheim Ducks,3,Dallas Stars,5,,18532,2:38,
2018-10-13,Vancouver Canucks,3,Florida Panthers,2,,11953,2:32,
2018-10-13,Carolina Hurricanes,5,Minnesota Wild,4,OT,18715,2:56,
2018-10-13,Pittsburgh Penguins,3,Montreal Canadiens,4,SO,21302,3:23,
2018-10-13,New York Islanders,2,Nashville Predators,5,,17208,2:34,
2018-10-13,Edmonton Oilers,2,New York Rangers,1,,17085,2:24,
2018-10-13,Los Angeles Kings,1,Ottawa Senators,5,,15355,2:29,
2018-10-13,Vegas Golden Knights,1,Philadelphia Flyers,0,,19067,2:19,
2018-10-13,Columbus Blue Jackets,2,Tampa Bay Lightning,8,,19092,2:36,
2018-10-13,Toronto Maple Leafs,4,Washington Capitals,2,,18506,2:21,
2018-10-14,San Jose Sharks,2,New Jersey Devils,3,,13809,2:35,
2018-10-14,Anaheim Ducks,3,St. Louis Blues,2,,16562,2:36,
2018-10-14,Carolina Hurricanes,1,Winnipeg Jets,3,,15321,2:33,
2018-10-15,Detroit Red Wings,3,Montreal Canadiens,7,,20323,2:40,
2018-10-15,Minnesota Wild,2,Nashville Predators,4,,17165,2:32,
2018-10-15,Dallas Stars,1,Ottawa Senators,4,,12358,2:30,
2018-10-15,Los Angeles Kings,1,Toronto Maple Leafs,4,,19429,2:25,
2018-10-16,Arizona Coyotes,1,Minnesota Wild,2,,18795,2:35,
2018-10-16,Dallas Stars,0,New Jersey Devils,3,,12808,2:33,
2018-10-16,Colorado Avalanche,2,New York Rangers,3,SO,17251,2:43,
2018-10-16,Florida Panthers,5,Philadelphia Flyers,6,SO,19038,2:48,
2018-10-16,Vancouver Canucks,3,Pittsburgh Penguins,2,OT,18492,2:24,
2018-10-16,Carolina Hurricanes,2,Tampa Bay Lightning,4,,19092,2:37,
2018-10-16,Buffalo Sabres,1,Vegas Golden Knights,4,,18321,2:38,
2018-10-16,Edmonton Oilers,5,Winnipeg Jets,4,OT,15321,2:29,
2018-10-17,New York Islanders,1,Anaheim Ducks,4,,16909,2:30,
2018-10-17,Boston Bruins,2,Calgary Flames,5,,17641,2:25,
2018-10-17,St. Louis Blues,2,Montreal Canadiens,3,,20137,2:22,
2018-10-17,New York Rangers,3,Washington Capitals,4,OT,18506,2:34,
2018-10-18,Philadelphia Flyers,3,Columbus Blue Jackets,6,,13492,2:20,
2018-10-18,Arizona Coyotes,4,Chicago Blackhawks,1,,21210,2:31,
2018-10-18,Boston Bruins,2,Edmonton Oilers,3,OT,18347,2:26,
2018-10-18,New York Islanders,7,Los Angeles Kings,2,,18230,2:34,
2018-10-18,Colorado Avalanche,5,New Jersey Devils,3,,13374,2:41,
2018-10-18,Buffalo Sabres,1,San Jose Sharks,5,,17389,2:33,
2018-10-18,Detroit Red Wings,1,Tampa Bay Lightning,3,,19092,2:43,
2018-10-18,Pittsburgh Penguins,3,Toronto Maple Leafs,0,,19483,2:28,
2018-10-18,Vancouver Canucks,1,Winnipeg Jets,4,,15321,2:32,
2018-10-19,Nashville Predators,5,Calgary Flames,3,,18725,2:36,
2018-10-19,Minnesota Wild,3,Dallas Stars,1,,18346,2:18,
2018-10-19,Florida Panthers,6,Washington Capitals,5,SO,18506,2:56,
2018-10-20,Colorado Avalanche,3,Carolina Hurricanes,1,,11753,2:30,
2018-10-20,Chicago Blackhawks,4,Columbus Blue Jackets,1,,17005,2:29,
2018-10-20,Nashville Predators,3,Edmonton Oilers,0,,18347,2:29,
2018-10-20,Detroit Red Wings,4,Florida Panthers,3,OT,14534,2:44,
2018-10-20,Buffalo Sabres,5,Los Angeles Kings,1,,18230,2:38,
2018-10-20,Tampa Bay Lightning,4,Minnesota Wild,5,OT,19080,2:42,
2018-10-20,Montreal Canadiens,3,Ottawa Senators,4,OT,18442,2:37,
2018-10-20,New Jersey Devils,2,Philadelphia Flyers,5,,19105,2:35,
2018-10-20,New York Islanders,1,San Jose Sharks,4,,17414,2:31,
2018-10-20,St. Louis Blues,4,Toronto Maple Leafs,1,,19268,2:31,
