id,player_name,team,position,age,dob,birth_city,birth_state,birth_country,nationality,height,weight,draft_year,draft_team,draft_round,draft_round_pick,total_draft_pick
1,Roberto Luongo,FLA,G,41,1979-04-04,Montreal,-,CAN,-,75,215,1997,NYI,1,4,4
2,Craig Anderson,OTT,G,38,1981-05-21,Park Ridge,-,USA,-,74,186,2001,CHI,3,10,73
3,Ryan Miller,ANA,G,39,1980-07-17,East Lansing,-,USA,-,75,170,1999,BUF,5,12,138
4,Henrik Lundqvist,NYR,G,38,1982-03-02,Are,-,SWE,-,73,182,2000,NYR,7,8,205
5,Peter Budaj,L.A,G,37,1982-09-18,Banská Bystrica,-,SVK,-,73,196,2001,COL,2,33,63
6,Mike Smith,CGY,G,38,1982-03-22,Kingston,-,CAN,-,76,220,2001,DAL,5,30,161
7,Mike McKenna,"OTT, PHI",G,37,1983-04-11,St. Louis,-,USA,-,74,183,2002,NSH,6,6,172
8,Curtis McElhinney,CAR,G,36,1983-05-23,London,-,CAN,-,74,204,2002,CGY,6,10,176
9,Cam Ward,CHI,G,36,1984-02-29,Saskatoon,-,CAN,-,73,194,2002,CAR,1,25,25
10,Marc-Andre Fleury,VGK,G,35,1984-11-28,Sorel,-,CAN,-,74,185,2003,PIT,1,1,1
11,Corey Crawford,CHI,G,35,1984-12-31,Montreal,-,CAN,-,74,216,2003,CHI,2,22,52
12,Jimmy Howard,DET,G,36,1984-03-26,Syracuse,-,USA,-,73,218,2003,DET,2,34,64
13,Jaroslav Halak,BOS,G,34,1985-05-13,Bratislava,-,SVK,-,71,185,2003,MTL,9,10,271
14,Brian Elliott,PHI,G,35,1985-04-09,Newmarket,-,CAN,-,74,209,2003,OTT,9,30,291
15,Devan Dubnyk,MIN,G,33,1986-05-04,Regina,-,CAN,-,78,224,2004,EDM,1,14,14
16,Cory Schneider,N.J,G,34,1986-03-18,Marblehead,-,USA,-,75,200,2004,VAN,1,26,26
17,Thomas Greiss,NYI,G,34,1986-01-29,Fussen,-,DEU,-,73,232,2004,S.J,3,29,94
18,Anton Khudobin,DAL,G,33,1986-05-07,Ust-Kamenogorsk,-,KAZ,-,71,195,2004,MIN,7,13,206
19,Pekka Rinne,NSH,G,37,1982-11-03,Kempele,-,FIN,-,77,217,2004,NSH,8,31,258
20,Carey Price,MTL,G,32,1987-08-16,Anahim Lake,-,CAN,-,75,217,2005,MTL,1,5,5
21,Tuukka Rask,BOS,G,33,1987-03-10,Savonlinna,-,FIN,-,75,176,2005,TOR,1,21,21
22,Jonathan Quick,L.A,G,34,1986-01-21,Milford,-,USA,-,73,216,2005,L.A,3,11,72
23,Ben Bishop,DAL,G,33,1986-11-21,Denver,-,USA,-,79,210,2005,STL,3,24,85
24,Alex Stalock,MIN,G,32,1987-07-28,St. Paul,-,USA,-,72,200,2005,S.J,4,21,112
25,Chad Johnson,"ANA, STL",G,33,1986-06-10,Saskatoon,-,CAN,-,75,197,2006,PIT,5,2,125
26,James Reimer,FLA,G,32,1988-03-15,Morweena,-,CAN,-,74,220,2006,TOR,4,6,99
27,Jonathan Bernier,DET,G,31,1988-08-07,Laval,-,CAN,-,72,185,2006,L.A,1,11,11
28,Semyon Varlamov,COL,G,31,1988-04-27,Samara,-,RUS,-,74,205,2006,WSH,1,23,23
29,Michal Neuvirth,PHI,G,32,1988-03-23,Ústí nad Labem,-,CZE,-,73,209,2006,WSH,2,4,34
30,Richard Bachman,VAN,G,32,1987-07-25,Salt Lake City,-,USA,-,70,183,2006,DAL,4,27,120
31,Scott Darling,CAR,G,31,1988-12-22,Newport News,-,USA,-,78,226,2007,PHX,6,2,153
32,Antti Niemi,MTL,G,36,1983-08-29,Vantaa,-,FIN,-,74,209,-,-,-,-,-
33,Jacob Markstrom,VAN,G,30,1990-01-31,Gävle,-,SWE,-,78,206,2008,FLA,2,1,31
34,Jake Allen,STL,G,29,1990-08-07,Fredericton,-,CAN,-,74,203,2008,STL,2,4,34
35,Michael Hutchinson,"FLA, TOR",G,30,1990-03-02,Barrie,-,CAN,-,75,198,2008,BOS,3,16,77
36,Braden Holtby,WSH,G,30,1989-09-16,Lloydminster,-,CAN,-,74,214,2008,WSH,4,2,93
37,Martin Jones,S.J,G,30,1990-01-10,North Vancouver,-,CAN,-,76,190,-,-,-,-,-
38,Mikko Koskinen,EDM,G,31,1988-07-18,Vantaa,-,FIN,-,78,202,2009,NYI,2,1,31
39,Anders Nilsson,"OTT, VAN",G,30,1990-03-19,Lulea,-,SWE,-,78,232,2009,NYI,3,1,62
40,Robin Lehner,NYI,G,28,1991-07-24,Gothenburg,-,SWE,-,76,240,2009,OTT,2,16,46
41,Edward Pasquale,T.B,G,29,1990-11-20,Toronto,-,CAN,-,74,215,2009,ATL,4,26,117
42,Darcy Kuemper,ARI,G,29,1990-05-05,Saskatoon,-,CAN,-,77,215,2009,MIN,6,10,161
43,Carter Hutton,BUF,G,34,1985-12-19,Thunder Bay,-,CAN,-,73,202,-,-,-,-,-
44,Cam Talbot,"EDM, PHI",G,32,1987-07-05,Caledonia,-,CAN,-,76,196,-,-,-,-,-
45,Sergei Bobrovsky,CBJ,G,31,1988-09-20,Novokuznetsk,-,RUS,-,74,187,-,-,-,-,-
46,Calvin Pickard,"ARI, PHI",G,28,1992-04-15,Moncton,-,CAN,-,73,210,2010,COL,2,19,49
47,Jack Campbell,L.A,G,28,1992-01-09,Port Huron,-,USA,-,74,197,2010,DAL,1,11,11
48,Philipp Grubauer,COL,G,28,1991-11-25,Rosenheim,-,DEU,-,73,188,2010,WSH,4,22,112
49,Louis Domingue,T.B,G,28,1992-03-06,St-Hyacinthe,-,CAN,-,75,208,2010,PHX,5,18,138
50,Petr Mrazek,CAR,G,28,1992-02-14,Ostrava,-,CZE,-,74,190,2010,DET,5,21,141
51,Frederik Andersen,TOR,G,30,1989-10-02,Herning,-,DNK,-,76,238,2012,ANA,3,26,87
52,Keith Kinkaid,N.J,G,30,1989-07-04,Farmingville,-,USA,-,75,186,-,-,-,-,-
53,Laurent Brossoit,WPG,G,27,1993-03-23,Port Alberni,-,CAN,-,75,204,2011,CGY,6,13,164
54,Garret Sparks,TOR,G,26,1993-06-28,Elmhurst,-,USA,-,74,201,2011,TOR,7,9,190
55,Jordan Binnington,STL,G,26,1993-07-11,Richmond Hill,-,CAN,-,73,174,2011,STL,3,27,88
56,John Gibson,ANA,G,26,1993-07-14,Pittsburgh,-,USA,-,75,207,2011,ANA,2,9,39
57,Christopher Gibson,NYI,G,27,1992-12-27,Karkkila,-,FIN,-,73,207,2011,L.A,2,19,49
58,Maxime Lagace,VGK,G,27,1993-01-12,Saint-Augustin,-,CAN,-,74,190,-,-,-,-,-
59,Malcolm Subban,VGK,G,26,1993-12-21,Toronto,-,CAN,-,74,215,2012,BOS,1,24,24
60,Andrei Vasilevskiy,T.B,G,25,1994-07-25,Tyumen,-,RUS,-,75,216,2012,T.B,1,19,19
61,Matt Murray,PIT,G,25,1994-05-25,Thunder Bay,-,CAN,-,76,178,2012,PIT,3,22,83
62,Joonas Korpisalo,CBJ,G,25,1994-04-28,Pori,-,FIN,-,75,191,2012,CBJ,3,1,62
63,Anthony Stolarz,"EDM, PHI",G,26,1994-01-20,Edison,-,USA,-,78,230,2012,PHI,2,15,45
64,Connor Hellebuyck,WPG,G,26,1993-05-19,Commerce,-,USA,-,76,207,2012,WPG,5,9,130
65,Linus Ullmark,BUF,G,26,1993-07-31,Lugnvik,-,SWE,-,76,215,2012,BUF,6,12,163
66,Aaron Dell,S.J,G,30,1989-05-04,Airdrie,-,CAN,-,72,205,-,-,-,-,-
67,Mike Condon,OTT,G,29,1990-04-27,Holliston,-,USA,-,74,195,-,-,-,-,-
