id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
162,Sheldon Brookbank,CHI,D,48,23.133333333333,0,0,0,0,0,-,1,0.00,0.02,1,1,0,0,0,1,2,1,1,0,0,4,4,1,0,2,6,0,0,-
163,Matt Ellis,BUF,L,50,67.616666666667,0,0,0,0,0,0.00,2,0.00,0.05,2,2,0,0,1,0,0,0,0,0,0,1,1,4,2,1,11,15,19,44.12
164,Tomas Fleischmann,FLA,L,80,83.316666666667,0,1,1,0,1,50.00,5,0.00,0.16,5,5,1,0,0,1,0,0,0,0,0,0,1,3,6,1,1,0,2,0.00
165,Rick Nash,NYR,R,65,32.066666666667,2,2,2,0,4,100.00,5,40.00,0.41,6,5,4,3,0,0,5,1,0,1,0,1,0,3,0,2,1,2,0,100.00
166,Valtteri Filppula,T.B,C,75,79.5,0,0,0,0,0,-,3,0.00,0.39,3,3,2,1,2,0,0,0,0,0,0,1,0,6,2,1,3,51,42,54.84
167,Keith Ballard,MIN,D,45,26.733333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,2,0,0,-
168,Adam Burish,S.J,R,15,16.866666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,2,75.00
169,Paul Ranger,TOR,D,53,97.633333333333,0,0,0,0,0,0.00,1,0.00,0.01,1,1,0,0,0,0,0,0,0,0,0,3,9,3,12,2,8,0,0,-
170,Tom Gilbert,FLA,D,73,58.983333333333,0,0,0,0,0,-,1,0.00,0.01,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,6,0,0,-
171,Scottie Upshall,FLA,R,76,92.866666666667,1,0,0,0,1,100.00,5,20.00,0.51,11,8,6,1,1,0,2,1,1,0,0,6,0,5,1,1,4,8,3,72.73
